"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"17633","1.0","15","[""AMST""]","1","""1/999""","[""Adrienne H. Daniels""]","""0/999""","300","999","""IR/Tv Violence & Fmly""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17634","1.0","18","[""ART""]","20","""20/999""","[""Mary Griep""]","""0/999""","100","20","""Foundation Drawing""","110","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17635","1.0","1496","[""ART""]","22","""15/999""","[""Ron Gallas""]","""1/999""","100","15","""Foundation Ceramics""","121","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17636","1.0","28","[""ART""]","19","""19/999""","[""John Saurer""]","""0/999""","100","18","""Foundation Sculpture""","122","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17639","1.0","1502","[""ART""]","26","""5/999""","[""Matthew Rohn""]","""11/999""","200","60","""Us Visions/IDentities""","250","false","","2","""9/999""","""0/999""","""O""","19952","""Research""","1995"
"17640","1.0","48","[""ART""]","9","""0/999""","[""Jan Shoger""]","""6/999""","200","15","""Pratt-Manhattan""","262","false","","2","""1/999""","""0/999""","""C""","19952","""Research""","1995"
"17641","1.0","1509","[""ART""]","23","""3/999""","[""James A. Dunlop"", ""A. Malcolm Gimse""]","""14/999""","200","25","""Art of France/Spain""","268","false","","2","""5/999""","""1/999""","""C""","19952","""Research""","1995"
"17642","0.0","1509","[""ART""]","10","""0/999""","[""Staff""]","""0/999""","200","10","""FLC-Spanish""","268","false","""L""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17643","1.0","68","[""ART""]","1","""0/999""","[""Ron Gallas""]","""0/999""","200","999","""Internship""","294","true","","2","""2/999""","""0/999""","""O""","19952","""Research""","1995"
"17644","1.0","68","[""ART""]","2","""0/999""","[""Matthew Rohn""]","""0/999""","200","999","""Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17645","1.0","69","[""ART""]","1","""0/999""","[""Matthew Rohn""]","""1/999""","200","999","""IS/Looking At Venturi""","298","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17646","1.0","69","[""ART""]","1","""0/999""","[""Mary Griep""]","""0/999""","200","999","""IS/Southwest Painting""","298","false","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17647","1.0","69","[""ART""]","1","""0/999""","[""Ron Gallas"", ""John Saurer""]","""0/999""","200","999","""IS/3d Oil Painting""","298","false","""B""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
