"clbid","credits","crsid","departments","enrolled","firsties","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"20030","1.0","13","[""AMST""]","13","""0/999""","","","[""Frieda Knobloch""]","""5/999""","300","[""MFH 230""]","15","""Sem: American Cultures""","301","false","","3","""5/999""","""2/999""","""O""","19963","[""TTh 0935-1100""]","""Seminar""","1996"
"20031","1.0","18","[""ART""]","14","""5/18""","","","[""Mary Griep""]","""1/3""","100","[""FH 42""]","22","""Foundation Drawing""","110","false","","3","""2/2""","""1/10""","""O""","19963","[""MWF 1150-0150PM""]","""Research""","1996"
"20032","0.5","19","[""ART""]","11","""8/14""","","","[""John Saurer""]","""1/4""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","","3","""1/2""","""6/11""","""O""","19963","[""TTh 1145-0110PM""]","""Research""","1996"
"20033","0.5","20","[""ART""]","20","""10/13""","","","[""Jan Shoger""]","""2/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","3","""1/2""","""6/10""","""O""","19963","[""MWF 0905-1000""]","""Research""","1996"
"20034","0.5","21","[""ART""]","26","""9/9""","","","[""Wendell Arneson""]","""3/5""","100","[""FH AB""]","22","""Found Color Design""","113","false","""A""","3","""3/4""","""7/10""","""C""","19963","[""MWF 0905-1000""]","""Research""","1996"
"20035","0.5","21","[""ART""]","29","""6/6""","","","[""Wendell Arneson""]","""4/4""","100","[""FH AB""]","22","""Found Color Design""","113","false","""B""","3","""4/4""","""8/8""","""C""","19963","[""MWF 1045-1140""]","""Research""","1996"
"20036","0.5","22","[""ART""]","16","""5/5""","","","[""John Saurer""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""A""","3","""2/2""","""5/5""","""C""","19963","[""TTh 0300-0430PM""]","""Research""","1996"
"20037","0.5","22","[""ART""]","13","""6/6""","","","[""Irve Dell""]","""2/4""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""B""","3","""1/2""","""6/7""","""C""","19963","[""TTh 0935-1100""]","""Research""","1996"
"20038","0.5","23","[""ART""]","16","""5/5""","","","[""Margaret Ojala""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","3","""4/4""","""6/6""","""C""","19963","[""TTh 0800-0925""]","""Research""","1996"
"20039","0.5","23","[""ART""]","17","""5/5""","","","[""Margaret Ojala""]","""4/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","3","""4/4""","""7/7""","""C""","19963","[""TTh 0935-1100""]","""Research""","1996"
"20040","0.5","24","[""ART""]","23","""8/8""","","","[""Ron Gallas""]","""0/4""","100","[""FH 19""]","20","""Found Ceramics: Hand""","116","false","","3","""3/3""","""9/9""","""C""","19963","[""TTh 0935-1100""]","""Research""","1996"
"20041","0.5","26","[""ART""]","15","""5/5""","","","[""Ron Gallas""]","""3/3""","100","[""FH 19""]","15","""Found Ceramics: Wheel""","119","false","","3","""3/3""","""4/4""","""C""","19963","[""TTh 1145-0110PM""]","""Research""","1996"
"20042","1.0","32","[""ART""]","56","""15/15""","","","[""Perette Michelli""]","""15/15""","100","[""FH 01""]","60","""Renaissance--Present""","151","false","","3","""10/10""","""20/20""","""C""","19963","[""MWF 0905-1000""]","""Research""","1996"
"20043","1.0","34","[""ART""]","19","""1/999""","","","[""Wendell Arneson""]","""6/12""","200","[""FH AB""]","22","""Watercolor Painting""","232","false","","3","""2/4""","""8/14""","""O""","19963","[""MWF 1255-0255PM""]","""Research""","1996"
"20044","1.0","36","[""ART""]","12","""0/999""","","","[""Irve Dell""]","""3/4""","200","[""FH 18""]","10","""Sculpt: Direct Metal""","234","false","","3","""2/2""","""5/5""","""C""","19963","[""TTh 1145-0245PM""]","""Research""","1996"
"20045","1.0","39","[""ART""]","12","""2/5""","","","[""Jan Shoger""]","""2/6""","200","[""FH 44""]","15","""Printmkg: Intaglio/Mono""","237","false","","3","""3/2""","""5/10""","""C""","19963","[""MWF 1045-1245PM""]","""Research""","1996"
"20047","1.0","43","[""ART""]","22","""0/999""","","","[""Mary Griep""]","""9/10""","200","[""FH 40""]","20","""Figure Drawing""","242","false","","3","""4/2""","""7/9""","""C""","19963","[""MWF 0800-1000""]","""Research""","1996"
"20049","1.0","52","[""ART""]","32","""5/999""","","","[""Matthew Rohn""]","""8/32""","200","[""FH 01""]","60","""Art Since 1945""","253","false","","3","""8/20""","""13/44""","""O""","19963","[""MWF 1045-1140""]","""Research""","1996"
"20050","1.0","1507","[""ART""]","11","""0/999""","","","[""Perette Michelli""]","""1/18""","200","[""FH 01""]","40","""Baroque and Rococo""","258","false","","3","""5/8""","""6/34""","""C""","19963","[""TTh 0120-0245PM""]","""Research""","1996"
"20051","1.0","60","[""ART""]","19","""0/999""","","","[""Perette Michelli""]","""5/16""","200","[""FH 01""]","30","""Medieval""","263","false","","3","""4/10""","""7/21""","""C""","19963","[""MWF 0200-0255PM""]","""Research""","1996"
"20052","1.0","61","[""ART""]","50","""3/999""","","","[""A. Malcolm Gimse""]","""5/20""","200","[""FH 01""]","50","""Art of India/SE Asia""","265","false","","3","""10/10""","""13/35""","""C""","19963","[""MWF 1255-0150PM""]","""Research""","1996"
