"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"21906","1.0","12","[""AMST""]","1","""0/999""","[""Judy Kutulas""]","""0/999""","200","","999","""IS/African-Amer Women""","298","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21907","1.0","1496","[""ART""]","27","""0/0""","[""Ron Gallas""]","""5/4""","100","[""FH 19"", ""FH 19""]","20","""Found Ceramics: Hand""","121","false","","2","""0/0""","""19/15""","""C""","19972","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Research""","1997"
"21908","1.0","30","[""ART""]","23","""0/0""","[""Jil Evans""]","""4/4""","100","[""FH 42"", ""FH 42""]","20","""Found Percept Draw""","125","false","","2","""0/0""","""19/16""","""C""","19972","[""M-F 0900-1000"", ""M-F 1040-1210PM""]","""Research""","1997"
"21911","1.0","1502","[""ART""]","9","""3/999""","[""Matthew Rohn""]","""2/999""","200","[""FH 01""]","40","""Us Visions/IDentities""","250","false","","2","""3/999""","""3/999""","""O""","19972","[""MTThF 0100-0300PM""]","""Research""","1997"
"21912","1.0","48","[""ART""]","16","""15/999""","[""John Saurer""]","""0/999""","200","","15","""Pratt-Manhattan""","262","false","","2","""0/999""","""0/999""","""C""","19972","","""Research""","1997"
"21913","1.0","1511","[""ART""]","27","""25/999""","[""Perette Michelli""]","""1/999""","200","","25","""Art in France & Italy""","269","false","","2","""-1/999""","""0/999""","""C""","19972","","""Research""","1997"
"21914","1.0","68","[""ART""]","1","""1/999""","[""Wendell Arneson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21915","1.0","68","[""ART""]","1","""0/999""","[""Matthew Rohn""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21916","1.0","69","[""ART""]","1","""3/999""","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Advanced Painting""","298","false","","2","""1/999""","""0/999""","""O""","19972","","""Research""","1997"
"21918","1.0","69","[""ART""]","1","""0/999""","[""Ron Gallas""]","""0/999""","200","","999","""IS/Art of Clay""","298","false","""B""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
