"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"1782","1.0","196","[""CHEM""]","33","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0800-0930""]","""Research""","2000"
"1783","0.25","199","[""CHEM""]","27","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","4","""0/999""","""0/999""","""O""","20004","[""MT 0100-0400PM""]","""Lab""","2000"
"1784","1.0","283","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","300","","999","""Senior Project""","389","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1785","1.0","411","[""ENGL""]","9","""0/999""","[""Joseph L. Mbele""]","""0/999""","200","[""L 515""]","999","""Post-Colonial Lit""","247","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1000-1130""]","""Research""","2000"
"1786","1.0","418","[""ENGL""]","8","""0/999""","[""Melanie Richards""]","""0/999""","200","[""L 520""]","999","""Creative Writing I""","257","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1230-0200PM""]","""Research""","2000"
"1787","1.0","438","[""ENGL""]","5","""0/999""","[""Joseph L. Mbele""]","""0/999""","300","[""L 515""]","999","""Topics/Post-Colonial""","347","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1000-1130""]","""Topic""","2000"
"1788","1.0","441","[""ENGL""]","1","""0/999""","[""Melanie Richards""]","""0/999""","300","[""L 520""]","999","""Creative Writing II""","372","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1230-0200PM""]","""Research""","2000"
"1789","1.0","504","[""GERM""]","3","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German I""","111","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1790","1.0","505","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German II""","112","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1791","1.0","509","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","200","","999","""Intermed German II""","232","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1792","1.0","1816","[""HIST""]","11","""0/999""","[""Steven C. Hahn""]","""0/999""","200","[""H 403""]","999","""America 1490-1865""","205","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1000-1130""]","""Research""","2000"
"1793","1.0","1815","[""HIST""]","7","""0/999""","[""J. L. Carrington""]","""0/999""","200","[""L 421""]","999","""Age of Renaissance""","213","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1230-0200PM""]","""Research""","2000"
"1794","1.0","649","[""FAMST""]","5","""0/999""","[""C. George Holt""]","""0/999""","200","[""M 4""]","999","""Family Relationships""","242","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1000-1130""]","""Research""","2000"
"1795","1.0","651","[""FAMST""]","12","""0/999""","[""C. George Holt""]","""0/999""","200","[""M 4""]","999","""Human Sexuality""","253","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0800-0930""]","""Research""","2000"
"1796","1.0","728","[""MATH""]","6","""0/999""","[""Peder Bolstad""]","""0/999""","100","[""M 1""]","999","""Gateways/Mathematics""","117","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0800-0930""]","""Research""","2000"
"1797","1.0","731","[""MATH""]","1","""0/999""","[""Peder Bolstad""]","""0/999""","100","","999","""Calculus I""","120","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1798","1.0","821","[""MUSIC""]","4","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Counterpoint""","222","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1799","1.0","822","[""MUSIC""]","5","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Composition I""","223","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1800","1.0","1974","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","200","[""CHM 239""]","999","""The Art of Music""","230","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0800-0930""]","""Research""","2000"
"1801","0.5","845","[""MUSIC""]","1","""0/999""","[""Robert V. Scholz""]","""0/999""","200","","999","""Choral Lit II""","288","false","4","""0/999""","""0/999""","""O""","20004","","""Research""","2000"
"1802","1.0","979","[""PHIL""]","6","""0/999""","[""Edmund Santurri""]","""0/999""","200","[""L 420""]","999","""Ethics/The Good Life""","252","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1230-0200PM""]","""Research""","2000"
"1803","1.0","983","[""PHIL""]","6","""0/999""","[""Gordon D. Marino""]","""0/999""","200","[""L 420""]","999","""Vices and Virtues""","258","false","4","""0/999""","""0/999""","""O""","20004","[""M-Th 1000-1130""]","""Research""","2000"
"1804","0.5","1012","[""PEAC""]","8","""0/999""","[""Christine Daymont""]","""0/999""","100","[""MFH""]","999","""Individual Fitness.50""","133","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0700-0800""]","""Research""","2000"
"1805","0.5","1016","[""PEAC""]","7","""0/999""","[""Christine Daymont""]","""0/999""","100","[""MFH""]","999","""Wt Training Co-Ed .50""","140","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0700-0800""]","""Research""","2000"
"1806","0.25","1083","[""PHYS""]","1","""0/999""","[""David Nitz""]","""0/999""","200","","999","""Modern Phys Lab (244)""","245","false","4","""0/999""","""0/999""","""O""","20004","","""Lab""","2000"
"1807","1.0","1198","[""REL""]","5","""0/999""","[""Philip E. Stoltzfus""]","""0/999""","200","[""L 577""]","999","""Chr Theol in History""","212","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 0800-0930""]","""Research""","2000"
"1808","1.0","1209","[""REL""]","13","""0/999""","[""Daniel Malotky""]","""0/999""","200","[""L 577""]","999","""God & Human Suffering""","225","false","4","""0/999""","""0/999""","""O""","20004","[""M-F 1000-1130""]","""Research""","2000"
"1809","1.0","1294","[""SOAN""]","10","""0/999""","[""Mark Goodale""]","""0/999""","100","[""H 516""]","999","""Int/Cult Anthropology""","128","false","4","""0/999""","""0/999""","""O""","20004","[""M-Th 1000-1130""]","""Research""","2000"
"1810","1.0","1307","[""SOAN""]","15","""0/999""","[""Michael Gibbons""]","""0/999""","200","[""H 516""]","999","""Social Deviance""","245","false","4","""0/999""","""0/999""","""O""","20004","[""M-Th 0800-0930""]","""Research""","2000"

