"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2608","1.0","28","[""ART""]","21","""15/15""","","[""John Saurer""]","""0/0""","100","[""DC 106"", ""DC 106""]","20","""Foundation Sculpture""","122","false","","2","""4/5""","""0/0""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1210PM""]","""Research""","2001"
"2609","1.0","40","[""ART""]","14","""2/999""","","[""Patrick T. Kelley""]","""2/999""","200","[""DC 100"", ""DC 100""]","15","""Comp-Generatd Imagery""","228","false","","2","""2/999""","""9/999""","""C""","20012","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2001"
"2610","1.0","44","[""ART""]","15","""0/999""","","[""Carol Padberg""]","""3/999""","200","[""DC 216"", ""DC 216""]","22","""Advanced Drawing""","233","false","","2","""2/999""","""6/999""","""O""","20012","[""M-F 0900-1000"", ""M-F 1040-1210PM""]","""Research""","2001"
"2611","1.0","48","[""ART""]","16","""0/999""","","[""Ron Gallas""]","""0/999""","200","","15","""Manhattan Art Interim""","246","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2612","1.0","51","[""ART""]","38","""6/999""","","[""Randall Van Schepen""]","""10/999""","200","[""DC 305""]","40","""Art 1880-1950""","252","false","","2","""7/999""","""17/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2613","1.0","54","[""ART""]","15","""0/999""","","[""Nancy M. Thompson""]","""0/999""","200","","15","""Ital Art in Context""","255","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2615","1.0","68","[""ART""]","1","""0/999""","","[""Jan Shoger""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2616","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramics Ind Study""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2617","1.0","69","[""ART""]","1","""0/999""","","[""John Saurer""]","""0/999""","200","","999","""IS/Wood Sculpture""","298","false","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2618","1.0","75","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""1/999""","300","","999","""IR/Psych Painting""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2619","1.0","75","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","300","","999","""IR/Adv Painting""","398","false","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2620","1.0","80","[""ASIAN""]","16","""4/15""","","[""Rika Ito""]","""0/999""","100","[""M 30""]","20","""Japanese Lang/Society""","126","false","","2","""5/999""","""7/999""","""O""","20012","[""M-F 0100-0300PM""]","""Research""","2001"
"2621","1.0","85","[""ASIAN""]","20","""0/999""","","[""Phyllis Hyland Larson""]","""0/999""","200","","20","""Nat ID/China & Japan""","212","false","","2","""1/999""","""0/999""","""C""","20012","","""Research""","2001"
"2622","1.0","86","[""ASIAN""]","8","""0/999""","","[""Rika Ito""]","""1/999""","200","[""M 30""]","10","""Top: Japan Lang/Soc""","226","false","","2","""3/999""","""6/999""","""C""","20012","[""M-F 0100-0300PM""]","""Topic""","2001"
"2623","1.0","88","[""ASIAN""]","21","""0/0""","","[""Anbin Shi""]","""1/999""","200","[""M 1""]","30","""Chinese Literature""","236","false","","2","""2/25""","""10/999""","""O""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2624","1.0","94","[""ASIAN""]","1","""0/999""","","[""Robert Entenmann""]","""0/999""","200","","999","""IS/Economic Reform In""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2625","1.0","104","[""BIO""]","32","""5/5""","","[""Lauri Sammartano""]","""6/6""","100","[""SC 129"", ""SC 129""]","28","""The Biology of Women""","124","false","","2","""5/5""","""7/7""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Research""","2001"
"2626","1.0","106","[""BIO""]","22","""21/999""","","[""Barbara May""]","""0/999""","100","[""SC 273"", ""SC 273"", ""SC 274""]","24","""Cellular Bio & Genetics""","125","false","","2","""-1/999""","""0/999""","""C""","20012","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2001"
"2627","1.0","111","[""BIO""]","24","""6/6""","","[""Joel Olfelt""]","""6/6""","100","[""SC 211"", ""SC 211"", ""SC 211""]","24","""Plants and People""","129","false","","2","""5/5""","""6/6""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1200PM"", ""MWF 0100-0300PM""]","""Research""","2001"
"2628","1.0","132","[""BIO""]","8","""1/999""","","[""Eric Cole""]","""3/999""","200","[""SC 227"", ""SC 227"", ""SC 227""]","12","""Probing Life W/Light""","249","false","","2","""2/999""","""6/999""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1240PM"", ""M-F 0100-0300PM""]","""Research""","2001"
"2629","1.0","146","[""BIO""]","12","""0/999""","","[""Charles Jr. Umbanhowar""]","""0/999""","200","","999","""Winter Ecology""","281","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2630","1.0","147","[""BIO""]","12","""0/999""","","[""Kimberly A. Kandl""]","""0/999""","200","","999","""Desert Biology""","282","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
