"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"3618","1.0","29","[""ART""]","12","""0/999""","[""Margaret Ojala""]","""0/999""","100","[""DC 102""]","999","""Found Photography""","124","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3619","1.0","196","[""CHEM""]","35","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3620","0.25","199","[""CHEM""]","25","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","4","""0/999""","""0/999""","""O""","20014","[""MT 0100-0400PM""]","""Lab""","2001"
"3621","1.0","406","[""ENGL""]","10","""0/999""","[""Jan C. Hill""]","""0/999""","200","[""L 525""]","999","""Children's Literature""","233","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3622","1.0","407","[""ENGL""]","20","""0/999""","[""Melanie Richards""]","""0/999""","200","[""L 515""]","999","""50's Beat Literature""","238","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1230-0200PM""]","""Topic""","2001"
"3623","1.0","418","[""ENGL""]","14","""0/999""","[""Melanie Richards""]","""0/999""","200","[""L 515""]","999","""Creative Writing I""","257","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3624","1.0","441","[""ENGL""]","3","""0/999""","[""Melanie Richards""]","""0/999""","300","[""L 515""]","999","""Creative Writing II""","372","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3625","1.0","1816","[""HIST""]","6","""0/999""","[""Steven C. Hahn""]","""0/999""","200","[""H 403""]","999","""America 1490-1865""","205","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3626","1.0","649","[""FAMST""]","10","""0/999""","[""C. George Holt""]","""0/999""","200","[""M 4""]","999","""Family Relationships""","242","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3627","1.0","651","[""FAMST""]","17","""0/999""","[""C. George Holt""]","""0/999""","200","[""M 4""]","999","""Human Sexuality""","253","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3628","1.0","735","[""MATH""]","8","""0/999""","[""Peder Bolstad""]","""0/999""","200","[""M 1""]","999","""Principles of Math""","210","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3629","1.0","778","[""MGMT""]","5","""0/999""","[""Lisa Lindley""]","""0/999""","200","[""H 516""]","999","""Management""","251","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3630","1.0","792","[""MEDIA""]","9","""0/999""","[""William Sonnega""]","""0/999""","100","[""SPT 216""]","999","""Mass Media""","160","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3631","1.0","821","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Counterpoint""","222","false","4","""0/999""","""0/999""","""O""","20014","","""Research""","2001"
"3632","1.0","822","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Composition I""","223","false","4","""0/999""","""0/999""","""O""","20014","","""Research""","2001"
"3633","1.0","1974","[""MUSIC""]","2","""0/999""","[""Charles Forsberg""]","""0/999""","200","[""CHM 232""]","999","""The Art of Music""","230","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3634","1.0","921","[""NORW""]","4","""0/999""","[""Dorer Kari L.""]","""0/999""","100","[""L 421""]","999","""Beginning Norwegian I""","111","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3635","1.0","926","[""NORW""]","4","""0/999""","[""Dorer Kari L.""]","""0/999""","200","[""L 421""]","999","""Intermed Norwegian I""","231","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3636","1.0","979","[""PHIL""]","6","""0/999""","[""Edmund Santurri""]","""0/999""","200","[""L 420""]","999","""Ethics/The Good Life""","252","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1230-0200PM""]","""Research""","2001"
"3637","0.5","1012","[""PEAC""]","10","""0/999""","[""Christine Daymont""]","""0/999""","100","[""MFH""]","999","""Individual Fitness.50""","133","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0700-0800""]","""Research""","2001"
"3638","0.5","1016","[""PEAC""]","9","""0/999""","[""Christine Daymont""]","""0/999""","100","[""MFH""]","999","""Wt Training Co-Ed .50""","140","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0700-0800""]","""Research""","2001"
"3639","1.0","1072","[""PHYS""]","8","""0/999""","[""Richard Thomas""]","""0/999""","100","[""SC 170"", ""SC 111""]","999","""Principles Physics I""","124","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130"", ""WTh 0100-0400PM""]","""Research""","2001"
"3640","1.0","1104","[""PSCI""]","4","""0/999""","[""D Christopher Brooks""]","""0/999""","100","[""L 520""]","999","""Comparative Politics""","112","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3641","1.0","1119","[""PSCI""]","10","""0/999""","[""D Christopher Brooks""]","""0/999""","200","[""L 520""]","999","""Distributive Justice""","249","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1230-0200PM""]","""Research""","2001"
"3642","1.0","1156","[""PSYCH""]","4","""0/999""","[""Marit Westergaard""]","""0/999""","200","[""H 403""]","999","""Issues 1st & 2nd Lang""","222","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3643","1.0","1194","[""REL""]","10","""0/999""","[""Mark A. Granquist""]","""0/999""","200","[""L 525""]","999","""The Greats""","203","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3644","1.0","1195","[""REL""]","6","""0/999""","[""Edmund Santurri""]","""0/999""","200","[""L 420""]","999","""Chri Theol/Moral Life""","207","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"
"3645","1.0","1224","[""REL""]","6","""0/999""","[""Mark A. Granquist""]","""0/999""","200","[""L 525""]","999","""Religion in America""","260","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1230-0200PM""]","""Research""","2001"
"3646","1.0","1324","[""SPAN""]","2","""0/999""","[""Marisol Galicia""]","""0/999""","100","[""M 2""]","999","""Beginning Spanish I""","111","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 0800-0930""]","""Research""","2001"
"3647","1.0","1325","[""SPAN""]","2","""0/999""","[""Marisol Galicia""]","""0/999""","100","[""M 2""]","999","""Beginning Spanish II""","112","false","4","""0/999""","""0/999""","""O""","20014","[""M-F 1000-1130""]","""Research""","2001"

