"clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year"
"4449","1.0","12","['AMST']","","['Mark Allister']","200","","IS/Landscape of Am Sw","298","False","False","","2","O","20022","","Research","2002"
"4450","1.0","28","['ART']","","['Irve Dell']","100","['DC 106', 'DC 106', 'DC 106']","Foundation Sculpture","122","False","False","","2","C","20022","['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research","2002"
"4451","1.0","32","['ART']","","['Randall Van Schepen']","100","['DC 305']","Renaissance--Present","151","False","False","","2","C","20022","['M-F 1040-1240PM']","Research","2002"
"4452","1.0","40","['ART']","","['Justin Newhall']","200","['DC 100', 'DC 100']","Comp-Generatd Imagery","228","False","False","","2","O","20022","['M-F 1040-1200PM', 'M-F 0100-0300PM']","Research","2002"
"4453","1.0","44","['ART']","","['John Saurer']","200","['DC 216', 'DC 216']","Advanced Drawing","233","False","False","","2","O","20022","['M-F 0900-1000', 'M-F 1040-1210PM']","Research","2002"
"4454","1.0","48","['ART']","","['Jill Ewald']","200","","Manhattan Art Interim","246","False","False","","2","C","20022","","Research","2002"
"4455","1.0","64","['ART']","","['Matthew Rohn']","200","['DC 204']","Issues Art Criticism","270","False","False","","2","O","20022","['M-F 1040-1240PM']","Research","2002"
"4456","1.0","68","['ART']","","['John Saurer']","200","","Academic Internship","294","True","False","","2","O","20022","","Research","2002"
"4457","1.0","68","['ART']","","['Wendell Arneson']","200","","Academic Internship","294","True","False","A","2","O","20022","","Research","2002"
"4458","1.0","75","['ART']","","['Wendell Arneson']","300","","IR/Advanced Painting","398","False","False","","2","O","20022","","Research","2002"
"4459","1.0","75","['ART']","","['Irve Dell']","300","","IR/Fine Furniture","398","False","False","A","2","O","20022","","Research","2002"
"4460","1.0","79","['ASIAN']","","['Marilynn Miller']","100","['DC 305']","Intro Japnese Film-Tr","124","False","False","","2","C","20022","['T-F 0800-1000']","Research","2002"
"4461","1.0","82","['ASIAN']","","['Richard Bodman']","100","['OM 001', 'OM 001']","Afghan Kaleidoscope","152","False","False","","2","C","20022","['M-Th 0900-1000', 'M-Th 1040-1210PM']","Research","2002"
"4462","1.0","85","['ASIAN']","","['Robert Entenmann']","200","","Nat ID/China & Japan","212","False","False","","2","C","20022","","Research","2002"
"4463","1.0","88","['ASIAN']","","['Pin Pin Wan']","200","['OM 002', 'OM 002']","Chinese Lit--Tr","236","False","False","","2","O","20022","['M-Th 1040-1240PM', 'M-Th 0200-0300PM']","Research","2002"
"4464","1.0","94","['ASIAN']","","['Robert Entenmann']","200","","IS/Non-Communist Chin","298","False","False","","2","O","20022","","Research","2002"
"4465","1.0","94","['ASIAN']","","['Pin Pin Wan']","200","","IS/Chinese IDentity","298","False","False","A","2","O","20022","","Research","2002"
"4466","1.0","94","['ASIAN']","","['Pin Pin Wan']","200","","IS/Imperialism Asia","298","False","False","B","2","O","20022","","Research","2002"
"4467","1.0","94","['ASIAN']","","['Phyllis Hyland Larson']","200","","IS/Inten Japanese Rev","298","False","False","C","2","O","20022","","Research","2002"
"4468","1.0","97","['ASIAN']","","['Phyllis Hyland Larson']","300","","IR/Zen in Modern Jap","398","False","False","","2","O","20022","","Research","2002"
"4469","1.0","104","['BIO']","","['Mary C. Henry']","100","['SC 130', 'SC 130']","The Biology of Women","124","False","False","A","2","C","20022","['M-F 1040-1240PM', 'M-F 0200-0300PM']","Research","2002"
"4470","1.0","104","['BIO']","","['Diane M. Maher']","100","['SC 274', 'SH 01']","The Biology of Women","124","False","False","B","2","C","20022","['MTThF 1040-1200PM', 'MTThF 0100-0300PM']","Research","2002"
"4471","1.0","106","['BIO']","","['Jason D. Hill']","100","['SC 273', 'SC 273', 'SC 274']","Cellular Bio & Genetics","125","False","False","","2","C","20022","['M-F 0800-1000', 'M-F 1040-1200PM', 'M-F 0100-0300PM']","Research","2002"
"4472","1.0","114","['BIO']","","['John Giannini']","100","['SC 227', 'SC 227']","Thinking & Doing Bio","135","False","False","","2","C","20022","['M-F 0900-1000', 'M-F 1040-0100PM']","Research","2002"
"4473","1.0","116","['BIO']","","['Theodore Johnson']","100","['SC 129', 'SC 129']","Hlth Care: Global Pers","136","False","False","","2","C","20022","['M-F 1040-1240PM', 'M-F 0100-0300PM']","Research","2002"
"4474","1.0","133","['BIO']","","['David Van Wylen']","200","","Cardiac Physiology","250","False","False","","2","C","20022","","Research","2002"
"4475","1.0","150","['BIO']","","['Eric Cole']","200","","Island Bio in Bahamas","287","False","False","","2","C","20022","","Research","2002"
"4476","1.0","151","['BIO']","","['Kimberly A. Kandl']","200","","Equatorial Biology","288","False","False","","2","C","20022","","Research","2002"
"4477","1.0","153","['BIO']","","['Theodore Johnson']","200","","Academic Internship","294","True","False","","2","O","20022","","Research","2002"
"4478","1.0","153","['BIO']","","['David Van Wylen']","200","","Academic Internship","294","True","False","A","2","O","20022","","Research","2002"
"4479","1.0","153","['BIO']","","['Anne Walter']","200","","Academic Internship","294","True","False","B","2","O","20022","","Research","2002"
"4480","1.0","153","['BIO']","","['John Giannini']","200","","Academic Internship","294","True","False","C","2","O","20022","","Research","2002"
"4481","1.0","153","['BIO']","","['Louis Henry Kermott']","200","","Academic Internship","294","True","False","D","2","O","20022","","Research","2002"
"4482","1.0","153","['BIO']","","['Mary C. Henry']","200","","Academic Internship","294","True","False","E","2","O","20022","","Research","2002"
"4483","1.0","153","['BIO']","","['Jean C. Porterfield']","200","","Academic Internship","294","True","False","F","2","O","20022","","Research","2002"
"4484","1.0","153","['BIO']","","['Gary O. Spessard']","200","","Academic Internship","294","True","False","G","2","O","20022","","Research","2002"
"4485","1.0","154","['BIO']","","['Kimberly A. Kandl']","200","","IS/The Yips and Brain","298","False","False","","2","O","20022","","Research","2002"
"4486","1.0","154","['BIO']","","['Scott Scholl']","200","","IS/Sports Injuries","298","False","False","A","2","O","20022","","Research","2002"
"4487","1.0","154","['BIO']","","['Louis Henry Kermott']","200","","IS/Obj-C for Biology","298","False","False","B","2","O","20022","","Research","2002"
"4488","1.0","154","['BIO']","","['Theodore Johnson']","200","","IS/End of Life Care","298","False","False","C","2","O","20022","","Research","2002"
"4489","1.0","154","['BIO']","","['Theodore Johnson']","200","","IS/Neonatal Care-Aust","298","False","False","D","2","O","20022","","Research","2002"
"4490","1.0","154","['BIO']","","['Theodore Johnson']","200","","IS/Drugs and Athletes","298","False","False","E","2","O","20022","","Research","2002"
"4491","1.0","154","['BIO']","","['Theodore Johnson']","200","","IS/Health Care","298","False","False","F","2","O","20022","","Research","2002"
"4492","1.0","154","['BIO']","","['Theodore Johnson']","200","","IS/Health Care Engl","298","False","False","G","2","O","20022","","Research","2002"
"4493","1.0","172","['BIO']","","['Louis Henry Kermott']","300","['SC 210', 'SC 210', 'SC 210']","Top: Animal Behavior","391","False","False","","2","C","20022","['M-Th 0900-1000', 'M-Th 1040-1200PM', 'M-Th 0100-0200PM']","Topic","2002"
"4494","1.0","174","['BIO']","","['Theodore Johnson']","300","","Academic Internship","394","True","False","","2","O","20022","","Research","2002"
"4495","1.0","175","['BIO']","","['Theodore Johnson']","300","","IR/Aids in Africa","398","False","False","","2","O","20022","","Research","2002"
"4496","1.0","175","['BIO']","","['Diane K. Angell']","300","","IR/Propofol & Amnesia","398","False","False","A","2","O","20022","","Research","2002"
"4497","1.0","175","['BIO']","","['Anne Walter']","300","","IR/Phytoalexins","398","False","False","B","2","O","20022","","Research","2002"
"4498","1.0","175","['BIO']","","['Anne Walter']","300","","IR/Phospholipase Az","398","False","False","C","2","O","20022","","Research","2002"
"4499","1.0","189","['CHEM']","","['Patrick N. Riley']","100","['SC 378']","Chemical Structure","123","False","False","","2","O","20022","['M-F 1040-1240PM']","Research","2002"
"4500","1.0","1552","['CHEM']","","['Mary Walczak']","100","['SC 374', 'SC 363']","Environmental Chem","124","False","False","","2","O","20022","['M-F 0800-1000', 'TWTh 1230-0330PM']","Research","2002"
"4501","1.0","198","['CHEM']","","['Gary O. Spessard']","200","['SC 310']","Organometallic Chem","252","False","False","","2","O","20022","['M-F 1040-1240PM']","Research","2002"
"4502","0.0","198","['CHEM']","","['Gary O. Spessard']","200","","FLC--German","252","True","False","L","2","O","20022","","Research","2002"
"4503","1.0","215","['CHEM']","","['Wesley Pearson']","300","['SC 310']","Organic Analys/Theory","380","False","False","","2","O","20022","['M-F 0800-1000']","Research","2002"
"4504","1.0","226","['CLASS']","","['Jon Bruss']","100","['OM 031']","Alexander the Great","127","False","False","","2","O","20022","['M-F 0100-0300PM']","Research","2002"
"4505","1.0","232","['CLASS']","","['Anne Groton']","200","","Class Studies Greece","251","False","False","","2","C","20022","","Research","2002"
"4506","1.0","234","['CLASS']","","['James May']","200","","IS/Greek Lyric Poetry","298","False","False","","2","O","20022","","Research","2002"
"4507","1.0","236","['CLASS']","","['Steve T. Reece']","300","","IR/Ancient Biology","398","False","False","","2","O","20022","","Research","2002"
"4508","1.0","254","['ECON']","","['Xun Pomponio']","100","['HH 317']","Transition Economies","111","False","False","","2","O","20022","['M-F 1040-1240PM']","Research","2002"
"4509","1.0","254","['ECON']","","['Edward David Emery']","100","['OM 004', 'OM 004']","Capitalism: Econ Hist","111","False","False","","2","O","20022","['M-F 0900-1000', 'M-F 1040-1210PM']","Research","2002"
"4510","1.0","262","['ECON']","","['Mark Pernecky']","200","['OM 011', 'OM 011']","Economic Justice","220","False","False","","2","C","20022","['MWF 0900-1000', 'MWF 1045-1245PM']","Research","2002"
"4511","1.0","276","['ECON']","","['Terry J. Fitzgerald']","200","","Academic Internship","294","True","False","","2","O","20022","","Research","2002"
"4512","1.0","276","['ECON']","","['Bruce Dalgaard']","200","","Academic Internship","294","True","False","A","2","O","20022","","Research","2002"
"4513","1.0","277","['ECON']","","['Richard Goedde']","200","","IS/Rain Distribution","298","False","False","","2","O","20022","","Research","2002"
"4514","1.0","284","['ECON']","","['Richard Goedde']","300","","Academic Internship","394","True","False","","2","O","20022","","Research","2002"
"4515","1.0","285","['ECON']","","['Richard Goedde']","300","","IR/Warranty Study","398","False","False","","2","O","20022","","Research","2002"
"4516","1.0","1618","['CSCI']","","['Richard Brown']","300","['SC 186', 'SC 186']","Sem: Operating Systems","378","False","False","","2","O","20022","['M-F 0830-1000', 'M-F 0100-0300PM']","Seminar","2002"
"4517","1.0","308","['EDUC']","","['Maria L. Kelly']","100","","Schools & Communities","170","True","False","","2","O","20022","","Research","2002"
"4518","1.0","310","['EDUC']","","['Martha Harris']","200","","Perspectives On Tchg","260","True","False","","2","C","20022","","Research","2002"
"4519","1.0","314","['EDUC']","","['Maria L. Kelly']","200","","IS/Early Child Pract","298","False","False","","2","O","20022","","Research","2002"
"4520","1.0","338","['EDUC']","","['Myron L. Solid']","300","","Multi-Cult Ed Hawaii","378","True","False","","2","C","20022","","Research","2002"
"4521","1.0","339","['EDUC']","","['Rosemary A. Pfarr-Baker']","300","","Urban Ed Practicum","379","True","False","","2","C","20022","","Research","2002"
"4522","1.0","1646","['DNCTH']","","['Susan Bauer']","100","['DC STUDIO 1', 'DC STUDIO 3']","Creative Dance/Child","120","False","False","","2","C","20022","['M-Th 0900-1000', 'M-Th 1040-1200PM']","Research","2002"
"4523","1.0","382","['ENGL']","","['Joseph L. Mbele']","100","['RML 525']","Trickstr/Post-Col Lit","108","False","False","","2","C","20022","['M-F 0100-0300PM']","Research","2002"
"4524","1.0","387","['ENGL']","","['Mary Steen']","100","['RML 525']","Reading for Life","132","False","False","","2","C","20022","['M-F 1040-1240PM']","Research","2002"
"4525","1.0","390","['ENGL']","","['Jon Eric Nelson']","100","['RML 515']","Detective Fiction","169","False","False","","2","C","20022","['M-F 0100-0300PM']","Research","2002"
"4526","1.0","415","['ENGL']","","['David Wee']","200","","The Moral Vision","253","False","False","","2","C","20022","","Research","2002"
"4527","1.0","421","['ENGL']","","['Jonathan Hill']","200","","Lit Eastern Caribbean","270","False","False","","2","C","20022","","Research","2002"
"4528","1.0","428","['ENGL']","","['Karen E. Marsalek']","200","['RML 515']","Studies in Drama","282","False","False","","2","O","20022","['M-F 1040-1240PM']","Research","2002"
"4529","1.0","430","['ENGL']","","['Joan Hepburn']","200","","Performing Arts in NY","284","False","False","","2","C","20022","","Research","2002"
"4530","1.0","434","['ENGL']","","['Elizabeth Hutchins']","200","","IS/Writing Child Lit","298","False","False","","2","O","20022","","Research","2002"
"4531","1.0","434","['ENGL']","","['Jon Eric Nelson']","200","","IS/Detective Fiction","298","False","False","A","2","O","20022","","Research","2002"
"4532","1.0","436","['ENGL']","","['Carol Holly']","300","['RML 420']","Advanced Amer Lit","340","False","False","","2","C","20022","['M-F 1040-1240PM']","Topic","2002"
"4533","1.0","446","['ENGL']","","['Karen Cherewatuk']","300","['RML 520', 'RML 520']","Brit Auth: Chaucer","391","False","False","","2","O","20022","['M-F 0900-1000', 'M-F 1040-1140']","Seminar","2002"
"4534","1.0","1732","['ENVST']","","['Jean C. Porterfield']","200","","Biosphere Ecology","260","False","False","","2","C","20022","","Research","2002"
"4535","1.0","464","['ENVST']","","['Kristina MacPherson']","200","","Academic Internship","294","True","False","","2","O","20022","","Research","2002"
"4536","1.0","464","['ENVST']","","['Robert Jacobel']","200","","Academic Internship","294","True","False","A","2","O","20022","","Research","2002"
"4537","1.0","479","['FREN']","","['M. Clare Mather']","200","['OM 021']","Intermed French I","231","False","False","","2","O","20022","['M-F 1040-1240PM']","Research","2002"
