"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5639","1.0","4","[""AMST""]","34","""3/999""","","[""James Farrell""]","""0/999""","100","[""RML 421""]","25","""Perspec Amer Culture""","100","false","","1","""12/999""","""3/999""","""C""","20031","[""MWF 1045-1140""]","""Research""","2003"
"5640","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Habit of My Heart""","298","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5641","1.0","15","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","300","","999","""IR/Sustainable Future""","398","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5642","1.0","16","[""AFAM""]","31","""0/999""","","[""Joseph L. Mbele""]","""3/999""","200","[""RML 577""]","25","""Africa & the Americas""","231","false","","1","""19/999""","""-1/999""","""C""","20031","[""MWF 0905-1000""]","""Seminar""","2003"
"5643","0.5","19","[""ART""]","22","""8/9""","","[""John Saurer""]","""1/1""","100","[""DC 216""]","22","""Found Perceptual Draw""","111","false","","1","""2/1""","""5/5""","""C""","20031","[""MWF 0200-0255PM""]","""Research""","2003"
"5644","0.5","20","[""ART""]","23","""10/9""","","[""Kristen Lowe""]","""2/2""","100","[""DC 216""]","22","""Found Conceptual Draw""","112","false","""A""","1","""2/2""","""4/5""","""C""","20031","[""MWF 1045-1140""]","""Research""","2003"
"5645","0.5","20","[""ART""]","17","""4/10""","","[""Kristen Lowe""]","""3/3""","100","[""DC 216""]","22","""Found Conceptual Draw""","112","false","""B""","1","""2/2""","""2/5""","""O""","20031","[""MWF 1255-0150PM""]","""Research""","2003"
"5646","0.5","21","[""ART""]","20","""7/7""","","[""Wendell Arneson""]","""3/3""","100","[""DC 116""]","22","""Found Color Design""","113","false","""A""","1","""5/2""","""4/4""","""O""","20031","[""MWF 0905-1000""]","""Research""","2003"
"5647","0.5","21","[""ART""]","17","""2/9""","","[""Jill Ewald""]","""1/1""","100","[""DC 116""]","22","""Found Color Design""","113","false","""B""","1","""3/2""","""4/5""","""O""","20031","[""MWF 1150-1245PM""]","""Research""","2003"
"5648","0.5","22","[""ART""]","17","""3/5""","","[""Mollie Rabiner""]","""1/1""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","""A""","1","""3/2""","""4/4""","""O""","20031","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2003"
"5649","0.5","22","[""ART""]","12","""6/8""","","[""Mollie Rabiner""]","""1/1""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","""B""","1","""2/1""","""4/4""","""O""","20031","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2003"
"5650","0.5","24","[""ART""]","20","""3/5""","","[""Ron Gallas""]","""2/1""","100","[""DC 115C"", ""DC 115C""]","18","""Found Ceramics: Hand""","116","false","","1","""4/2""","""3/3""","""C""","20031","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2003"
"5651","0.5","25","[""ART""]","14","""2/2""","","[""Patrick T. Kelley""]","""4/3""","100","[""DC 100"", ""DC 100""]","14","""Foundn Digital Media""","117","false","""A""","1","""5/2""","""3/3""","""C""","20031","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2003"
"5652","0.5","25","[""ART""]","15","""0/0""","","[""Patrick T. Kelley""]","""1/1""","100","[""DC 100"", ""DC 100""]","15","""Foundn Digital Media""","117","false","""B""","1","""2/1""","""3/3""","""C""","20031","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2003"
