"clbid","credits","crsid","departments","enrolled","firsties","gereqs","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"7603","1.0","4","[""AMST""]","33","""9/999""","","","[""James Farrell""]","""0/999""","100","[""RML 421""]","32","""Perspect Am Culture""","100","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7604","1.0","11","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7605","1.0","12","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7606","1.0","12","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7607","1.0","14","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7608","1.0","15","[""AMST""]","1","""0/999""","","","[""James Farrell""]","""0/999""","300","","999","""IR/Parent in America""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7609","1.0","15","[""AMST""]","1","""0/999""","","","[""Carol Holly""]","""0/999""","300","","999","""IR/Coming Age America""","398","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7610","0.5","19","[""ART""]","20","""7/7""","","","[""John Saurer""]","""0/3""","100","[""DC 216""]","22","""Found Perceptual Draw""","111","false","""A""","1","""0/2""","""0/6""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7611","0.5","19","[""ART""]","19","""8/10""","","","[""John Saurer""]","""0/3""","100","[""DC 216""]","22","""Found Perceptual Draw""","111","false","""B""","1","""0/2""","""0/8""","""O""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7612","0.5","20","[""ART""]","16","""7/12""","","","[""Wendell Arneson""]","""0/3""","100","[""DC 216""]","22","""Found Conceptual Draw""","112","false","""A""","1","""0/3""","""0/8""","""O""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7613","0.5","20","[""ART""]","22","""9/11""","","","[""Mary Griep""]","""0/4""","100","[""DC 216""]","22","""Found Conceptual Draw""","112","false","""B""","1","""0/3""","""0/6""","""C""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"7614","0.5","21","[""ART""]","16","""6/6""","","","[""Wendell Arneson""]","""0/2""","100","[""DC 116""]","22","""Found Color Design""","113","false","","1","""0/1""","""0/4""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7615","0.5","22","[""ART""]","16","""6/6""","","","[""Irve Dell""]","""0/1""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","""A""","1","""0/2""","""0/2""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7616","0.5","22","[""ART""]","11","""8/8""","","","[""Irve Dell""]","""0/2""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","""B""","1","""0/2""","""0/4""","""C""","20041","[""T 0305-0430PM"", ""Th 0355-0450PM""]","""Research""","2004"
"7617","0.5","23","[""ART""]","17","""1/1""","","","[""Margaret Ojala""]","""0/1""","100","[""DC 102"", ""DC 102""]","18","""Found Photography""","115","false","","1","""0/2""","""0/4""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"7618","0.5","24","[""ART""]","20","""4/4""","","","[""Ron Gallas""]","""0/3""","100","[""DC 115C"", ""DC 115C""]","18","""Found Ceramics: Hand""","116","false","","1","""0/2""","""0/4""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7619","0.5","25","[""ART""]","15","""2/2""","","","[""Patrick T. Kelley""]","""0/3""","100","[""DC 100"", ""DC 100""]","15","""Found Digital Media""","117","false","""A""","1","""0/2""","""0/5""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"7620","0.5","25","[""ART""]","11","""2/2""","","","[""Patrick T. Kelley""]","""0/2""","100","[""DC 100"", ""DC 100""]","15","""Found Digital Media""","117","false","""B""","1","""0/1""","""0/4""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7621","0.5","26","[""ART""]","20","""3/3""","","","[""Ron Gallas""]","""0/2""","100","[""DC 115E"", ""DC 115E""]","18","""Found Ceramics: Wheel""","119","false","","1","""0/2""","""0/4""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7622","1.0","27","[""ART""]","19","""18/999""","","","[""Mary Griep""]","""0/999""","100","[""DC 216""]","18","""Honors Found Drawing""","120","false","","1","""0/999""","""0/999""","""C""","20041","[""TTh 0800-1100""]","""Research""","2004"
"7623","1.0","31","[""ART""]","49","""14/14""","","","[""Nancy M. Thompson"", ""Karil J. Kucera""]","""0/8""","100","[""DC 305""]","50","""Intro/Art History I""","150","false","","1","""0/5""","""0/14""","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7624","1.0","33","[""ART""]","25","""1/999""","","","[""Wendell Arneson""]","""0/999""","200","[""DC 214""]","22","""Oil/Acrylic Painting""","221","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0255PM""]","""Research""","2004"
"7625","1.0","35","[""ART""]","14","""0/999""","","","[""Irve Dell""]","""0/999""","200","[""DC 105"", ""DC 105""]","15","""Sculpt: Metal Casting""","223","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Research""","2004"
"7626","1.0","39","[""ART""]","14","""1/999""","","","[""John Saurer""]","""0/999""","200","[""DC 212""]","16","""Printmkg: Intaglio/Mono""","227","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1245PM""]","""Research""","2004"
"7627","1.0","46","[""ART""]","15","""0/999""","","","[""Margaret Ojala""]","""0/999""","200","[""DC 102"", ""DC 102""]","14","""Intermed Photography""","238","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Research""","2004"
"7628","1.0","47","[""ART""]","11","""0/999""","","","[""Patrick T. Kelley""]","""0/999""","200","[""DC 101"", ""DC 101""]","15","""Video Art Production""","239","false","","1","""0/999""","""0/999""","""O""","20041","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Research""","2004"
"7629","1.0","50","[""ART""]","31","""1/999""","","","[""Heather M. Brooks-Shirey""]","""0/999""","200","[""DC 305"", ""DC 305""]","30","""Art 1776-1880""","251","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7630","1.0","57","[""ART""]","31","""0/999""","","","[""Karil J. Kucera""]","""0/999""","200","[""DC 305""]","29","""Arts of China""","259","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"7631","1.0","67","[""ART""]","17","""0/999""","","","[""Nancy M. Thompson""]","""0/999""","200","[""DC 204"", ""DC 204""]","18","""Women in Art""","277","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7632","1.0","68","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7633","1.0","69","[""ART""]","1","""0/999""","","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Adv Oil Painting""","298","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7634","1.0","69","[""ART""]","1","""0/999""","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Handbuilt Dishware""","298","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7635","1.0","69","[""ART""]","2","""0/999""","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Adv Ceramics II""","298","false","""B""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7636","1.0","69","[""ART""]","1","""0/999""","","","[""Margaret Ojala""]","""0/999""","200","","999","""IS/Photo as Theatre""","298","false","""C""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7637","1.0","69","[""ART""]","1","""0/999""","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramics in Series""","298","false","""D""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7638","1.0","69","[""ART""]","1","""0/999""","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Fantasy Ceramics""","298","false","""E""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7639","1.0","69","[""ART""]","1","""0/999""","","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Adv Oil Painting""","298","false","""F""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7640","1.0","69","[""ART""]","1","""0/999""","","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Picasso Use of Wmn""","298","false","""G""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7641","1.0","69","[""ART""]","1","""0/999""","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Figurative Ceramic""","298","false","""H""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7642","1.0","69","[""ART""]","1","""0/999""","","","[""Mary Griep""]","""0/999""","200","","999","""IS/Art/Phil Dialogue""","298","false","""I""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7643","1.0","70","[""ART""]","20","""0/999""","","","[""John Saurer""]","""0/999""","300","[""DC 204""]","18","""Topics Sem/Studio Art""","340","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 0800-1000""]","""Topic""","2004"
"7644","1.0","73","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7645","1.0","75","[""ART""]","1","""0/999""","","","[""Heather M. Brooks-Shirey""]","""0/999""","300","","999","""IR/Nonviolence""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7646","1.0","75","[""ART""]","1","""0/999""","","","[""Karil J. Kucera""]","""0/999""","300","","999","""IR/Bosatsu in Japan""","398","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7647","1.0","75","[""ART""]","1","""0/999""","","","[""Nancy M. Thompson""]","""0/999""","300","","999","""IR/Iranian Women Art""","398","false","""B""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7648","1.0","75","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""C""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7649","1.0","76","[""ASIAN""]","21","""4/999""","","","[""Barbara Reed""]","""0/999""","100","[""OM 015"", ""OM 015""]","18","""Family & Self/E Asia""","111","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7650","1.0","78","[""ASIAN""]","22","""7/999""","","","[""Richard Bodman""]","""0/999""","100","[""OM 001""]","35","""Asian Cultures""","121","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7651","1.0","83","[""ASIAN""]","31","""0/999""","","","[""Pin Pin Wan""]","""0/999""","100","[""OM 001"", ""OM 001""]","30","""Cont China Thru Film""","156","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7652","1.0","84","[""ASIAN""]","17","""0/999""","","","[""Katherine S. Tegtmeyer Pak""]","""0/999""","200","[""OM 011"", ""OM 011""]","20","""Rice & Society/E Asia""","211","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7653","1.0","94","[""ASIAN""]","2","""0/999""","","","[""Pin Pin Wan""]","""0/999""","200","","999","""IS/Film in Chinese""","298","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7654","1.0","94","[""ASIAN""]","1","""0/999""","","","[""Phyllis Hyland Larson""]","""0/999""","200","","999","""IS/4th Year Japanese""","298","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7655","1.0","97","[""ASIAN""]","1","""0/999""","","","[""Robert Entenmann""]","""0/999""","300","","999","""IR/Finding Butoh""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
