"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"9127","1.0","9","[""AMST""]","32","""0/999""","","[""Judy Kutulas""]","""2/999""","200","[""SC 188"", ""SC 188""]","30","""Top: Amer Adolescence""","209","false","","3","""12/999""","""5/999""","""C""","20043","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Topic""","2004"
"9128","1.0","11","[""AMST""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9129","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Education in Amer""","298","false","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9130","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Habits of My Heart""","298","false","""A""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9131","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Am Political Value""","298","false","""B""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9132","1.0","13","[""AMST""]","16","""0/999""","","[""Mark Allister""]","""2/999""","300","[""RML 421""]","15","""Sem: Complex Culture""","301","false","","3","""1/999""","""0/999""","""C""","20043","[""MWF 0200-0255PM""]","","""Seminar""","2004"
"9133","1.0","17","[""AFAM""]","24","""0/999""","","[""Michael Fitzgerald""]","""3/999""","200","[""RML 577""]","22","""Sem: Africa/Americas""","232","false","","3","""7/999""","""4/999""","""C""","20043","[""MWF 0905-1000""]","","""Seminar""","2004"
"9134","0.5","19","[""ART""]","20","""5/5""","","[""Jill Ewald""]","""4/3""","100","[""DC 216"", ""DC 216""]","22","""Found Perceptual Draw""","111","false","","3","""2/2""","""2/2""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2004"
"9135","0.5","20","[""ART""]","22","""9/9""","","[""Mary Griep""]","""2/2""","100","[""DC 216""]","22","""Found Conceptual Draw""","112","false","","3","""3/3""","""2/5""","""C""","20043","[""MWF 1255-0150PM""]","","""Research""","2004"
"9136","0.5","21","[""ART""]","23","""6/6""","","[""Wendell Arneson""]","""2/2""","100","[""DC 116""]","22","""Found Color Design""","113","false","""A""","3","""2/2""","""2/2""","""C""","20043","[""MWF 0905-1000""]","","""Research""","2004"
"9137","0.5","21","[""ART""]","26","""5/5""","","[""Wendell Arneson""]","""2/2""","100","[""DC 116""]","22","""Found Color Design""","113","false","""B""","3","""3/3""","""3/3""","""C""","20043","[""MWF 1045-1140""]","","""Research""","2004"
"9138","0.5","22","[""ART""]","17","""6/5""","","[""Ron Gallas""]","""1/1""","100","[""DC 106"", ""DC 106""]","16","""Foundation Sculpture""","114","false","","3","""2/2""","""5/5""","""C""","20043","[""T 0120-0245PM"", ""Th 0215-0335PM""]","","""Research""","2004"
"9139","0.5","23","[""ART""]","21","""4/4""","","[""Margaret Ojala""]","""3/3""","100","[""DC 102"", ""DC 102""]","20","""Found Photography""","115","false","""A""","3","""2/2""","""7/6""","""C""","20043","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2004"
"9140","0.5","23","[""ART""]","19","""5/5""","","[""Margaret Ojala""]","""1/1""","100","[""DC 102"", ""DC 102""]","20","""Found Photography""","115","false","""B""","3","""2/2""","""5/5""","""C""","20043","[""T 0120-0245PM"", ""Th 0215-0335PM""]","","""Research""","2004"
"9141","0.5","25","[""ART""]","14","""1/1""","","[""Patrick T. Kelley""]","""0/0""","100","[""DC 100"", ""DC 100""]","11","""Found Digital Media""","117","false","","3","""0/0""","""0/4""","""C""","20043","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2004"
"9142","0.5","26","[""ART""]","17","""5/3""","","[""Ron Gallas""]","""1/0""","100","[""DC 115E"", ""DC 115E""]","14","""Found Ceramics: Wheel""","119","false","""A""","3","""0/0""","""0/2""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2004"
"9143","0.5","26","[""ART""]","16","""3/3""","","[""Ron Gallas""]","""0/1""","100","[""DC 115E"", ""DC 115E""]","16","""Found Ceramics: Wheel""","119","false","""B""","3","""1/1""","""5/5""","""C""","20043","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2004"
"9144","1.0","32","[""ART""]","48","""16/15""","","[""Nancy M. Thompson"", ""Matthew Rohn""]","""5/5""","100","[""DC 305""]","50","""Intro/Art History II""","151","false","","3","""3/3""","""10/10""","""C""","20043","[""MWF 1045-1140""]","","""Research""","2004"
"9145","1.0","34","[""ART""]","22","""1/999""","","[""Wendell Arneson""]","""4/999""","200","[""DC 116""]","22","""Watercolor Painting""","222","false","","3","""2/999""","""1/999""","""C""","20043","[""MWF 1255-0255PM""]","","""Research""","2004"
"9146","1.0","36","[""ART""]","15","""0/999""","","[""John Saurer""]","""2/999""","200","[""DC 105"", ""DC 105""]","14","""Sculpt: Metal Direct""","224","false","","3","""2/999""","""2/999""","""C""","20043","[""T 0800-1100"", ""Th 0800-1050""]","","""Research""","2004"
"9147","1.0","38","[""ART""]","12","""0/999""","","[""John Saurer""]","""4/999""","200","[""DC 212"", ""DC 212""]","16","""Printmkg: Relief/Litho""","226","false","","3","""1/999""","""0/999""","""C""","20043","[""T 1145-0245PM"", ""Th 1245-0345PM""]","","""Research""","2004"
"9148","1.0","40","[""ART""]","10","""0/999""","","[""Patrick T. Kelley""]","""3/999""","200","[""DC 100"", ""DC 100""]","15","""Computer Gen Imagery""","228","false","","3","""1/999""","""0/999""","""O""","20043","[""T 0800-1100"", ""Th 0800-1050""]","","""Research""","2004"
"9149","1.0","43","[""ART""]","18","""0/999""","","[""Mary Griep""]","""0/999""","200","[""DC 216""]","20","""Figure Drawing""","232","false","","3","""2/999""","""0/999""","""O""","20043","[""MWF 0800-1000""]","","""Research""","2004"
"9150","1.0","51","[""ART""]","26","""0/999""","","[""Matthew Rohn""]","""4/999""","200","[""DC 305""]","30","""Art 1880-1950""","252","false","","3","""8/999""","""0/999""","""C""","20043","[""MWF 0905-1000""]","","""Research""","2004"
"9151","1.0","53","[""ART""]","32","""1/999""","","[""Nancy M. Thompson""]","""3/999""","200","[""DC 305"", ""DC 305""]","30","""Italian Renaissance""","254","false","","3","""10/999""","""12/999""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2004"
"9152","1.0","58","[""ART""]","30","""0/999""","","[""Karil J. Kucera""]","""6/999""","200","[""DC 305""]","30","""Arts of Japan""","260","false","","3","""11/999""","""2/999""","""C""","20043","[""MWF 1150-1245PM""]","","""Research""","2004"
"9153","1.0","63","[""ART""]","29","""10/999""","","[""Heather M. Brooks-Shirey""]","""6/999""","200","[""DC 305"", ""DC 305""]","30","""African Art History""","269","false","","3","""3/999""","""1/999""","""O""","20043","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2004"
"9154","1.0","68","[""ART""]","2","""0/999""","","[""Margaret Ojala""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9155","1.0","69","[""ART""]","3","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Advanced Ceramics""","298","false","","3","""0/999""","""1/999""","""O""","20043","","","""Research""","2004"
"9156","1.0","69","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Painting From Life""","298","false","""A""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
