"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"10143","1.0","32","[""ART""]","4","""0/999""","","[""Heather M. Brooks-Shirey""]","""0/999""","100","[""DC 305""]","999","""Intro/Art History II""","151","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10144","1.0","126","[""BIO""]","7","""0/999""","126","[""Staff""]","""0/999""","200","[""SC 278""]","999","""Human Anatomy & Physiol""","243","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10145","0.0","127","[""BIO""]","7","""0/999""","126","[""Staff""]","""0/999""","200","[""SC 253""]","999","""Human Anatomy & Physiol""","243","false","4","""0/999""","""0/999""","""O""","20044","[""TTh 0100-0400PM""]","""Lab""","2004"
"10146","1.0","192","[""CHEM""]","8","""0/999""","192","[""Patrick N. Riley""]","""0/999""","100","[""SC 374""]","999","""Struct Chem & Equilib""","125","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10147","0.0","193","[""CHEM""]","8","""0/999""","192","[""Patrick N. Riley""]","""0/999""","100","[""SC 363""]","999","""Struct Chem & Equilib""","125","false","4","""0/999""","""0/999""","""O""","20044","[""MW 0100-0400PM""]","""Lab""","2004"
"10148","1.0","196","[""CHEM""]","36","""0/999""","","[""Anthony T. Watson"", ""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10149","0.25","199","[""CHEM""]","34","""0/999""","","[""Anthony T. Watson"", ""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","4","""0/999""","""0/999""","""O""","20044","[""MW 0100-0400PM""]","""Lab""","2004"
"10150","1.0","259","[""ECON""]","0","""0/999""","","[""Veronika Dolar""]","""0/999""","100","[""HH 413""]","999","""Principles of Econ""","121","false","4","""0/999""","""0/999""","""X""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10151","1.0","315","[""EDUC""]","12","""0/999""","","[""Daniel R. Forstner"", ""Robert W. McClure""]","""0/999""","300","","999","""Soc St-Elem Classroom""","314","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
"10152","1.0","316","[""EDUC""]","12","""0/999""","","[""Daniel R. Forstner""]","""0/999""","300","","999","""Reading Comm Literacy""","315","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
