"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"10184","1.0","98","[""ASIAN""]","1","""0/999""","","[""Richard Bodman""]","""0/999""","300","","999","""Sem: Asia""","399","false","","5","""0/999""","""0/999""","""C""","20045","","""Seminar""","2004"
"10185","1.0","194","[""CHEM""]","8","""0/999""","194","[""Patrick N. Riley""]","""0/999""","100","[""SC 374""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10186","0.0","195","[""CHEM""]","8","""0/999""","194","[""Patrick N. Riley""]","""0/999""","100","[""SC 363""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","20045","[""MW 0100-0400PM""]","""Lab""","2004"
"10187","1.0","197","[""CHEM""]","34","""0/999""","","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10188","0.25","200","[""CHEM""]","32","""0/999""","","[""Anthony T. Watson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","20045","[""MW 0100-0400PM""]","""Lab""","2004"
"10189","1.0","317","[""EDUC""]","12","""0/999""","","[""Robert W. McClure""]","""0/999""","300","","999","""Science Hlth Living""","316","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10190","1.0","318","[""EDUC""]","12","""0/999""","","[""Robert W. McClure""]","""0/999""","300","","999","""Math--Elem Classroom""","317","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10191","0.25","351","[""DNCTE""]","0","""0/999""","","[""Anthony Roberts""]","""0/999""","100","[""DC Studio 1""]","999","""Modern Dance I""","111","true","","5","""0/999""","""0/999""","""X""","20045","[""M-F 0800-0930""]","""Research""","2004"
"10192","1.0","368","[""DNCTH""]","","","","[""Anthony Roberts""]","","100","[""DC Studio 1""]","","""Dancing With Computer""","150","false","","5","","","""X""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10193","1.0","418","[""ENGL""]","7","""0/999""","","[""Mary V. Winstead""]","""0/999""","200","[""RML 515""]","999","""Creat Wrtg: Fict/Poet""","257","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10194","1.0","504","[""GERM""]","0","""0/999""","","[""Staff""]","""0/999""","100","","999","""Beginning German I""","111","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10195","1.0","505","[""GERM""]","1","""0/999""","","[""Staff""]","""0/999""","100","","999","""Beginning German II""","112","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10196","1.0","508","[""GERM""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Intermed German I""","231","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10197","1.0","509","[""GERM""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""Intermed German II""","232","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10198","1.0","514","[""GERM""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Speaking German""","250","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10199","1.0","770","[""MGMT""]","0","""0/999""","","[""Richard Goedde""]","""0/999""","200","[""HH 413""]","999","""Computer Applications""","230","false","","5","""0/999""","""0/999""","""X""","20045","[""M-Th 1230-0230PM""]","""Research""","2004"
"10200","1.0","804","[""MUSIC""]","3","""0/999""","","[""David Carter""]","""0/999""","100","[""CHM 239""]","999","""The Art of Music""","131","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 0800-0930""]","""Research""","2004"
"10201","1.0","921","[""NORW""]","0","""0/999""","","[""Dorer Kari L.""]","""0/999""","100","[""RML 577""]","999","""Beginning Norwegian I""","111","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1230-0200PM""]","""Research""","2004"
"10202","1.0","922","[""NORW""]","1","""0/999""","","[""Dorer Kari L.""]","""0/999""","100","[""RML 577""]","999","""Begin Norwegian II""","112","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10203","1.0","926","[""NORW""]","4","""0/999""","","[""Dorer Kari L.""]","""0/999""","200","[""RML 577""]","999","""Intermed Norwegian I""","231","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 0800-0930""]","""Research""","2004"
"10204","0.25","997","[""PEAC""]","6","""0/999""","","[""Staff""]","""0/999""","100","","999","""Golf""","103","false","","5","""0/999""","""0/999""","""O""","20045","","""Research""","2004"
"10205","1.0","1074","[""PHYS""]","7","""0/999""","1074","[""Matthew C. Feig""]","""0/999""","100","[""SC 129""]","999","""Principles Physics II""","125","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10206","0.0","1075","[""PHYS""]","7","""0/999""","1074","[""Matthew C. Feig""]","""0/999""","100","[""SC 111""]","999","""Principles Physics II""","125","false","","5","""0/999""","""0/999""","""O""","20045","[""WTh 0100-0330PM""]","""Lab""","2004"
"10207","1.0","1168","[""PSYCH""]","5","""0/999""","","[""Dana Gross""]","""0/999""","200","[""HH 317""]","999","""Developmental Psych""","241","false","","5","""0/999""","""0/999""","""O""","20045","[""M-Th 1230-0200PM""]","""Research""","2004"
"10208","1.0","1207","[""REL""]","11","""0/999""","","[""James Hanson""]","""0/999""","200","[""RML 520""]","999","""St.Paul/Letter/Gospel""","223","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10209","1.0","1232","[""REL""]","19","""0/999""","","[""James Hanson""]","""0/999""","200","[""RML 515""]","999","""The Ethics of Jesus""","276","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1230-0200PM""]","""Research""","2004"
"10210","1.0","1376","[""THEAT""]","11","""0/999""","","[""Gary C. Gisselman""]","""0/999""","100","[""TB Haugen""]","999","""Acting for Non-Majors""","115","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"10211","1.0","1402","[""STAT""]","8","""0/999""","","[""Kathryn Ziegler""]","""0/999""","100","[""SC 184""]","999","""Prin of Statistics""","110","false","","5","""0/999""","""0/999""","""O""","20045","[""M-F 1000-1130""]","""Research""","2004"
"47382","1.0","1057","[""PETH""]","3","""0/0""","","[""Cynthia Book""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47383","1.0","1057","[""PETH""]","1","""0/0""","","[""William Sean Goldsworthy""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47400","1.0","784","[""MGMT""]","1","""0/0""","","[""John M. Ophaug""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
