"clbid","credits","crsid","departments","enrolled","firsties","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"10217","1.0","4","[""AMST""]","29","""0/0""","","","","[""James Farrell""]","""0/5""","100","[""RML 421""]","28","""Perspect Am Culture""","100","false","","1","""0/5""","""0/5""","""C""","20051","[""MWF 1045-1140""]","""American Culture: Interdisciplinary Perspectives""","""Research""","2005"
"10218","1.0","11","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10219","1.0","12","[""AMST""]","3","""0/999""","","","","[""James Farrell""]","""0/999""","200","","999","""IS/Campus Ecology II""","298","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10220","1.0","12","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10221","1.0","14","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10222","1.0","15","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10223","1.0","15","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10224","0.5","19","[""ART""]","18","""0/10""","","","","[""John Saurer""]","""0/2""","100","[""DC 216""]","22","""Found Perceptual Draw""","111","false","""A""","1","""0/2""","""0/4""","""O""","20051","[""MWF 1255-0150PM""]","""Foundation Perceptual Drawing""","""Research""","2005"
"10225","0.5","19","[""ART""]","18","""0/11""","","","","[""John Saurer""]","""0/1""","100","[""DC 216""]","22","""Found Perceptual Draw""","111","false","""B""","1","""0/3""","""0/6""","""O""","20051","[""MWF 0200-0255PM""]","""Foundation Perceptual Drawing""","""Research""","2005"
"10226","0.5","20","[""ART""]","19","""0/10""","","","","[""Jil Evans""]","""0/3""","100","[""DC 216"", ""DC 216""]","22","""Found Conceptual Draw""","112","false","","1","""0/3""","""0/3""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Foundation Conceptual Drawing""","""Research""","2005"
"10227","0.5","21","[""ART""]","24","""0/10""","","","","[""Wendell Arneson""]","""0/1""","100","[""DC 116""]","22","""Found Color Design""","113","false","""A""","1","""0/2""","""0/2""","""O""","20051","[""MWF 0905-1000""]","""Foundation Color Design""","""Research""","2005"
"10228","0.5","21","[""ART""]","24","""0/9""","","","","[""Wendell Arneson""]","""0/4""","100","[""DC 116""]","22","""Found Color Design""","113","false","""B""","1","""0/3""","""0/2""","""O""","20051","[""MWF 1045-1140""]","""Foundation Color Design""","""Research""","2005"
"10229","0.5","22","[""ART""]","13","""0/6""","","","","[""Irve Dell""]","""0/1""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","""A""","1","""0/3""","""0/4""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2005"
"10230","0.5","22","[""ART""]","11","""0/6""","","","","[""Irve Dell""]","""0/3""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","""B""","1","""0/3""","""0/5""","""O""","20051","[""T 0305-0430PM"", ""Th 0355-0515PM""]","","""Research""","2005"
"10231","0.5","23","[""ART""]","20","""0/5""","","","","[""Margaret Ojala""]","""0/1""","100","[""DC 102"", ""DC 102""]","20","""Found Photography""","115","false","","1","""0/3""","""0/2""","""O""","20051","[""T 0800-0925"", ""Th 0800-0920""]","""Foundation Photography""","""Research""","2005"
"10232","0.5","24","[""ART""]","16","""0/6""","","","","[""Ron Gallas""]","""0/0""","100","[""DC 115C"", ""DC 115C""]","18","""Found Ceramics: Hand""","116","false","","1","""0/3""","""0/3""","""O""","20051","[""T 0305-0430PM"", ""Th 0355-0450PM""]","""Foundation Ceramics -- Handbuilding""","""Research""","2005"
"10233","0.5","25","[""ART""]","13","""0/4""","","","","[""Patrick T. Kelley""]","""0/2""","100","[""DC 100"", ""DC 100""]","15","""Found Digital Media""","117","false","""A""","1","""0/1""","""0/5""","""C""","20051","[""T 0800-0925"", ""Th 0800-0920""]","""Foundation Digital Media""","""Research""","2005"
