"clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year"
"11303","1.0","11","['AMST']","","","","['James Farrell']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11304","1.0","18","['ART']","This course introduces fundamental technical and perceptual skills of drawing, including the basic elements of mark, line, value, texture, form, space and their dynamics in composition. By translating observed subjects onto two-dimensional surfaces, students explore drawing as a means to self-expression, as a springboard to understanding how ideas are given visible form and as a cornerstone of artistic practice. Lab fee.","","","['Jil Evans']","100","['DC 216', 'DC 216', 'DC 216']","Foundation Drawing","","110","False","False","","2","C","20052","['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Foundation Perceptual and Conceptual Drawing","Research","2005"
"11305","1.0","48","['ART']","This course provides intensive exposure to career opportunities in the field of art including advertising, graphics, illustration, film, television, computer graphics, architecture, textile design and fine art (painting, sculpture, etc.). Working five to seven hours a day, students interview over 25 artists/designers during the month, visit more than 100 galleries and museums and write extensively about artists and artwork. This course does not count toward the minimum major in studio art or art history. Prerequisites: Art 253 (preferred) or Art 252. Offered Interim only.","","","['Margaret Ojala']","200","","Manhattan Art Interim","","246","False","Prerequisites: Art 253 (preferred) or Art 252. Offered Interim only.","","2","C","20052","","Manhattan Interim in New York City","Research","2005"
"11306","1.0","52","['ART']","This course is an introduction to postmodern art and thought through a survey of painting, sculpture, architecture, and new-media arts produced mostly in the United States since the Cold War era. Students learn about celebrated art and artists, major values informing their work, and ways of analyzing and making sense of newer art.","","","['Matthew Rohn']","200","['DC 305']","Art Since 1950","","253","False","False","","2","C","20052","['M-F 0800-1000']","","Research","2005"
"11307","1.0","54","['ART']","There is no substitute for direct, personal experience. In Italy, students study Renaissance and Medieval paintings, sculptures and buildings in context. Students examine the works that went before the Renaissance and the ones which came afterwards to work out for themselves what made Italian art special and what value it has for us today.","","","['Nancy M. Thompson']","200","","Ital Art in Context","","255","False","False","","2","C","20052","","Italian Art in Context","Research","2005"
"11308","1.0","62","['ART']","This course is an introductory exploration of Scandinavian visual arts and the cultural and historical forces related to them. The span of time, specific cultures covered and art forms studied varies depending upon the instructor.","","","['Kristi Holden']","200","['DC 305']","Arts of Scandinavia","","266","False","False","","2","O","20052","['M-F 0100-0300PM']","","Research","2005"
"11309","1.0","68","['ART']","","","","['Wendell Arneson']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11310","1.0","69","['ART']","","","","['Heather M. Brooks-Shirey']","200","","IS/Costa Rican Art","","298","False","False","","2","O","20052","","","Research","2005"
"11311","1.0","73","['ART']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","","Research","2005"
"11312","1.0","75","['ART']","Prerequisites: three courses in area of study.","","","['Wendell Arneson']","300","","IR/Ind. Painting","","398","False","Prerequisites: three courses in area of study.","","2","O","20052","","Independent Research: Art History","Research","2005"
"11314","1.0","80","['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences and communication styles. The course will be taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation) and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures and discussions are all in English. The prerequisite for 226 is Japanese 231.","","","['Rika Ito']","100","['OM 002']","Japanese Lang/Society","","126","False","False","","2","O","20052","['M-F 0100-0300PM']","Japenese Language in Society","Research","2005"
"11315","1.0","85","['ASIAN']","In this Interim course students who have completed the Asian Conversations sequence travel to sites in China and Japan in order to experience those cultures firsthand and to study Chinese and Japanese constructions of national identity. Through readings, site visits, interactions with peers in the target languages, homestays and journal writing in both English and their target language, students learn about how Asians in these two countries perceive themselves and their role in the region and in the world, both in the past and in the present. They travel to Shanghai, Nanjing, Beijing, Nagasaki and Tokyo. Prerequisite: Asian Studies 211 or permission of the instructor.","","","['Karil J. Kucera']","200","","Nat ID/China & Japan","","212","False","Prerequisite: Asian Studies 211 or permission of the instructor.","","2","C","20052","","Asian Conversations: National Identity in China and Japan","Research","2005"
"11316","1.0","86","['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences and communication styles. The course will be taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation) and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures and discussions are all in English. The prerequisite for 226 is Japanese 231.","","","['Rika Ito']","200","['OM 002']","Top: Japan Lang & Soc","","226","False","False","","2","C","20052","['M-F 0100-0300PM']","Japenese Language in Society","Topic","2005"
"11317","1.0","88","['ASIAN']","Students explore the major genres of Chinese literature -- poetry, short story, novel and drama -- in English translation. A small number of major works are singled out for close attention.","","","['Pin Pin Wan']","200","['OM 002']","Chinese Lit--Tr","","236","False","False","","2","O","20052","['M-Th 1040-1240PM']","Chinese Literature","Research","2005"
"11318","1.0","90","['ASIAN']","","","","['Katherine S. Tegtmeyer Pak']","200","['DC 204']","Intl Politics Ne Asia","","245","False","False","","2","O","20052","['M-F 1040-1240PM']","","Research","2005"
"11319","1.0","93","['ASIAN']","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11320","1.0","94","['ASIAN']","","","","['Pin Pin Wan']","200","","IS/Chinese Architect","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11321","1.0","96","['ASIAN']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","","Research","2005"
"11322","1.0","97","['ASIAN']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11323","1.0","104","['BIO']","This course examines issues of women's biology including views of the evolving female and biological determinism. Core material covers anatomy, development, the biological basis of gender, reproduction, sexual response, the menstrual cycle and aging and aspects of women's health such as eating disorders, cancers and hormonal treatments. Students participate in significant amounts of group work and oral presentation. The course is open to both men and women. Offered during Interim. GE: NST-B.","","","['Diane M. Maher']","100","['SC 130', 'SC 130']","The Biology of Women","","124","False","False","","2","C","20052","['MTThF 1040-1200PM', 'MTThF 0100-0300PM']","","Research","2005"
"11324","1.0","106","['BIO']","This foundation course explores major principles of cellular and molecular biology and is a prerequisite for all Level II biology courses. Emphases include the structural and chemical composition of cells, crucial metabolic pathways, fundamentals of cell division, basic genetics and the scientific method. Labs integrate concepts with problem-solving and scientific writing. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually and during Interim. GE: NST-B, NSL.","","106","['Kimberly A. Kandl']","100","['SC 278']","Cell Bio & Genetics","","125","False","False","","2","C","20052","['M-F 0100-0300PM']","Cellular Biology and Genetics","Research","2005"
"11325","1.0","110","['BIO']","This course is designed as an introduction to molecular biology for non-biology majors. We will learn about molecular biology techniques and the use of molecular biology in medicine, forensics and agriculture. We will discuss human genetic diseases, mutations, DNA cloning, DNA fingerprinting, eugenics, gene therapy, reproductive technologies, fetal tissue research and genetic privacy. Each issue will be addressed on scientific and ethical levels. Offered during Interim. GE: NST-B, NSL.","","110","['Jean C. Porterfield']","100","['SC 278']","Genetics/Evolut/Soc","","127","False","False","","2","C","20052","['M-Th 1040-1200PM']","Genetics, Evolution and Society","Research","2005"
"11326","1.0","114","['BIO']","Why do biologists do what they do? How is biology actually done? In ""Thinking and Doing Biology"" we investigate the reasons biological science is done the way it is today. Students are given the opportunity to design and perform their own experiments while being taught the process of scientific investigation. Offered during Interim. GE: NST-B, NSL.","","114","['John Giannini']","100","['SC 227']","Thinking & Doing Bio","","135","False","False","","2","O","20052","['M-Th 0900-1000']","Thinking and Doing Biology","Research","2005"
"11328","1.0","146","['BIO']","Offered at the University of Minnesota Biological Field Station at Itasca State Park, Minnesota, this course provides study (lectures, readings, laboratory work and short field trips followed by extensive independent field research) in a wide range of habitats. The first week is spent on campus and the remaining three weeks are spent at the field station. Offered in 2002 and in alternate years during Interim. Prerequisite: Biology 125 and 126.","","","['Charles Jr. Umbanhowar']","200","","Winter Ecology","","281","False","Prerequisite: Biology 125 and 126.","","2","C","20052","","","Research","2005"
"11329","1.0","148","['BIO']","","","","['Theodore Johnson']","200","","Peruvian Medical Exp","","284","False","False","","2","C","20052","","","Research","2005"
"11330","1.0","153","['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","","","['Louis Henry Kermott']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11331","1.0","154","['BIO']","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.","","","['Diane K. Angell']","200","","IS/Disease Prevention","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11332","1.0","155","['BIO']","","","","['Diane K. Angell']","300","['SC 248', 'SC 248', 'SC 248']","Zoo Biology","","310","False","False","","2","C","20052","['M-F 0800-1000', 'M-F 1040-1200PM', 'M-F 0100-0300PM']","","Research","2005"
