"clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year"
"49843","0.25","16220","['HIST']","","","","","","['Robert Entenmann']","200","","FLC - Chinese","","250","False","False","","1","O","20061","","","FLAC","2006"
"49846","1.0","1176","['PSYCH']","When and why should certain experiences or patterns of behavior be considered psychologically abnormal? Students will investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders and schizophrenia. We will examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Not open to first-year students. Prerequisite: Psychology 125. Offered each semester.","","","","","['Jumi Hayaki']","200","['HH 307']","Psychopathology","(was formerly Abnormal Psychology)","264","False","Prerequisite: Psychology 125. Offered each semester.","A","1","C","20061","['MWF 1150-1245PM']","","Research","2006"
"49847","1.0","1176","['PSYCH']","When and why should certain experiences or patterns of behavior be considered psychologically abnormal? Students will investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders and schizophrenia. We will examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Not open to first-year students. Prerequisite: Psychology 125. Offered each semester.","","","","","['Jumi Hayaki']","200","['HH 307']","Psychopathology","(was formerly Abnormal Psychology)","264","False","Prerequisite: Psychology 125. Offered each semester.","B","1","C","20061","['MWF 1255-0150PM']","","Research","2006"
"49848","1.0","747","['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","","","","","['Joshua D. Laison']","200","['SC 274']","Abstract Algebra I","","252","False","Prerequisite: Mathematics 220. Offered both semesters.","A","1","O","20061","['MWF 0905-1000']","","Research","2006"
"49849","1.0","747","['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","","","","","['Kay E. Smith']","200","['SC 188']","Abstract Algebra I","","252","False","Prerequisite: Mathematics 220. Offered both semesters.","B","1","O","20061","['MWF 1255-0150PM']","","Research","2006"
"49850","1.0","11","['AMST']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49851","1.0","14","['AMST']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49852","1.0","68","['ART']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49853","1.0","73","['ART']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49854","1.0","153","['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
