"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"59016","1.0","17197","[""ENGL""]","8","""0/999""","","[""Jon Eric Nelson""]","""3/999""","100","[""HH 403""]","999","""Romantic Comedy/Film Noir""","138","false","","5","""0/999""","""3/999""","""O""","20065","[""M-F 1230-0200PM""]","""Romantic Comedy and Film Noir""","""Research""","2006"
"59018","1.0","411","[""ENGL""]","10","""0/999""","","[""Joseph L. Mbele""]","""1/999""","200","[""RML 421""]","999","""Post-Colonial Lit""","247","false","","5","""0/999""","""0/999""","""O""","20065","[""M-F 1000-1130""]","""Post-Colonial Literatures""","""Research""","2006"
"59020","1.0","418","[""ENGL""]","4","""0/999""","","[""Stephen Longfellow""]","""2/999""","200","[""RML 421""]","999","""Creat Wrtg: Fict/Poet""","257","false","","5","""0/999""","""1/999""","""O""","20065","[""M-F 0230-0400PM""]","""Creative Writing I""","""Research""","2006"
"59021","1.0","443","[""ENGL""]","2","""0/999""","","[""Jon Eric Nelson""]","""0/999""","300","[""HH 403""]","999","""Screenwriting""","374","false","","5","""0/999""","""0/999""","""O""","20065","[""M-F 1000-1130""]","","""Research""","2006"
"59030","0.5","1016","[""ESAC""]","7","""0/999""","","[""Shahram Ahrar""]","""1/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","5","""0/999""","""1/999""","""O""","20065","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2006"
"59031","0.5","1012","[""ESAC""]","7","""0/999""","","[""Shahram Ahrar""]","""4/999""","100","[""SAC 112""]","999","""Individual Fitness.50""","133","false","","5","""0/999""","""1/999""","""O""","20065","[""M-F 0400-0530PM""]","""Individual Fitness""","""Research""","2006"
"59033","1.0","608","[""HIST""]","8","""0/999""","","[""Robert Entenmann""]","""1/999""","200","[""HH 514""]","999","""Chinese Civilization""","250","false","","5","""0/999""","""0/999""","""O""","20065","[""M-F 1230-0200PM""]","","""Research""","2006"
"59042","1.0","1377","[""THEAT""]","3","""0/999""","","[""Barbara J. Evans""]","""1/999""","100","[""TB 227""]","999","""Public Speaking""","120","false","","5","""0/999""","""0/999""","""O""","20065","[""M-F 1000-1130""]","","""Research""","2006"
"59044","1.0","1207","[""REL""]","17","""0/999""","","[""James Hanson""]","""5/999""","200","[""DC 204""]","20","""St.Paul/Letter/Gospel""","223","false","","5","""0/999""","""2/999""","""C""","20065","[""M-F 1000-1130""]","""Paul: His Letters, His Gospel""","""Research""","2006"
"59045","1.0","1232","[""REL""]","15","""0/999""","","[""James Hanson""]","""5/999""","200","[""DC 204""]","999","""The Ethics of Jesus""","276","false","","5","""0/999""","""2/999""","""O""","20065","[""M-F 1230-0200PM""]","","""Research""","2006"
"59048","1.0","804","[""MUSIC""]","0","""0/999""","","[""David Carter""]","""0/999""","100","[""CHM 232""]","999","""The Art of Music""","131","false","","5","""0/999""","""1/999""","""X""","20065","[""M-F 0800-0930""]","","""Research""","2006"
"59051","1.0","1176","[""PSYCH""]","7","""0/999""","","[""McMillan Donna K.""]","""1/999""","200","[""RML 420""]","999","""Psychopathology""","264","false","","5","""0/999""","""2/999""","""O""","20065","[""M-F 1000-1130""]","","""Research""","2006"
"59054","1.0","317","[""EDUC""]","18","""0/999""","","[""Robert W. McClure""]","""1/999""","300","","999","""Science Hlth Living""","316","false","","5","""0/999""","""1/999""","""O""","20065","","""Science, Health, and Active Living for Elementary Classrooms""","""Research""","2006"
"59055","1.0","318","[""EDUC""]","18","""0/999""","","[""Daniel R. Forstner"", ""Christopher S. Danielson""]","""1/999""","300","","999","""Math-Elem Classroom""","317","false","","5","""0/999""","""1/999""","""O""","20065","","""Mathematics for Elementary Classrooms""","""Research""","2006"
"59062","1.0","194","[""CHEM""]","10","""0/999""","194","[""Patrick N. Riley""]","""1/999""","100","[""SC 374""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""3/999""","""O""","20065","[""M-F 0230-0400PM""]","""Energies and Rates of Chemical Reactions""","""Research""","2006"
"59063","0.0","195","[""CHEM""]","10","""0/999""","194","[""Patrick N. Riley""]","""1/999""","100","[""SC 371""]","999","""Chemical Reactions Lab""","126","false","","5","""0/999""","""3/999""","""O""","20065","[""MW 0900-1200PM""]","","""Lab""","2006"
"59064","1.0","197","[""CHEM""]","19","""0/999""","","[""Anthony T. Watson""]","""3/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""4/999""","""O""","20065","[""M-F 1000-1130""]","""Organic Chemistry II""","""Research""","2006"
"59065","0.25","200","[""CHEM""]","18","""0/999""","","[""Wesley Pearson""]","""1/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","""A""","5","""0/999""","""3/999""","""O""","20065","[""MW 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2006"
"59066","0.25","200","[""CHEM""]","0","""0/999""","","[""Wesley Pearson""]","""1/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","""B""","5","""0/999""","""1/999""","""C""","20065","[""TTh 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2006"
"59121","1.0","1074","[""PHYS""]","7","""0/999""","1074","[""David Nitz""]","""3/999""","100","[""SC 170""]","999","""Principles Physics II""","125","false","","5","""0/999""","""2/999""","""O""","20065","[""M-F 0800-0930""]","""Principles of Physics II""","""Research""","2006"
"59122","0.0","1075","[""PHYS""]","7","""0/999""","1074","[""David Nitz""]","""3/999""","100","[""SC 111""]","999","""Principles Physics II Lab""","125","false","","5","""0/999""","""2/999""","""O""","20065","[""MW 0100-0330PM""]","","""Lab""","2006"
"59157","1.0","504","[""GERM""]","3","""0/999""","","[""Jerrolyn Hurlbutt""]","""0/999""","100","","999","""Beginning German I""","111","false","","5","""0/999""","""1/999""","""O""","20065","","","""Research""","2006"
