"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"55853","0.25","16220","[""HIST""]","1","""0/999""","","","","","[""Robert Entenmann""]","""0/999""","200","","10","""FLC - Chinese""","250","false","","1","""1/999""","""0/999""","""O""","20071","","","""FLAC""","2007"
"55856","0.25","16224","[""HIST""]","0","""0/999""","","","","","[""Irina Walter""]","""0/999""","200","","10","""FLC - Russian""","230","false","","1","""0/999""","""0/999""","""O""","20071","","","""FLAC""","2007"
"55857","1.0","747","[""MATH""]","15","""0/999""","","","","","[""Jill Dietz""]","""5/999""","200","[""SC 188""]","16","""Abstract Algebra I""","252","false","""A""","1","""7/999""","""3/999""","""C""","20071","[""MWF 1150-1245PM""]","","""Research""","2007"
"55858","1.0","747","[""MATH""]","11","""0/999""","","","","","[""Clifton Corzatt""]","""6/999""","200","[""SC 130""]","18","""Abstract Algebra I""","252","false","""B""","1","""1/999""","""4/999""","""O""","20071","[""MWF 1255-0150PM""]","","""Research""","2007"
"55859","1.0","11","[""AMST""]","2","""0/999""","","","","","[""James Farrell""]","""1/999""","200","","999","""Academic Internship""","294","true","","1","""1/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55860","1.0","14","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55861","1.0","68","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55862","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55863","1.0","153","[""BIO""]","1","""0/999""","","","","","[""Theodore Johnson""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""1/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55864","1.0","174","[""BIO""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55865","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55867","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55868","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55869","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55870","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55871","1.0","251","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55872","1.0","276","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55874","1.0","284","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55875","1.0","299","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55876","1.0","306","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
"55877","0.5","313","[""EDUC""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20071","","","""Research""","2007"
"55878","0.5","344","[""EDUC""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20071","","""Internship""","""Research""","2007"
