"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"57055","1.0","190","[""CHEM""]","15","""2/999""","","190","[""Janice Pellino""]","""7/999""","100","[""SC 378""]","30","""A Matter of Environ""","124","false","","2","""1/999""","""5/999""","""O""","20072","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2007"
"57056","0.0","191","[""CHEM""]","15","""2/999""","","190","[""Janice Pellino""]","""7/999""","100","[""SC 371""]","30","""A Matter of Environ Lab""","124","false","","2","""1/999""","""5/999""","""O""","20072","[""TWTh 1230-0330PM""]","","""Lab""","2007"
"57057","1.0","11","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57058","1.0","68","[""ART""]","1","""0/999""","","","[""Steven Edwins""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57059","1.0","73","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57060","1.0","93","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57061","1.0","96","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57062","1.0","153","[""BIO""]","10","""0/999""","","","[""Theodore Johnson""]","""6/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""4/999""","""O""","20072","","""Internship""","""Research""","2007"
"57063","1.0","174","[""BIO""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57064","1.0","204","[""CHEM""]","1","""0/999""","","","[""Wesley Pearson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57065","1.0","222","[""CHEM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57066","1.0","233","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57067","1.0","235","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57068","1.0","248","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57069","1.0","251","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57070","1.0","276","[""ECON""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57071","1.0","284","[""ECON""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57072","1.0","299","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57073","1.0","306","[""CSCI""]","1","""0/999""","","","[""Richard Brown""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""1/999""","""O""","20072","","""Internship""","""Research""","2007"
