"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"62160","1.0","190","[""CHEM""]","12","""5/999""","[""IST"", ""SED""]","190","","[""Paul T. Jackson""]","""3/999""","100","[""RNS 435""]","30","""A Matter of Environ""","124","false","","2","""2/999""","""2/999""","""O""","20082","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2008"
"62161","0.0","191","[""CHEM""]","12","""5/999""","","190","","[""Paul T. Jackson""]","""3/999""","100","[""RNS 454""]","30","""A Matter of Environ Lab""","124","false","","2","""2/999""","""2/999""","""O""","20082","[""TWTh 1230-0330PM""]","","""Lab""","2008"
"62162","1.0","11","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62163","1.0","68","[""ART""]","1","""0/999""","","","","[""Irve Dell""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""O""","20082","","","""Research""","2008"
"62164","1.0","73","[""ART""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62165","1.0","93","[""ASIAN""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62166","1.0","96","[""ASIAN""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62167","1.0","153","[""BIO""]","4","""0/999""","","","","[""Jean C. Porterfield""]","""3/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""O""","20082","","""Internship""","""Research""","2008"
"62168","1.0","174","[""BIO""]","1","""0/999""","","","","[""Anne Walter""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62169","1.0","204","[""CHEM""]","1","""0/999""","","","","[""Wesley Pearson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""O""","20082","","""Internship""","""Research""","2008"
"62170","1.0","222","[""CHEM""]","1","""0/999""","","","","[""Paul T. Jackson""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62171","1.0","233","[""CLASS""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62172","1.0","235","[""CLASS""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62173","1.0","248","[""CHIN""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62174","1.0","251","[""CHIN""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62175","1.0","276","[""ECON""]","2","""0/999""","","","","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62176","1.0","284","[""ECON""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62177","1.0","299","[""CSCI""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62178","1.0","306","[""CSCI""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62179","1.0","313","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","","""Research""","2008"
"62180","1.0","344","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62181","1.0","374","[""DANCE""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62182","1.0","377","[""DANCE""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
"62183","1.0","433","[""ENGL""]","1","""0/999""","","","","[""Jan C. Hill""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20082","","""Internship""","""Research""","2008"
