"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"85782","1.0","499","[""ID""]","9","""1/999""","[""HBS"", ""MCG""]","","","[""Robert W. McClure""]","""4/999""","200","[""TOH 214""]","999","""Human Geography""","234","false","","5","""0/999""","""4/999""","""O""","20115","[""M-F 1230-0200PM""]","""Human Geography of the Middle East""","""Research""","2011"
"86176","1.0","1289","[""SOAN""]","0","""0/999""","[""HBS"", ""MCD""]","","","[""Ryan R. Sheppard""]","""0/999""","100","[""HH 302""]","999","""Intro to Sociology""","121","false","","5","""0/999""","""0/999""","""X""","20115","[""M-F 0800-0930""]","""Introduction to Sociology""","""Research""","2011"
"86177","1.0","1310","[""SOAN""]","0","""0/999""","[""HBS"", ""MCD""]","","","[""Ryan R. Sheppard""]","""0/999""","200","[""HH 302""]","999","""Marriage & the Family""","260","false","","5","""0/999""","""0/999""","""X""","20115","[""M-F 1000-1130""]","""Marriage and the Family""","""Research""","2011"
"86180","0.5","1012","[""ESAC""]","12","""2/999""","[""SPM""]","","","[""William Sean Goldsworthy""]","""2/999""","100","[""SAC 112""]","999","""Individual Fitness.50""","133","false","","5","""1/999""","""7/999""","""O""","20115","[""M-F 0230-0400PM""]","""Individual Fitness""","""Research""","2011"
"86181","0.5","1016","[""ESAC""]","6","""0/999""","[""SPM""]","","","[""Shahram Ahrar""]","""5/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","5","""0/999""","""1/999""","""O""","20115","[""M-F 1000-1130""]","""Weight Training""","""Research""","2011"
"86186","1.0","608","[""ASIAN"", ""HIST""]","2","""0/999""","[""MCG""]","","","[""Robert Entenmann""]","""1/999""","200","[""HH 514""]","999","""Chinese Civilization""","250","false","","5","""0/999""","""1/999""","""O""","20115","[""M-F 1000-1130""]","","""Research""","2011"
"86187","1.0","19404","[""HIST""]","4","""0/999""","","","","[""Timothy R. Howe""]","""2/999""","300","","4","""Res: Ancient Macedonia""","396","false","","5","""1/999""","""1/999""","""C""","20115","","""Directed Undergraduate Research: \""Topic Description\""""","""Research""","2011"
"86190","1.0","19414","[""PSYCH""]","3","""0/999""","","","","[""Shelly D. Dickinson""]","""0/999""","300","[""RNS 226""]","4","""Res:Env Toxins & Dopamine""","396","false","","5","""1/999""","""2/999""","""O""","20115","[""M-F 1000-1130""]","""Directed Undergraduate Research""","""Research""","2011"
"86194","1.0","745","[""MATH""]","5","""0/999""","[""WRI""]","","","[""Bruce Hanson""]","""2/999""","200","[""TOH 186""]","999","""Real Analysis I""","244","false","","5","""1/999""","""2/999""","""O""","20115","[""M-F 1000-1130""]","","""Research""","2011"
"86195","1.0","738","[""MATH""]","3","""1/999""","","","","[""Ian Pierce""]","""0/999""","200","[""TOH 184""]","999","""Multivariable Calc""","226","false","","5","""1/999""","""1/999""","""O""","20115","[""M-F 1000-1130""]","""Multivariable Calculus""","""Research""","2011"
"86202","1.0","194","[""CHEM""]","12","""5/999""","[""SED""]","194","","[""Patrick N. Riley""]","""1/999""","100","[""RNS 310""]","999","""Chemical Reactions""","126","false","","5","""1/999""","""5/999""","""O""","20115","[""M-F 1000-1130""]","""Energies and Rates of Chemical Reactions""","""Research""","2011"
"86203","0.0","195","[""CHEM""]","12","""5/999""","","194","","[""Patrick N. Riley""]","""1/999""","100","[""RNS 355""]","999","""Chemical Reactions Lab""","126","false","","5","""1/999""","""5/999""","""O""","20115","[""MW 0100-0400PM""]","","""Lab""","2011"
"86204","1.0","197","[""CHEM""]","41","""6/999""","","","","[""Wesley Pearson""]","""2/999""","200","[""RNS 310""]","999","""Organic Chemistry II""","248","false","","5","""5/999""","""28/999""","""O""","20115","[""M-F 0800-0930""]","","""Research""","2011"
"86205","0.25","200","[""CHEM""]","21","""4/999""","","","","[""Cassidy R. Terrell""]","""1/999""","200","[""RNS 340""]","999","""Synthesis Lab II""","254","true","""A""","5","""2/999""","""14/999""","""C""","20115","[""TTh 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2011"
"86208","1.0","20060","[""REL""]","21","""6/999""","[""BTS-T""]","","""R""","[""Gregory A. Walter""]","""3/999""","200","[""OM 110""]","999","""Quest of Ring/Grail/Cross""","238","false","","5","""1/999""","""11/999""","""O""","20115","[""M-F 1000-1130""]","""Quest of the Ring, the Grail, and the Cross""","""Research""","2011"
"86209","1.0","1232","[""REL""]","15","""1/999""","[""EIN"", ""WRI""]","","","[""Gregory A. Walter""]","""6/999""","200","[""OM 110""]","999","""The Ethics of Jesus""","276","false","","5","""4/999""","""4/999""","""O""","20115","[""M-F 0800-0930""]","","""Research""","2011"
"86275","1.0","78","[""ASIAN""]","6","""2/999""","[""MCG"", ""WRI""]","","","[""Barbara Reed""]","""1/999""","100","[""TOH 314""]","999","""Asian Cultures""","121","false","","5","""1/999""","""2/999""","""O""","20115","[""M-F 1230-0200PM""]","""Asian Cultures in Comparative Perspectives""","""Research""","2011"
"86509","1.0","20055","[""ART""]","0","""0/999""","[""ALS-A""]","","""R""","[""Guido Alvarez""]","""0/999""","100","[""DC 100""]","999","""Foundation New Media""","104","false","","5","""0/999""","""0/999""","""O""","20115","[""M-F 1000-1130""]","","""Research""","2011"
"86510","1.0","20057","[""ART""]","0","""0/999""","[""ALS-A""]","","""R""","[""Guido Alvarez""]","""0/999""","200","[""DC 100""]","999","""Video Art""","229","false","","5","""0/999""","""0/999""","""O""","20115","[""M-F 1230-0200PM""]","","""Research""","2011"
"86542","0.25","200","[""CHEM""]","12","""2/999""","","","","[""Cassidy R. Terrell""]","""1/999""","200","[""RNS 340""]","999","""Synthesis Lab II""","254","true","""B""","5","""2/999""","""7/999""","""O""","20115","[""MW 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2011"
"86558","0.5","961","[""NURS""]","3","""0/999""","","","","[""Diana Neal""]","""1/999""","300","","999","""Academic Internship""","394","true","","5","""2/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86574","0.5","653","[""FAMST""]","1","""0/999""","","","","[""M. Minda Ori\u00f1a""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86575","0.5","93","[""ASIAN""]","3","""1/999""","","","","[""Pin Pin Wan""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""2/999""","""O""","20115","","","""Research""","2011"
"86576","1.0","1139","[""PSCI""]","1","""0/999""","","","","[""Douglas J. Casson""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20115","","""Internship""","""Research""","2011"
"86577","0.5","1178","[""PSYCH""]","1","""0/999""","","","","[""Gary M. Muir""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""1/999""","""0/999""","""O""","20115","","","""Research""","2011"
"86579","0.5","795","[""MEDIA""]","5","""0/999""","","","","[""William Sonnega""]","""3/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""2/999""","""O""","20115","","""Internship""","""Research""","2011"
"86581","0.5","961","[""NURS""]","1","""0/999""","","","","[""Mary Kuehn""]","""1/999""","300","","999","""Academic Internship""","394","true","""A""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86583","1.0","784","[""MGMT""]","2","""0/999""","","","","[""Richard Goedde""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20115","","""Internship""","""Research""","2011"
"86587","0.5","961","[""NURS""]","1","""0/999""","","","","[""Mary Kuehn""]","""1/999""","300","","999","""Academic Internship""","394","true","""B""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86588","0.5","93","[""ASIAN""]","2","""0/999""","","","","[""Rika Ito""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""2/999""","""O""","20115","","","""Research""","2011"
"86589","0.5","784","[""MGMT""]","1","""0/999""","","","","[""Xun Pomponio""]","""1/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86590","0.5","1279","[""RUSSN""]","5","""0/999""","","","","[""Marc Robinson""]","""1/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""4/999""","""O""","20115","","","""Research""","2011"
"86593","0.5","73","[""ART""]","0","""0/999""","","","","[""Guido Alvarez""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20115","","","""Research""","2011"
"86594","0.5","153","[""BIO""]","1","""0/999""","","","","[""Anne Walter""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86595","0.5","1188","[""PSYCH""]","1","""0/999""","","","","[""Dana Gross""]","""1/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20115","","","""Research""","2011"
"86596","1.0","1139","[""PSCI""]","1","""1/999""","","","","[""Daniel Hofrenning""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86612","1.0","24281","[""ID""]","9","""0/999""","[""WRI""]","","""R""","[""Heather Campbell""]","""8/999""","200","","999","""McNair Research Writing""","237","false","","5","""0/999""","""1/999""","""O""","20115","","""McNair Research Writing Across the Disciplines""","""Research""","2011"
"86614","0.5","276","[""ECON""]","1","""0/999""","","","","[""Anthony Becker""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20115","","","""Research""","2011"
"86615","0.5","707","[""ID""]","4","""0/999""","","","","[""Douglas J. Casson""]","""2/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""2/999""","""O""","20115","","","""Research""","2011"
"86616","0.5","707","[""ID""]","3","""0/999""","","","","[""Sian E. Muir""]","""1/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""2/999""","""O""","20115","","","""Research""","2011"
"86617","0.5","707","[""ID""]","8","""0/999""","","","","[""Thomas A. Williamson""]","""6/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""2/999""","""O""","20115","","","""Research""","2011"
"86618","0.5","784","[""MGMT""]","1","""0/999""","","","","[""Richard Goedde""]","""1/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86623","0.5","313","[""EDUC""]","1","""0/999""","","","","[""Robert W. McClure""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20115","","","""Research""","2011"
"86624","0.5","707","[""ID""]","4","""0/999""","","","","[""Sian E. Muir"", ""Kevin M. Crisp""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""2/999""","""2/999""","""O""","20115","","","""Research""","2011"
"86625","0.5","153","[""BIO""]","1","""0/999""","","","","[""Diane K. Angell""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""1/999""","""O""","20115","","""Internship""","""Research""","2011"
"86628","0.5","433","[""ENGL""]","1","""0/999""","","","","[""Mary E. Trull""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20115","","""Internship""","""Research""","2011"
"86630","1.0","846","[""MUSIC""]","1","""0/999""","","","","[""David R. Castro""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20115","","""Internship""","""Research""","2011"
"86660","1.0","1139","[""PSCI""]","0","""0/999""","","","","[""Eric J. Fure-Slocum""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86661","1.0","1139","[""PSCI""]","0","""0/999""","","","","[""Eric J. Fure-Slocum""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86713","1.0","1057","[""ESTH""]","1","""0/999""","","","","[""Cynthia Book""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86714","1.0","466","[""ENVST""]","1","""0/999""","","","","[""James Farrell""]","""1/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86718","1.0","1190","[""PSYCH""]","1","""0/999""","","","","[""McMillan Donna K.""]","""1/999""","300","","999","""IR/Extroversion Research""","398","false","","5","""0/999""","""0/999""","""O""","20115","","""Independent Research""","""Research""","2011"
"86738","0.5","299","[""CSCI""]","1","""0/999""","","","","[""Richard Brown""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20115","","""Internship""","""Research""","2011"
"86749","1.0","100","[""BIO""]","40","""0/999""","[""IST"", ""SED""]","","","[""Eric McDonald"", ""Nicholas J. Deacon""]","""0/999""","100","","999","""Biological Science""","121","false","","5","""0/999""","""40/999""","""O""","20115","","""Biological Science: Issues in Biology""","""Research""","2011"
"86750","0.0","101","[""BIO""]","40","""0/999""","","","","[""Eric McDonald"", ""Nicholas J. Deacon""]","""0/999""","100","","999","""Biological Science Lab""","121","false","","5","""0/999""","""40/999""","""O""","20115","","","""Lab""","2011"
"86751","0.25","23391","[""WRIT""]","40","""0/999""","","","""R""","[""Maria L. Kelly""]","""14/999""","100","","999","""Top: Supplemental Writing""","109","true","","5","""0/999""","""26/999""","""O""","20115","","""Topics: Supplemental Writing""","""Topic""","2011"
