"clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year"
"89353","1.0","190","['CHEM']","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major and concentration; does not count toward chemistry major. Offered during Interim.","['IST', 'SED']","190","","['Paul T. Jackson']","100","['RNS 410']","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","False","False","","2","C","20132","['M-F 0800-1000']","A Matter of the Environment with Lab","Research","2013"
"89354","0.0","191","['CHEM']","","","190","","['Paul T. Jackson']","100","['RNS 454']","A Matter of Environ Lab","","124","False","False","","2","C","20132","['TWTh 1230-0330PM']","","Lab","2013"
"89355","1.0","11","['AMST']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89356","1.0","68","['ART']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89357","1.0","73","['ART']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89358","1.0","93","['ASIAN']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89359","1.0","96","['ASIAN']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89360","1.0","153","['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89361","1.0","174","['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89362","1.0","204","['CHEM']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89363","1.0","222","['CHEM']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89364","1.0","233","['CLASS']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89365","1.0","235","['CLASS']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89366","1.0","248","['CHIN']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89367","1.0","251","['CHIN']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89368","1.0","276","['ECON']","","","","","['Anthony Becker']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89369","1.0","284","['ECON']","Academic Internship.","","","","['Ashley Hodgson']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89370","1.0","299","['CSCI']","This is an intermediate-level version of Computer Science 394.","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89371","1.0","306","['CSCI']","Students gain experience in computer-industry positions. Projects have included contributions to team programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89372","1.0","313","['EDUC']","","","","","['Maria L. Kelly']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89373","1.0","344","['EDUC']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89374","1.0","374","['DANCE']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89375","1.0","377","['DANCE']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89376","1.0","433","['ENGL']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89377","1.0","449","['ENGL']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89378","1.0","464","['ENVST']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89379","1.0","466","['ENVST']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89380","1.0","490","['FREN']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89381","1.0","494","['FREN']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89382","1.0","522","['GERM']","Students spend four weeks during Interim or summer in an individually selected German or Austrian workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. May be counted toward German major or German studies concentration. Prerequisite: at least one 250-level course.","","","","['Staff']","200","","Academic Internship","","294","True","Prerequisite: at least one 250-level course.","","2","C","20132","","Internship","Research","2013"
"89383","1.0","529","['GERM']","Students spend four weeks during Interim or summer in the German or Austrian workplace. Opportunities include working in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability of host institutions. May be counted toward German major or German studies concentration. Prerequisite: at least one 270-level course.","","","","['Staff']","300","","Academic Internship","","394","True","Prerequisite: at least one 270-level course.","","2","C","20132","","Internship","Research","2013"
"89384","1.0","543","['GREEK']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89385","1.0","550","['GREEK']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Academic Inernship","Research","2013"
"89386","1.0","624","['HIST']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89387","1.0","640","['HIST']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","Internship","Research","2013"
"89390","1.0","653","['FAMST']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","Internship","Research","2013"
"89391","1.0","656","['FAMST']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89392","1.0","686","['IS']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89393","1.0","691","['IS']","","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89394","1.0","707","['ID']","","","","","['Jennifer Manner']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
"89395","1.0","709","['ID']","","","","","['Robert W. McClure']","300","","Academic Internship","","394","True","False","","2","C","20132","","","Research","2013"
"89396","1.0","716","['LATIN']","","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","C","20132","","","Research","2013"
