"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"89803","0.25","18806","[""HIST""]","6","""0/999""","","","","","[""Timothy R. Howe""]","""1/999""","200","","10","""FLC - Latin""","204","false","","3","""3/999""","""2/999""","""O""","20133","","","""FLAC""","2013"
"89804","0.25","17526","[""ASIAN"", ""HIST""]","10","""0/999""","","","","","[""Robert Entenmann""]","""4/999""","200","","10","""FLC - Chinese""","251","false","","3","""6/999""","""0/999""","""C""","20133","","","""FLAC""","2013"
"89805","0.25","26505","[""NORW""]","4","""1/999""","","","","","[""Margaret H. O'Leary""]","""2/999""","100","","10","""FLC - Norwegian""","140","false","","3","""0/999""","""1/999""","""O""","20133","","","""FLAC""","2013"
"89808","1.0","747","[""MATH""]","17","""0/999""","[""WRI""]","","","","[""Marju Purin""]","""4/999""","200","[""TOH 184""]","20","""Abstract Algebra I""","252","false","""A""","3","""5/999""","""8/999""","""O""","20133","[""MWF 1045-1140""]","","""Research""","2013"
"89809","1.0","747","[""MATH""]","20","""1/999""","[""WRI""]","","","","[""Jill Dietz""]","""3/999""","200","[""TOH 186"", ""TOH 186""]","20","""Abstract Algebra I""","252","false","""B""","3","""4/999""","""12/999""","""C""","20133","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2013"
"89812","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","""Internship""","""Research""","2013"
"89813","1.0","68","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
"89814","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
"89815","1.0","93","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
"89816","1.0","96","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
"89817","1.0","153","[""BIO""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","""Internship""","""Research""","2013"
"89818","1.0","174","[""BIO""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20133","","""Internship""","""Research""","2013"
"89819","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","""Internship""","""Research""","2013"
"89820","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20133","","""Internship""","""Research""","2013"
"89821","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
"89822","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
"89823","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20133","","","""Research""","2013"
