"clbid","credits","crsid","departments","gereqs","groupid","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"111754","1.0","114","[""BIO""]","[""IST"", ""SED""]","114","[""John Giannini""]","100","[""RNS 290""]","""Thinking & Doing Bio""","135","false","","4","""O""","20164","[""M-F 0900-1200PM""]","""Thinking and Doing Biology""","""Research""","2016"
"111755","0.0","115","[""BIO""]","","114","[""John Giannini""]","100","","""Thinking & Doing Bio Lab""","135","false","","4","""O""","20164","","","""Lab""","2016"
"111756","1.0","192","[""CHEM""]","[""SED""]","192","[""Patrick N. Riley""]","100","[""RNS 310""]","""Struct Chem & Equilib""","125","false","","4","""O""","20164","[""M-F 1000-1130""]","""Structural Chemistry and Equilibrium""","""Research""","2016"
"111757","0.0","193","[""CHEM""]","","192","[""Patrick N. Riley""]","100","[""RNS 355""]","""Struct Chem & Equilib Lab""","125","false","","4","""O""","20164","[""MW 0100-0400PM""]","","""Lab""","2016"
"111758","1.0","196","[""CHEM""]","","","[""Staff""]","200","[""RNS 390""]","""Organic Chemistry I""","247","false","","4","""O""","20164","[""M-F 1000-1130""]","","""Research""","2016"
"111761","1.0","25192","[""ENGL""]","[""ALS-L"", ""ORC"", ""WRI""]","","[""Colin Wells""]","200","[""RML 515""]","""Beat Generation""","261","false","","4","""O""","20164","[""M-F 1000-1130""]","""The Beat Generation""","""Research""","2016"
"111763","0.5","1016","[""ESAC""]","[""SPM""]","","[""Jennifer M. Holbein""]","100","[""TBA""]","""Wt Training Co-Ed .50""","140","false","","4","""O""","20164","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2016"
"111764","1.0","29263","[""ID""]","[""HBS""]","","[""Robert W. McClure""]","200","[""TOH 214""]","""Human-Spatial Interaction""","202","false","","4","""O""","20164","[""M-F 1230-0200PM""]","","""Research""","2016"
"111765","1.0","26897","[""ID""]","","","[""Staff""]","200","","""Res Opp Science for Sophs""","250","false","","4","""C""","20164","","""Research Opportunity in Science for Sophomores""","""Research""","2016"
"111766","1.0","1072","[""PHYS""]","[""SED""]","1072","[""Prabal Adhikari""]","100","[""RNS 297""]","""Principles Physics I""","124","false","","4","""O""","20164","[""M-F 0900-1200PM""]","""Principles of Physics I""","""Research""","2016"
"111767","0.0","1073","[""PHYS""]","","1072","[""Prabal Adhikari""]","100","[""RNS 292""]","""Principles Physics I Lab""","124","false","","4","""O""","20164","[""MWF 0100-0330PM""]","","""Lab""","2016"
"111768","1.0","1207","[""REL""]","[""BTS-T"", ""WRI""]","","[""James Hanson""]","200","[""OM 110""]","""St. Paul/Letter/Gospel""","223","false","","4","""O""","20164","[""M-F 1000-1130""]","""Paul: His Letters, His Gospel""","""Research""","2016"
"111769","1.0","1232","[""REL""]","[""EIN"", ""WRI""]","","[""James Hanson""]","200","[""OM 110""]","""The Ethics of Jesus""","276","false","","4","""O""","20164","[""M-F 1230-0200PM""]","","""Research""","2016"
"115013","1.0","30517","[""FILM""]","[""ALS-A""]","","[""Linda Mokdad"", ""Bjorn Nordfjord""]","200","","""Media and the Environment""","230","false","""G""","4","""C""","20164","","","""Research""","2016"
"115591","1.0","1496","[""ART""]","[""ALS-A""]","","[""Paul S. Briggs""]","200","[""CAD 115""]","""Ceramics""","207","false","","4","""O""","20164","[""M-F 0900-1200PM""]","","""Research""","2016"
"115592","1.0","126","[""BIO""]","","126","[""Steven Cole""]","200","[""RNS 435""]","""Human Anatomy & Physiology""","243","false","","4","""O""","20164","[""M-Th 0900-1100""]","""Human Anatomy and Physiology: Organs and Organ Systems""","""Research""","2016"
"115593","0.0","127","[""BIO""]","","126","[""Steven Cole""]","200","[""RNS 254""]","""Human Anatomy & Physiology Lab""","243","false","","4","""O""","20164","[""MTW 1200-0300PM""]","","""Lab""","2016"
"115594","1.0","499","[""ID""]","[""HBS"", ""MCG""]","","[""Robert W. McClure""]","200","[""TOH 214""]","""Human Geography of the Middle East""","234","false","","4","""O""","20164","[""M-F 0800-0930""]","","""Research""","2016"
"115595","1.0","857","[""MUSIC""]","","","[""Louis K. Epstein""]","300","[""CHM 239""]","""Top: Music in Paris in the 1920s""","345","false","","4","""O""","20164","[""M-F 0230-0400PM""]","""Advanced Study in Music History""","""Topic""","2016"
