"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"111925","0.25","16218","[""SOAN""]","","","","","[""Christopher L. Chiappari""]","200","","""FLC - Spanish""","237","false","","1","""O""","20171","","","""FLAC""","2017"
"111926","1.0","747","[""MATH""]","[""WRI""]","","","","[""Marju Purin""]","200","[""TOH 186""]","""Abstract Algebra I""","252","false","""B""","1","""C""","20171","[""MWF 1045-1140""]","","""Research""","2017"
"111927","1.0","747","[""MATH""]","[""WRI""]","","","","[""Kosmas Diveris""]","200","[""TOH 186""]","""Abstract Algebra I""","252","false","""A""","1","""C""","20171","[""MWF 0905-1000""]","","""Research""","2017"
"111928","1.0","11","[""AMST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111929","1.0","14","[""AMST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111930","0.25","68","[""ART""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111931","1.0","73","[""ART""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111932","0.25","153","[""BIO""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111933","1.0","174","[""BIO""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111934","1.0","204","[""CHEM""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111935","1.0","222","[""CHEM""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111936","1.0","233","[""CLASS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111937","1.0","235","[""CLASS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111938","1.0","248","[""CHIN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111939","1.0","251","[""CHIN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111940","1.0","276","[""ECON""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111941","1.0","284","[""ECON""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111942","1.0","299","[""CSCI""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111943","1.0","306","[""CSCI""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111944","1.0","313","[""EDUC""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111945","0.5","344","[""EDUC""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111946","0.5","433","[""ENGL""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111947","1.0","449","[""ENGL""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111948","1.0","464","[""ENVST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111949","1.0","466","[""ENVST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111950","1.0","490","[""FREN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111951","1.0","494","[""FREN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111952","1.0","522","[""GERM""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111953","1.0","529","[""GERM""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111954","1.0","543","[""GREEK""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111955","1.0","550","[""GREEK""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","""Academic Inernship""","""Research""","2017"
"111956","1.0","624","[""HIST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111957","1.0","640","[""HIST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111958","0.25","653","[""FAMST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111959","1.0","656","[""FAMST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111961","1.0","670","[""JAPAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111962","1.0","686","[""IS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111963","1.0","691","[""IS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111964","1.0","707","[""ID""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111965","1.0","709","[""ID""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111966","1.0","716","[""LATIN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111967","1.0","725","[""LATIN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111968","1.0","751","[""MATH""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111969","1.0","766","[""MATH""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111970","1.0","788","[""MGMT""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111971","0.25","795","[""MEDIA""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111972","1.0","846","[""MUSIC""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111973","1.0","865","[""MUSIC""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111974","1.0","931","[""NORW""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111975","1.0","936","[""NORW""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111976","1.0","942","[""NURS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
