"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"113597","0.25","17526","[""HIST""]","","","","","[""Robert Entenmann""]","200","","""FLC - Chinese""","251","false","","3","""O""","20173","","","""FLAC""","2017"
"113602","0.25","25874","[""PSCI""]","","","","","[""J. Patrick Dale""]","300","","""FLC - Russian""","382","false","","3","""O""","20173","","","""FLAC""","2017"
"113603","1.0","747","[""MATH""]","[""WRI""]","","","","[""Jill Dietz""]","200","[""RNS 204""]","""Abstract Algebra I""","252","false","""A""","3","""O""","20173","[""MWF 1255-0150PM""]","","""Research""","2017"
"113604","1.0","747","[""MATH""]","[""WRI""]","","","","[""Jill Dietz""]","200","[""RNS 204""]","""Abstract Algebra I""","252","false","""B""","3","""O""","20173","[""MWF 0200-0255PM""]","","""Research""","2017"
"113606","1.0","11","[""AMST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113607","1.0","68","[""ART""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113608","1.0","73","[""ART""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113609","1.0","93","[""ASIAN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113610","1.0","96","[""ASIAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113611","1.0","153","[""BIO""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113612","1.0","174","[""BIO""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113613","1.0","204","[""CHEM""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113614","1.0","222","[""CHEM""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113615","1.0","233","[""CLASS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113616","1.0","235","[""CLASS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113617","1.0","248","[""CHIN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113618","1.0","251","[""CHIN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113619","1.0","276","[""ECON""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113620","1.0","284","[""ECON""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113621","1.0","299","[""CSCI""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113622","1.0","306","[""CSCI""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113623","1.0","313","[""EDUC""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113624","1.0","344","[""EDUC""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113625","1.0","374","[""DANCE""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","""Internship""","""Research""","2017"
"113626","1.0","377","[""DANCE""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113627","1.0","433","[""ENGL""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113628","1.0","449","[""ENGL""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113629","1.0","464","[""ENVST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113630","1.0","466","[""ENVST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113631","1.0","490","[""FREN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113632","1.0","494","[""FREN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113633","1.0","522","[""GERM""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113634","1.0","529","[""GERM""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113635","1.0","543","[""GREEK""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113636","1.0","550","[""GREEK""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","""Academic Inernship""","""Research""","2017"
"113637","1.0","624","[""HIST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113638","1.0","640","[""HIST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113639","1.0","653","[""FAMST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113640","1.0","656","[""FAMST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113641","1.0","686","[""IS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113642","1.0","691","[""IS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113643","1.0","716","[""LATIN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113644","1.0","725","[""LATIN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113645","1.0","751","[""MATH""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113646","1.0","766","[""MATH""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113647","1.0","784","[""MGMT""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113648","1.0","788","[""MGMT""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113649","1.0","795","[""MEDIA""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113650","1.0","797","[""MEDIA""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113651","1.0","846","[""MUSIC""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113652","1.0","865","[""MUSIC""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113653","1.0","931","[""NORW""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113654","1.0","936","[""NORW""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113655","1.0","985","[""PHIL""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113656","1.0","992","[""PHIL""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113657","1.0","1057","[""ESTH""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113658","1.0","1067","[""ESTH""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113659","1.0","1090","[""PHYS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113660","1.0","1100","[""PHYS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113661","1.0","1139","[""PSCI""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113662","1.0","1151","[""PSCI""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113663","1.0","1178","[""PSYCH""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113664","1.0","1188","[""PSYCH""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113665","1.0","1236","[""REL""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113666","1.0","1253","[""REL""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113667","1.0","1341","[""SPAN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113668","1.0","1354","[""SPAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113669","1.0","1394","[""THEAT""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","""Academic Internships""","""Research""","2017"
"113670","1.0","1400","[""THEAT""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113671","1.0","1409","[""STAT""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113672","1.0","1413","[""STAT""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113673","1.0","14","[""AMST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113674","1.0","668","[""JAPAN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113675","1.0","670","[""JAPAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113676","1.0","917","[""NEURO""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113677","1.0","919","[""NEURO""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113678","1.0","942","[""NURS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113679","1.0","961","[""NURS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113680","1.0","1275","[""RUSSN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113681","1.0","1279","[""RUSSN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113682","1.0","1315","[""SOAN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113683","1.0","1319","[""SOAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113684","1.0","1366","[""SWRK""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
"113685","1.0","1372","[""SWRK""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","3","""O""","20173","","","""Research""","2017"
"113686","0.5","707","[""ID""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","3","""O""","20173","","","""Research""","2017"
