"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",24232,1,13,"['AMST']",NA,"['James Farrell']",300,"['H 514']","Sem: Disney's America",301,"False","False","",3,"C",19983,"['MWF 0905-1000']","Seminar",1998,20
"2",24233,1,16,"['AFAM']",NA,"['Joseph L. Mbele']",200,"['SC 170']","Africa & the Americas",231,"False","False","",3,"C",19983,"['TTh 0935-1100']","Seminar",1998,50
"11",24244,1,32,"['ART']",NA,"['Perette Michelli']",100,"['FH 01']","Renaissance--Present",151,"False","False","",3,"C",19983,"['MWF 0200-0255PM']","Research",1998,59
"12",24245,1,34,"['ART']",NA,"['Wendell Arneson']",200,"['FH AB']","Watercolor Painting",232,"False","False","",3,"C",19983,"['MWF 1255-0255PM']","Research",1998,30
"13",24246,1,36,"['ART']",NA,"['Irve Dell']",200,"['FH 18']","Sculpt: Direct Metal",234,"False","False","",3,"C",19983,"['TTh 1145-0245PM']","Research",1998,14
"14",24247,1,39,"['ART']",NA,"['Jan Shoger']",200,"['FH 44']","Printmkg: Intaglio/Mono",237,"False","False","",3,"C",19983,"['MWF 1045-1245PM']","Research",1998,16
"15",24248,1,42,"['ART']",NA,"['Staff']",200,"['FH 21']","Motion Graphics",240,"False","False","",3,"C",19983,"['MW 0700-1000PM']","Research",1998,12
"16",24249,1,43,"['ART']",NA,"['John Saurer']",200,"['FH 40']","Figure Drawing",242,"False","False","",3,"C",19983,"['MWF 0800-1000']","Research",1998,15
"17",24250,1,45,"['ART']",NA,"['Ron Gallas']",200,"['FH 19']","Ceramics",244,"False","False","",3,"C",19983,"['TTh 1145-0245PM']","Research",1998,12
"18",24251,1,52,"['ART']",NA,"['Matthew Rohn']",200,"['FH 01']","Art Since 1945",253,"False","False","",3,"C",19983,"['MWF 1045-1140']","Research",1998,37
"19",24252,1,60,"['ART']",NA,"['Perette Michelli']",200,"['FH 01']","Romanesque--Gothic",263,"False","False","",3,"O",19983,"['TTh 1145-0110PM']","Research",1998,21
