"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",768,1,11,"['AMST']","","['James Farrell']",200,"","Academic Internship",294,"True","False","",2,"O",20002,"","Research",2000,1
"2",769,1,15,"['AMST']","","['James Farrell']",300,"","IR/Urbanism /Housing",398,"False","False","",2,"O",20002,"","Research",2000,1
"3",770,1,18,"['ART']","","['John Saurer']",100,"['FH 42', 'FH 42']","Foundation Drawing",110,"False","False","",2,"C",20002,"['M-F 0900-1000', 'M-F 1040-1210PM']","Research",2000,23
"4",771,1,29,"['ART']","","['Margaret Ojala']",100,"['FH 2', 'FH 2']","Found Photography",124,"False","False","",2,"C",20002,"['M-F 0900-1000', 'M-F 1040-1240PM']","Research",2000,21
"5",772,1,40,"['ART']","","['Patrick T. Kelley']",200,"['FH 21', 'FH 21']","Comp-Generatd Imagery",238,"False","False","",2,"C",20002,"['M-F 1040-1200PM', 'M-F 0100-0300PM']","Research",2000,13
"6",773,1,50,"['ART']","","['Kristi Holden']",200,"['FH 01', 'FH 01']","Origins of Modernism",251,"False","False","",2,"O",20002,"['M 1230-0330PM', 'TWF 0100-0300PM']","Research",2000,29
"7",774,1,48,"['ART']","","['Ron Gallas']",200,"","Manhattan Art Interim",262,"False","False","",2,"C",20002,"","Research",2000,18
"8",775,1,68,"['ART']","","['Wendell Arneson']",200,"","Academic Internship",294,"True","False","",2,"O",20002,"","Research",2000,2
"9",776,1,68,"['ART']","","['Nancy M. Thompson']",200,"","Academic Internship",294,"True","False","A",2,"O",20002,"","Research",2000,1
"10",777,1,69,"['ART']","","['John Saurer']",200,"","IS/Explor in Drawing",298,"False","False","",2,"O",20002,"","Research",2000,1
"11",778,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Oil Painting",298,"False","False","A",2,"O",20002,"","Research",2000,1
"12",779,1,79,"['ASIAN']","","['Phyllis Hyland Larson']",100,"['VIKING THTR', 'VIKING THTR']","Intro Japanese Film",124,"False","False","",2,"C",20002,"['MW 1040-0100PM', 'TTh 1040-1240PM']","Research",2000,37
"13",780,1,85,"['ASIAN']","","['Barbara Reed']",200,"","Nat ID/China & Japan",212,"False","False","",2,"C",20002,"","Research",2000,21
"14",781,1,88,"['ASIAN']","","['Pin Pin Wan']",200,"['M 30']","Chinese Literature",236,"False","False","",2,"C",20002,"['M-F 1040-1240PM']","Research",2000,19
"15",782,1,94,"['ASIAN']","","['Robert Entenmann']",200,"","IS/Singapore",298,"False","False","",2,"O",20002,"","Research",2000,1
"16",783,1,94,"['ASIAN']","","['Robert Entenmann']",200,"","IS/Three Gorges Dam",298,"False","False","A",2,"O",20002,"","Research",2000,1
"45",812,1,227,"['CLASS']","","['Jon Gregory']",100,"['M 31']","Fall of Roman Empire",128,"False","False","",2,"C",20002,"['M-F 1040-1240PM']","Research",2000,36
"46",813,1,232,"['CLASS']","","['Anne Groton']",200,"","Class Studies Greece",251,"False","False","",2,"C",20002,"","Research",2000,30
"47",814,1,253,"['ECON']","","['Anthony Becker']",100,"['H 302', 'H 302']","Econ Thru Experiments",110,"False","False","",2,"C",20002,"['MWTh 1040-1200PM', 'MWTh 0100-0300PM']","Research",2000,24
"48",815,1,254,"['ECON']","","['Xun Pomponio']",100,"['H 317']","Transition Economies",111,"False","False","",2,"C",20002,"['M-F 0800-1000']","Research",2000,28
"49",816,1,276,"['ECON']","","['Steve Soderlind']",200,"","Academic Internship",294,"True","False","",2,"O",20002,"","Research",2000,2
"50",817,1,276,"['ECON']","","['Bruce Dalgaard']",200,"","Academic Internship",294,"True","False","A",2,"O",20002,"","Research",2000,2
"51",818,1,276,"['ECON']","","['Paul Wojick']",200,"","Academic Internship",294,"True","False","B",2,"O",20002,"","Research",2000,2
"52",819,1,277,"['ECON']","","['Paul Wojick']",200,"","IS/Economic Thought",298,"False","False","",2,"O",20002,"","Research",2000,1
"54",821,1,310,"['EDUC']","","['Maria L. Kelly']",200,"","Perspectives On Tchg",260,"True","False","",2,"C",20002,"","Research",2000,22
"55",822,1,338,"['EDUC']","","['Myron L. Solid']",300,"","Multi-Cult Ed Hawaii",378,"True","False","",2,"C",20002,"","Research",2000,26
