"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",1869,1,4,"['AMST']",NA,"['Judy Kutulas']",100,"['L 420']","Perspec Amer Culture",100,"False","False","",1,"C",20011,"['MWF 1045-1140']","Research",2001,20
"2",1870,1,12,"['AMST']",NA,"['Mark Allister']",200,"","IS/Being Male in Ame",298,"False","False","",1,"O",20011,"","Research",2001,1
"3",1871,1,16,"['AFAM']",NA,"['Joanne Henry']",200,"['L 577']","Africa & the Americas",231,"False","False","",1,"O",20011,"['TTh 1145-0110PM']","Seminar",2001,21
"15",1883,1,27,"['ART']",NA,"['Jan Shoger']",100,"['DC 216']","Honors Found Drawing",120,"False","False","",1,"C",20011,"['MWF 0800-1000']","Research",2001,15
"16",1884,1,31,"['ART']",NA,"['Nancy M. Thompson']",100,"['DC 305']","Ancient--Medieval",150,"False","False","",1,"C",20011,"['TTh 0935-1100']","Research",2001,33
"17",1885,1,32,"['ART']",NA,"['Nancy M. Thompson']",100,"['DC 305']","Renaissance--Present",151,"False","False","",1,"C",20011,"['MWF 0905-1000']","Research",2001,32
"18",1886,1,33,"['ART']",NA,"['Wendell Arneson']",200,"['DC 214']","Oil/Acrylic Painting",221,"False","False","",1,"C",20011,"['MWF 1255-0255PM']","Research",2001,29
"19",1887,1,35,"['ART']",NA,"['Irve Dell']",200,"['DC 105']","Sculpt: Metal Casting",223,"False","False","",1,"O",20011,"['TTh 1145-0245PM']","Research",2001,7
"20",1888,1,38,"['ART']",NA,"['Jan Shoger']",200,"['DC 212']","Printmkg: Relief/Litho",226,"False","False","",1,"C",20011,"['MWF 1045-1245PM']","Research",2001,16
"21",1889,1,42,"['ART']",NA,"['Patrick T. Kelley']",200,"['DC 100']","Motion Graphics",230,"False","False","",1,"O",20011,"['TTh 1145-0245PM']","Research",2001,8
"22",1890,1,50,"['ART']",NA,"['Kristi Holden']",200,"['DC 305']","Art 1776-1880",251,"False","False","",1,"O",20011,"['MWF 1045-1140']","Research",2001,23
"23",1891,1,60,"['ART']",NA,"['Nancy M. Thompson']",200,"['DC 305']","Medieval Art",263,"False","False","",1,"O",20011,"['TTh 1145-0110PM']","Research",2001,23
"24",1892,1,69,"['ART']",NA,"['Wendell Arneson']",200,"","IS/Advanced Painting",298,"False","False","",1,"O",20011,"","Research",2001,2
"25",1893,1,69,"['ART']",NA,"['Jan Shoger']",200,"","IS/Prints in Decarts",298,"False","False","B",1,"O",20011,"","Research",2001,1
"26",1894,1,70,"['ART']",NA,"['John Saurer']",300,"['DC 204']","Topics Sem/Studio Art",340,"False","False","",1,"C",20011,"['TTh 1145-0245PM']","Topic",2001,16
"27",1895,1,75,"['ART']",NA,"['Irve Dell']",300,"","IR/Multi-Medium Casts",398,"False","False","",1,"O",20011,"","Research",2001,1
"28",1896,1,75,"['ART']",NA,"['Nancy M. Thompson']",300,"","IR/Bernini: Early Work",398,"False","False","A",1,"O",20011,"","Research",2001,1
"29",1897,1,76,"['ASIAN']",NA,"['Phyllis Hyland Larson']",100,"['M 35']","Family & Self/E Asia",111,"False","False","",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,19
"30",1898,1,78,"['ASIAN']",NA,"['Barbara Reed']",100,"['CH 101']","Asian Cultures",121,"False","False","",1,"C",20011,"['TTh 0120-0245PM']","Research",2001,35
"31",1899,1,84,"['ASIAN']",NA,"['Bruce Dalgaard']",200,"['M 30']","Rice & Society/E Asia",211,"False","False","",1,"C",20011,"['TTh 0120-0245PM']","Research",2001,14
"32",1900,1,97,"['ASIAN']",NA,"['Robert Entenmann']",300,"","IR/Animism & Health",398,"False","False","",1,"O",20011,"","Research",2001,1
"33",1901,1,98,"['ASIAN']",NA,"['Robert Entenmann']",300,"['H 514']","Asia Seminar",399,"False","False","",1,"O",20011,"['TTh 0935-1100']","Seminar",2001,9
"83",1951,1,176,"['AMCON']",NA,"['Carol Holly']",100,"['L 515']","Freedoms: 1620-1865",101,"False","False","A",1,"C",20011,"['MWF 0905-1000']","Research",2001,15
"84",1952,1,176,"['AMCON']",NA,"['Carol Holly']",100,"['L 421']","Freedoms: 1620-1865",101,"False","False","B",1,"C",20011,"['MWF 0905-1000']","Research",2001,15
"85",1953,1,178,"['AMCON']",NA,"['Mary Titus']",200,"['H 514']","Remaking Am: 1845-1945",201,"False","False","A",1,"O",20011,"['MWF 1255-0150PM']","Research",2001,18
"86",1954,1,178,"['AMCON']",NA,"['Bruce Nordstrom-Loeb']",200,"['H 317']","Remaking Am: 1845-1945",201,"False","False","B",1,"O",20011,"['MWF 1255-0150PM']","Research",2001,18
"123",1991,1,229,"['CLASS']",NA,"['Gwendolyn Compton-Engle']",200,"['M 11']","Greek & Roman Myth-Tr",241,"False","False","",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,28
"124",1992,1,237,"['CHIN']",NA,"['Richard Bodman']",100,"['M 1', 'M 2']","Beginning Chinese I",111,"False","False","A",1,"O",20011,"['MWF 0905-1000', 'T 0800-0925']","Research",2001,12
"125",1993,1,237,"['CHIN']",NA,"['Richard Bodman']",100,"['M 1', 'M 1']","Beginning Chinese I",111,"False","False","B",1,"O",20011,"['MWF 1150-1245PM', 'T 0935-1100']","Research",2001,5
"126",1994,1,237,"['CHIN']",NA,"['Richard Bodman']",100,"['M 1', 'M 1']","Beginning Chinese I",111,"False","False","C",1,"O",20011,"['MWF 0905-1000', 'T 0935-1100']","Research",2001,7
"127",1995,1,237,"['CHIN']",NA,"['Richard Bodman']",100,"['M 1', 'M 2']","Beginning Chinese I",111,"False","False","D",1,"O",20011,"['MWF 1150-1245PM', 'T 0800-0925']","Research",2001,3
"128",1996,1,241,"['CHIN']",NA,"['Anbin Shi']",200,"['M 3', 'M 11']","Intermed Chinese I",231,"False","False","A",1,"O",20011,"['MWF 1045-1140', 'TTh 1005-1100']","Research",2001,6
"129",1997,1,241,"['CHIN']",NA,"['Anbin Shi']",200,"['M 3', 'M 11']","Intermed Chinese I",231,"False","False","B",1,"O",20011,"['MWF 1150-1245PM', 'TTh 1005-1100']","Research",2001,10
"130",1998,1,245,"['CHIN']",NA,"['Anbin Shi']",200,"['M 36']","Modern Chinese",251,"False","False","",1,"O",20011,"['MWF 0200-0255PM']","Research",2001,1
"131",1999,1,249,"['CHIN']",NA,"['Richard Bodman']",200,"","IS/Classical Chinese",298,"False","False","",1,"O",20011,"","Research",2001,1
"132",2000,1,259,"['ECON']",NA,"['Steve Soderlind']",100,"['L 577']","Principles of Econ",121,"False","False","A",1,"O",20011,"['MWF 0800-0855']","Research",2001,27
"133",2001,1,259,"['ECON']",NA,"['John Westra']",100,"['M 2']","Principles of Econ",121,"False","False","B",1,"O",20011,"['MWF 0905-1000']","Research",2001,27
"134",2002,1,259,"['ECON']",NA,"['John Westra']",100,"['M 4']","Principles of Econ",121,"False","False","C",1,"O",20011,"['MWF 1045-1140']","Research",2001,26
"135",2003,1,259,"['ECON']",NA,"['Steve Soderlind']",100,"['SC 374']","Principles of Econ",121,"False","False","D",1,"O",20011,"['MWF 1150-1245PM']","Research",2001,29
"136",2004,1,259,"['ECON']",NA,"['Xun Pomponio']",100,"['L 177']","Principles of Econ",121,"False","False","E",1,"O",20011,"['TTh 0935-1100']","Research",2001,27
"137",2005,1,259,"['ECON']",NA,"['Xun Pomponio']",100,"['H 317']","Principles of Econ",121,"False","False","F",1,"O",20011,"['TTh 0120-0245PM']","Research",2001,26
"138",2006,1,264,"['ECON']",NA,"['Edward David Emery']",200,"['H 317']","Economic Methods",233,"False","False","",1,"O",20011,"['TTh 0800-0925']","Research",2001,18
"139",2007,1,265,"['ECON']",NA,"['Bruce Dalgaard']",200,"['M 4']","Econ & Business Hist",234,"False","False","",1,"O",20011,"['TTh 0935-1100']","Research",2001,12
"140",2008,1,270,"['ECON']",NA,"['Edward David Emery']",200,"['M 4']","Health Care Econ",245,"False","False","",1,"O",20011,"['TTh 1145-0110PM']","Research",2001,21
"141",2009,1,272,"['ECON']",NA,"['Steve Soderlind']",200,"['L 577']","Urban Economics",249,"False","False","",1,"C",20011,"['MWF 0905-1000']","Research",2001,25
"142",2010,1,274,"['ECON']",NA,"['Mark Pernecky']",200,"['H 413']","Macroeconomic Theory",261,"False","False","A",1,"O",20011,"['TTh 0800-0925']","Research",2001,15
"143",2011,1,274,"['ECON']",NA,"['Mark Pernecky']",200,"['H 413']","Macroeconomic Theory",261,"False","False","B",1,"C",20011,"['TTh 0935-1100']","Research",2001,20
"144",2012,1,275,"['ECON']",NA,"['David Schodt']",200,"['SC 188']","Microeconomic Theory",262,"False","False","A",1,"O",20011,"['TTh 1145-0110PM']","Research",2001,19
"145",2013,1,275,"['ECON']",NA,"['David Schodt']",200,"['SC 188']","Microeconomic Theory",262,"False","False","B",1,"O",20011,"['TTh 0120-0245PM']","Research",2001,22
"146",2014,1,262,"['ECON']",NA,"['Mark Pernecky']",200,"['H 317']","Economic Justice",220,"False","False","",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,19
"147",2015,1,279,"['ECON']",NA,"['Terry J. Fitzgerald']",300,"['H 403']","Money and Banking",374,"False","False","A",1,"C",20011,"['MWF 0800-0855']","Research",2001,20
"148",2016,1,279,"['ECON']",NA,"['Terry J. Fitzgerald']",300,"['H 403']","Money and Banking",374,"False","False","B",1,"C",20011,"['MWF 0905-1000']","Research",2001,21
"149",2017,1,281,"['ECON']",NA,"['Xun Pomponio']",300,"['H 301']","International Econ",382,"False","False","",1,"O",20011,"['TTh 1145-0110PM']","Research",2001,16
"150",2018,1,282,"['ECON']",NA,"['William L. Carlson']",300,"['H 302']","Intro to Econometrics",385,"False","False","",1,"O",20011,"['MWF 1045-1140']","Research",2001,10
"151",2019,1,283,"['ECON']",NA,"['Staff']",300,"","Senior Project",389,"False","False","",1,"O",20011,"","Research",2001,1
"152",2020,1,284,"['ECON']",NA,"['David Schodt']",300,"","Academic Internship",394,"True","False","",1,"O",20011,"","Research",2001,1
"159",2027,1,311,"['EDUC']",NA,"['John Welckle']",200,"['FH 10']","Educ Psychology",290,"False","False","A",1,"C",20011,"['MWF 1045-1140']","Research",2001,26
"160",2028,1,311,"['EDUC']",NA,"['Elizabeth A. Leer']",200,"['FH 10L']","Educ Psychology",290,"False","False","B",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,12
"161",2029,1,321,"['EDUC']",NA,"['Maria L. Kelly']",300,"['FH 10']","Principles of Educ",330,"False","False","A",1,"C",20011,"['MWF 0800-0855']","Research",2001,17
"162",2030,1,321,"['EDUC']",NA,"['Maria L. Kelly']",300,"['FH 10']","Principles of Educ",330,"False","False","B",1,"C",20011,"['MWF 0905-1000']","Research",2001,18
"163",2031,1,321,"['EDUC']",NA,"['Martha Harris']",300,"['FH 10']","Principles of Educ",330,"False","False","C",1,"C",20011,"['TTh 0800-0925']","Research",2001,8
"164",2032,1,321,"['EDUC']",NA,"['Martha Harris']",300,"['FH 10']","Principles of Educ",330,"False","False","D",1,"C",20011,"['TTh 0935-1100']","Research",2001,16
"172",2041,1,337,"['EDUC']",NA,"['Ann A. Leming']",300,"['FH 10']","The Exceptional Child",376,"False","False","A",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,1
"198",2067,1,381,"['ENGL']",NA,"['Gene Bauer']",100,"['H 302']","Intro/Academic Wri",107,"False","False","",1,"O",20011,"['TTh 0935-1100']","Research",2001,9
"199",2068,1,383,"['ENGL']",NA,"['Mark Allister']",100,"['L 520']","Skills in Composition",110,"False","False","",1,"O",20011,"['MWF 1045-1140']","Research",2001,10
"200",2069,1,1672,"['ENGL']",NA,"['Jan C. Hill']",100,"['L 515']","Childrn/Yng Adult Lit",133,"False","False","",1,"C",20011,"['TTh 0935-1100']","Research",2001,30
"201",2070,1,392,"['ENGL']",NA,"['Joan Hepburn']",100,"['L 515']","Literary Studies",185,"False","False","A",1,"C",20011,"['TTh 0800-0925']","Research",2001,23
"202",2071,1,392,"['ENGL']",NA,"['Diana Postlethwaite']",100,"['L 525']","Literary Studies",185,"False","False","B",1,"C",20011,"['TTh 0935-1100']","Research",2001,25
"203",2072,1,392,"['ENGL']",NA,"['Karen Cherewatuk']",100,"['L 421']","Literary Studies",185,"False","False","C",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,25
"204",2073,1,1680,"['ENGL']",NA,"['Staff']",200,"","East Rel IDeas: Am Wri",202,"False","False","",1,"C",20011,"","Research",2001,13
"205",2074,1,397,"['ENGL']",NA,"['Karen E. Marsalek', 'Karen Cherewatuk']",200,"['L 525']","Lit in Engl to 1650",221,"False","False","A",1,"C",20011,"['MWF 0905-1000']","Research",2001,45
"206",2075,1,397,"['ENGL']",NA,"['Karen E. Marsalek', 'Karen Cherewatuk']",200,"['L 525', 'L 520']","Lit in Engl to 1650",221,"False","False","B",1,"C",20011,"['MW 0905-1000', 'F 0905-1000']","Research",2001,6
"207",2076,1,399,"['ENGL']",NA,"['Richard DuRocher', 'Carol Holly']",200,"['L 525']","Lit in Engl 1650-1850",222,"False","False","A",1,"C",20011,"['MWF 1150-1245PM']","Research",2001,26
"208",2077,1,399,"['ENGL']",NA,"['Richard DuRocher', 'Carol Holly']",200,"['L 525', 'L 520']","Lit in Engl 1650-1850",222,"False","False","B",1,"C",20011,"['MW 1150-1245PM', 'F 1150-1245PM']","Research",2001,6
"209",2078,1,399,"['ENGL']",NA,"['Richard DuRocher', 'Carol Holly']",200,"['L 525', 'BC']","Lit in Engl 1650-1850",222,"False","False","C",1,"C",20011,"['MW 1150-1245PM', 'F 1045-1140']","Research",2001,2
"210",2079,1,401,"['ENGL']",NA,"['Richard Buckstead', 'Abby Werlock']",200,"['L 525']","Lit in Engl 1850-Pres",223,"False","False","A",1,"C",20011,"['MWF 0200-0255PM']","Research",2001,31
"211",2080,1,401,"['ENGL']",NA,"['Richard Buckstead', 'Abby Werlock']",200,"['L 525', 'L 520']","Lit in Engl 1850-Pres",223,"False","False","B",1,"C",20011,"['MW 0200-0255PM', 'F 0200-0255PM']","Research",2001,2
"212",2081,1,401,"['ENGL']",NA,"['Richard Buckstead', 'Abby Werlock']",200,"['L 525', 'L 515']","Lit in Engl 1850-Pres",223,"False","False","C",1,"C",20011,"['MW 0200-0255PM', 'F 0800-0855']","Research",2001,5
"213",2082,1,407,"['ENGL']",NA,"['Diana Postlethwaite']",200,"['L 525']","Victorian Literature",238,"False","False","A",1,"C",20011,"['TTh 1145-0110PM']","Topic",2001,32
"214",2083,1,407,"['ENGL']",NA,"['Melanie Richards']",200,"['L 525']","50s Beat Literature",238,"False","False","B",1,"C",20011,"['TTh 0120-0245PM']","Topic",2001,33
"215",2084,1,409,"['ENGL']",NA,"['Richard Buckstead']",200,"['L 525']","American Lit 1915-45",240,"False","False","",1,"C",20011,"['MWF 1255-0150PM']","Research",2001,30
"216",2085,1,411,"['ENGL']",NA,"['Joseph L. Mbele']",200,"['L 515']","Post-Colonial Lit",247,"False","False","",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,35
"217",2086,1,413,"['ENGL']",NA,"['Mary Steen']",200,"['L 520']","Creative Nonfiction",251,"False","False","",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,16
"218",2087,1,417,"['ENGL']",NA,"['Jan C. Hill']",200,"['L 420']","Journalistic Writing",255,"False","False","",1,"C",20011,"['TTh 1145-0110PM']","Research",2001,19
"219",2088,1,418,"['ENGL']",NA,"['David Wee']",200,"['L 525']","Creative Writing I",257,"False","False","A",1,"C",20011,"['MWF 1045-1140']","Research",2001,17
"220",2089,1,418,"['ENGL']",NA,"['James Heynen']",200,"['L 420']","Creative Writing I",257,"False","False","B",1,"C",20011,"['TTh 0120-0245PM']","Research",2001,16
"221",2090,1,432,"['ENGL']",NA,"['Mark Allister']",200,"['L 515']","Wrdswth/El't/Sprsteen",290,"False","False","",1,"O",20011,"['MWF 1255-0150PM']","Research",2001,24
"222",2091,1,439,"['ENGL']",NA,"['Richard DuRocher']",300,"['L 520']","Literary Crit/Theory",360,"False","False","",1,"C",20011,"['TTh 0935-1100']","Research",2001,15
"223",2092,1,441,"['ENGL']",NA,"['James Heynen']",300,"['L 520']","Creative Writing II",372,"False","False","",1,"C",20011,"['Th 0700-1000PM']","Research",2001,16
"224",2093,1,451,"['ENGL']",NA,"['Mary Titus']",300,"","IR/Sylivia Path",398,"False","False","",1,"O",20011,"","Research",2001,1
"225",2094,1,451,"['ENGL']",NA,"['Melanie Richards']",300,"","IR/Writing the Truth",398,"False","False","A",1,"O",20011,"","Research",2001,1
"226",2095,1,451,"['ENGL']",NA,"['James Heynen']",300,"","IR/Creative Writing",398,"False","False","B",1,"O",20011,"","Research",2001,1
"227",2096,1,451,"['ENGL']",NA,"['Elizabeth Hutchins']",300,"","IR/Contemp Child Lit",398,"False","False","C",1,"O",20011,"","Research",2001,1
"228",2097,1,452,"['ENGL']",NA,"['Karen E. Marsalek']",300,"['L 515']","Major Seminar",399,"False","False","A",1,"C",20011,"['MWF 1150-1245PM']","Seminar",2001,16
"229",2098,1,452,"['ENGL']",NA,"['Joan Hepburn']",300,"['L 520']","Major Seminar",399,"False","False","B",1,"C",20011,"['TTh 0120-0245PM']","Seminar",2001,8
"230",2099,1,453,"['ENVST']",NA,"['Rachel Shaw']",100,"['M 30']","Culture of Nature",101,"False","False","",1,"O",20011,"['TTh 1145-0110PM']","Research",2001,22
"231",2100,1,454,"['ENVST']",NA,"['Eugene Bakko']",100,"['SC 130']","Conservation Biology",125,"False","False","",1,"C",20011,"['TTh 0935-1100']","Research",2001,27
"232",2101,1,455,"['ENVST']",NA,"['Robert Jacobel']",100,"['SC 129']","Intro: Enviro Studies",137,"False","False","A",1,"C",20011,"['TTh 0935-1100']","Research",2001,21
"233",2102,1,455,"['ENVST']",NA,"['Diane K. Angell']",100,"['SC 129']","Intro: Enviro Studies",137,"False","False","B",1,"C",20011,"['MWF 1150-1245PM']","Research",2001,25
"234",2103,1,455,"['ENVST']",NA,"['Joel Olfelt']",100,"['SC 129']","Intro: Enviro Studies",137,"False","False","C",1,"C",20011,"['TTh 0800-0925']","Research",2001,23
"235",2104,1,456,"['ENVST']",NA,"['Kurt Burch']",200,"['M 1']","Global Env Politics",201,"False","False","",1,"C",20011,"['MWF 0200-0255PM']","Research",2001,18
"236",2105,1,459,"['ENVST']",NA,"['John Westra']",200,"['M 4']","Enviro Policy/Regulat",232,"False","False","",1,"O",20011,"['MWF 1255-0150PM']","Research",2001,18
"237",2106,1,461,"['ENVST']",NA,"['Charles Jr. Umbanhowar']",200,"['L 477']","Remote Sensing & Gis",255,"False","False","",1,"O",20011,"['TTh 0935-1100']","Research",2001,6
"238",2107,1,465,"['ENVST']",NA,"['Olivia Frey']",200,"","IS/Lit & Agriculture",298,"False","False","",1,"O",20011,"","Research",2001,1
"239",2108,1,467,"['ENVST']",NA,"['Charles Jr. Umbanhowar']",300,"","IR/Sprawl",398,"False","False","",1,"O",20011,"","Research",2001,1
"241",2110,1,476,"['FREN']",NA,"['Norman M. Watt']",100,"['M 2']","Beginning French I",111,"False","False","",1,"O",20011,"['MWF 1255-0150PM']","Research",2001,21
"242",2111,1,477,"['FREN']",NA,"['M. Clare Mather']",100,"['M 2']","Beginning French II",112,"False","False","A",1,"O",20011,"['MWF 1150-1245PM']","Research",2001,14
"243",2112,1,477,"['FREN']",NA,"['M. Clare Mather']",100,"['M 26']","Beginning French II",112,"False","False","B",1,"O",20011,"['MWF 0200-0255PM']","Research",2001,12
"244",2113,1,479,"['FREN']",NA,"['Jolene Barjasteh']",200,"['M 26']","Intermed French I",231,"False","False","A",1,"C",20011,"['MWF 0800-0855']","Research",2001,28
"245",2114,1,479,"['FREN']",NA,"['Herve Pensec']",200,"['M 26']","Intermed French I",231,"False","False","B",1,"O",20011,"['MWF 1045-1140']","Research",2001,23
"246",2115,1,479,"['FREN']",NA,"['Herve Pensec']",200,"['M 26']","Intermed French I",231,"False","False","C",1,"O",20011,"['MWF 1150-1245PM']","Research",2001,16
"247",2116,1,480,"['FREN']",NA,"['Scott Homler']",200,"['M 26']","Intermed French II",232,"False","False","A",1,"C",20011,"['MWF 0905-1000']","Research",2001,25
"248",2117,1,480,"['FREN']",NA,"['Scott Homler']",200,"['M 26']","Intermed French II",232,"False","False","B",1,"O",20011,"['MWF 1255-0150PM']","Research",2001,23
