"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",2608,1,28,"['ART']","","['John Saurer']",100,"['DC 106', 'DC 106']","Foundation Sculpture",122,"False","False","",2,"C",20012,"['M-F 0900-1000', 'M-F 1040-1210PM']","Research",2001,21
"2",2609,1,40,"['ART']","","['Patrick T. Kelley']",200,"['DC 100', 'DC 100']","Comp-Generatd Imagery",228,"False","False","",2,"C",20012,"['M-F 1040-1200PM', 'M-F 0100-0300PM']","Research",2001,14
"3",2610,1,44,"['ART']","","['Carol Padberg']",200,"['DC 216', 'DC 216']","Advanced Drawing",233,"False","False","",2,"O",20012,"['M-F 0900-1000', 'M-F 1040-1210PM']","Research",2001,15
"4",2611,1,48,"['ART']","","['Ron Gallas']",200,"","Manhattan Art Interim",246,"False","False","",2,"C",20012,"","Research",2001,16
"5",2612,1,51,"['ART']","","['Randall Van Schepen']",200,"['DC 305']","Art 1880-1950",252,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,38
"6",2613,1,54,"['ART']","","['Nancy M. Thompson']",200,"","Ital Art in Context",255,"False","False","",2,"C",20012,"","Research",2001,15
"7",2615,1,68,"['ART']","","['Jan Shoger']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,1
"8",2616,1,69,"['ART']","","['Ron Gallas']",200,"","IS/Ceramics Ind Study",298,"False","False","",2,"O",20012,"","Research",2001,1
"9",2617,1,69,"['ART']","","['John Saurer']",200,"","IS/Wood Sculpture",298,"False","False","A",2,"O",20012,"","Research",2001,1
"10",2618,1,75,"['ART']","","['Wendell Arneson']",300,"","IR/Psych Painting",398,"False","False","",2,"O",20012,"","Research",2001,1
"11",2619,1,75,"['ART']","","['Wendell Arneson']",300,"","IR/Adv Painting",398,"False","False","A",2,"O",20012,"","Research",2001,1
