"","clbid","credits","crsid","departments","gereqs","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",7603,1,4,"['AMST']","",NA,"['James Farrell']",100,"['RML 421']","Perspect Am Culture","",100,"False","False","",1,"C",20041,"['MWF 1045-1140']","Research",2004,33
"2",7604,1,11,"['AMST']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20041,"","Research",2004,0
"3",7605,1,12,"['AMST']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",1,"O",20041,"","Research",2004,0
"4",7606,1,12,"['AMST']","",NA,"['Staff']",200,"","IS/","",298,"False","False","A",1,"O",20041,"","Research",2004,0
"5",7607,1,14,"['AMST']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20041,"","Research",2004,0
"6",7608,1,15,"['AMST']","",NA,"['James Farrell']",300,"","IR/Parent in America","",398,"False","False","",1,"O",20041,"","Research",2004,1
"7",7609,1,15,"['AMST']","",NA,"['Carol Holly']",300,"","IR/Coming Age America","",398,"False","False","A",1,"O",20041,"","Research",2004,1
"20",7622,1,27,"['ART']","",NA,"['Mary Griep']",100,"['DC 216']","Honors Found Drawing","",120,"False","False","",1,"C",20041,"['TTh 0800-1100']","Research",2004,19
"21",7623,1,31,"['ART']","",NA,"['Nancy M. Thompson', 'Karil J. Kucera']",100,"['DC 305']","Intro/Art History I","",150,"False","False","",1,"C",20041,"['MWF 1045-1140']","Research",2004,49
"22",7624,1,33,"['ART']","",NA,"['Wendell Arneson']",200,"['DC 214']","Oil/Acrylic Painting","",221,"False","False","",1,"C",20041,"['MWF 1255-0255PM']","Research",2004,25
"23",7625,1,35,"['ART']","",NA,"['Irve Dell']",200,"['DC 105', 'DC 105']","Sculpt: Metal Casting","",223,"False","False","",1,"C",20041,"['T 1145-0245PM', 'Th 1245-0345PM']","Research",2004,14
"24",7626,1,39,"['ART']","",NA,"['John Saurer']",200,"['DC 212']","Printmkg: Intaglio/Mono","",227,"False","False","",1,"C",20041,"['MWF 1045-1245PM']","Research",2004,14
