"","clbid","credits","crsid","departments","description","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",9127,1,9,"['AMST']","",NA,"['Judy Kutulas']",200,"['SC 188', 'SC 188']","Top: Amer Adolescence","",209,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Topic",2004,32
"2",9128,1,11,"['AMST']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"3",9129,1,12,"['AMST']","",NA,"['James Farrell']",200,"","IS/Education in Amer","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"4",9130,1,12,"['AMST']","",NA,"['James Farrell']",200,"","IS/Habits of My Heart","",298,"False","False","A",3,"O",20043,"","","Research",2004,1
"5",9131,1,12,"['AMST']","",NA,"['James Farrell']",200,"","IS/Am Political Value","",298,"False","False","B",3,"O",20043,"","","Research",2004,1
"6",9132,1,13,"['AMST']","",NA,"['Mark Allister']",300,"['RML 421']","Sem: Complex Culture","",301,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Seminar",2004,16
"7",9133,1,17,"['AFAM']","",NA,"['Michael Fitzgerald']",200,"['RML 577']","Sem: Africa/Americas","",232,"False","False","",3,"C",20043,"['MWF 0905-1000']","","Seminar",2004,24
"18",9144,1,32,"['ART']","",NA,"['Nancy M. Thompson', 'Matthew Rohn']",100,"['DC 305']","Intro/Art History II","",151,"False","False","",3,"C",20043,"['MWF 1045-1140']","","Research",2004,48
"19",9145,1,34,"['ART']","",NA,"['Wendell Arneson']",200,"['DC 116']","Watercolor Painting","",222,"False","False","",3,"C",20043,"['MWF 1255-0255PM']","","Research",2004,22
"20",9146,1,36,"['ART']","",NA,"['John Saurer']",200,"['DC 105', 'DC 105']","Sculpt: Metal Direct","",224,"False","False","",3,"C",20043,"['T 0800-1100', 'Th 0800-1050']","","Research",2004,15
"21",9147,1,38,"['ART']","",NA,"['John Saurer']",200,"['DC 212', 'DC 212']","Printmkg: Relief/Litho","",226,"False","False","",3,"C",20043,"['T 1145-0245PM', 'Th 1245-0345PM']","","Research",2004,12
"22",9148,1,40,"['ART']","",NA,"['Patrick T. Kelley']",200,"['DC 100', 'DC 100']","Computer Gen Imagery","",228,"False","False","",3,"O",20043,"['T 0800-1100', 'Th 0800-1050']","","Research",2004,10
"23",9149,1,43,"['ART']","",NA,"['Mary Griep']",200,"['DC 216']","Figure Drawing","",232,"False","False","",3,"O",20043,"['MWF 0800-1000']","","Research",2004,18
"24",9150,1,51,"['ART']","",NA,"['Matthew Rohn']",200,"['DC 305']","Art 1880-1950","",252,"False","False","",3,"C",20043,"['MWF 0905-1000']","","Research",2004,26
"25",9151,1,53,"['ART']","",NA,"['Nancy M. Thompson']",200,"['DC 305', 'DC 305']","Italian Renaissance","",254,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,32
"26",9152,1,58,"['ART']","",NA,"['Karil J. Kucera']",200,"['DC 305']","Arts of Japan","",260,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,30
"27",9153,1,63,"['ART']","",NA,"['Heather M. Brooks-Shirey']",200,"['DC 305', 'DC 305']","African Art History","",269,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,29
"28",9154,1,68,"['ART']","",NA,"['Margaret Ojala']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,2
"29",9155,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Advanced Ceramics","",298,"False","False","",3,"O",20043,"","","Research",2004,3
"30",9156,1,69,"['ART']","",NA,"['Wendell Arneson']",200,"","IS/Painting From Life","",298,"False","False","A",3,"O",20043,"","","Research",2004,1
"31",9157,1,69,"['ART']","",NA,"['Nancy M. Thompson']",200,"","IS/Art Inst Catalog","",298,"False","False","B",3,"O",20043,"","","Research",2004,1
"32",9158,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Ceramic Study","",298,"False","False","C",3,"O",20043,"","","Research",2004,1
"33",9159,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Advanced Tableware","",298,"False","False","D",3,"O",20043,"","","Research",2004,1
"34",9160,1,69,"['ART']","",NA,"['Wendell Arneson']",200,"","IS/Advanced Painting","",298,"False","False","E",3,"O",20043,"","","Research",2004,1
"35",9161,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Functional Pottery","",298,"False","False","F",3,"O",20043,"","","Research",2004,1
"36",9162,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Wheel Ceramics","",298,"False","False","G",3,"O",20043,"","","Research",2004,1
"37",9163,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Air Blown Ceramics","",298,"False","False","H",3,"O",20043,"","","Research",2004,1
"38",9164,1,69,"['ART']","",NA,"['Ron Gallas']",200,"","IS/Ceramic Sections","",298,"False","False","I",3,"O",20043,"","","Research",2004,1
"39",9165,1,69,"['ART']","",NA,"['Patrick T. Kelley']",200,"","IS/Animation","",298,"False","False","J",3,"O",20043,"","","Research",2004,1
"40",9166,1,71,"['ART']","",NA,"['John Saurer']",300,"['DC 305']","Sr Studies/Studio Art","",343,"False","False","",3,"O",20043,"['Th 0700-1000PM']","","Research",2004,39
"41",9167,1,72,"['ART']","",NA,"['Nancy M. Thompson']",300,"['DC 204', 'DC 204']","Methods of Art Hist","",350,"False","False","",3,"O",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,7
"42",9168,1,73,"['ART']","",NA,"['Jill Ewald']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,1
"43",9169,1,75,"['ART']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"44",9170,1,77,"['ASIAN']","",NA,"['Robert Entenmann']",100,"['HH 514', 'HH 514']","East Asia & the West","",112,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,19
"45",9171,1,78,"['ASIAN']","",NA,"['Karil J. Kucera']",100,"['DC 305']","Asian Cultures","",121,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,35
"46",9172,1,87,"['ASIAN']","",NA,"['Phyllis Hyland Larson']",200,"['RML 515']","Mod Japanese Lit-Tr","",235,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,27
"47",9173,1,93,"['ASIAN']","",NA,"['Phyllis Hyland Larson']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,1
"48",9174,1,94,"['ASIAN']","",NA,"['Phyllis Hyland Larson']",200,"","IS/Film/Lit in Japan","",298,"False","False","",3,"O",20043,"","","Research",2004,2
"49",9175,1,95,"['ASIAN']","",NA,"['Karil J. Kucera']",300,"['DC 204']","Buddhism: Text-Image","",310,"False","False","",3,"O",20043,"['M 0700-1000PM']","","Research",2004,14
"50",9176,1,96,"['ASIAN']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"51",9177,1,97,"['ASIAN']","",NA,"['Karil J. Kucera']",300,"","IR/Korean Literature","",398,"False","False","",3,"O",20043,"","","Research",2004,2
"52",9178,1,97,"['ASIAN']","",NA,"['Phyllis Hyland Larson']",300,"","IR/Asian Studies Sem","",398,"False","False","A",3,"O",20043,"","","Research",2004,1
"96",9222,1,177,"['AMCON']","",NA,"['Mary Titus']",100,"['RML 515']","Dem Vistas: 1800-1900","",102,"False","False","A",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,23
"97",9223,1,177,"['AMCON']","",NA,"['Eric J. Fure-Slocum']",100,"['RML 577']","Dem Vistas: 1800-1900","",102,"False","False","B",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,23
"98",9224,1,179,"['AMCON']","",NA,"['Matthew Rohn']",200,"['DC 204']","Pur/Happiness: 1920-00","",202,"False","False","A",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,10
"99",9225,1,179,"['AMCON']","",NA,"['William A. Gorton']",200,"['DC 204']","Pur/Happiness: 1920-00","",202,"False","False","B",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,12
"143",9269,1,231,"['CLASS']","",NA,"['Paul P. Moran']",200,"['OM 031', 'OM 031']","Golden Age of Rome-Tr","",244,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,29
