"","clbid","credits","crsid","departments","description","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",10217,1,4,"['AMST']","This analysis of modern American society introduces theories and methods of culture studies, beginning with anthropological definitions of culture and including perspectives of sociology, political science, history, art history and English. Students examine the moral ecology of everyday life in America, looking at the cultural meanings of work, clothes, food, family, gender, buildings, bodies, television, advertising and education.",NA,"",NA,"['James Farrell']",100,"['RML 421']","Perspect Am Culture","",100,"False","False","",1,"C",20051,"['MWF 1045-1140']","American Culture: Interdisciplinary Perspectives","Research",2005,29
"32",10248,1,60,"['ART']","This course explores the arts and architecture of western Europe from c. 300 to c. 1300. Through lectures and discussions we study paintings, sculpture, manuscripts, metalwork and stained glass windows created by the many cultures of this rich and diverse period in the history of art. Students approach the material in a variety of ways: in addition to issues of style, technique and iconography, students address issues of viewing, patronage and gender throughout the semester.",NA,"",NA,"['Nancy M. Thompson']",200,"['DC 305', 'DC 305']","Medieval Art","",263,"False","False","",1,"C",20051,"['T 0935-1100', 'Th 0930-1050']","","Research",2005,28
"50",10266,1,76,"['ASIAN']","This seminar introduces students to East Asian cultures through the familiar institution of family. In contemporary novels, autobiographies and short stories, students read about the struggles between traditional ideals and modern pressures as East Asians strive to define themselves within families. The course also develops students' writing skills to prepare them for the rest of their college coursework.",NA,"",NA,"['Barbara Reed']",100,"['OM 011', 'OM 011']","Family & Self/E Asia","",111,"False","False","",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations: Family and Self in East Asia","Research",2005,21
"51",10267,1,78,"['ASIAN']","This course examines major cultures of South, Southeast and East Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles and medicine and healing traditions. No prerequisites.",NA,"",NA,"['Karil J. Kucera']",100,"['DC 305']","Asian Cultures","",121,"False","False","",1,"O",20051,"['MWF 0200-0255PM']","Asian Cultures in Comparative Perspectives","Research",2005,27
"53",10269,1,84,"['ASIAN']","Using rice (and agriculture more generally) as a means of access, this course will introduce students to an examination of the societies, politics and economies of East Asian countries. Drawing on social science methods, it looks at traditional East Asian societies as well as the drive for modernization and the consequences that modernization has had on these societies. Prerequisite: Asian Studies 112 or permission of the instructor. Counts toward the Asian Studies major.",NA,"",NA,"['Bruce Dalgaard']",200,"['OM 011', 'OM 011']","Rice & Society/E Asia","",211,"False","Prerequisite: Asian Studies 112 or permission of the instructor. Counts toward the Asian Studies major.","",1,"C",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","Asian Conversations: Rice and Society in East Asia","Research",2005,18
"54",10270,1,89,"['ASIAN']","This course looks at language as it creates and responds to its cultural and social environments. Students compare and contrast major aspects of language use in Japan and the United States. Students explore the general underlying elements of talk (e.g., standard vs. regional dialects, language attitude and ideologies, politeness, gendered speech patterns, communication styles) and learn to understand how speakers convey subtle meanings, sometimes unconsciously. Knowledge of Japanese is helpful but not necessary. Taught in English.",NA,"",NA,"['Rika Ito']",200,"['OM 002', 'OM 002']","Talking in Japan/Us","",240,"False","False","",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Talking in Japan and the U.S.: Language, Identity and Beyond","Research",2005,23
"58",10274,1,98,"['ASIAN']","The seminar intensively studies topics in Asian studies. Prerequisite: senior Asian studies major or concentrator, or permission of the instructor.",NA,"",NA,"['Robert Entenmann']",300,"['HH 515', 'HH 515']","Sem: Asia","",399,"False","Prerequisite: senior Asian studies major or concentrator, or permission of the instructor.","",1,"C",20051,"['T 0935-1100', 'Th 0930-1050']","Seminar","Seminar",2005,20
"78",10311,1,158,"['BIO']","The cell is the fundamental unit of life, capable of growth, motility, signal transduction and functional specialization. Students study features common to cells: metabolism, membrane transport, motility, signal mechanisms and intracellular trafficking, seeing how these are elaborated in cells with particular specializations. Research techniques suitable for cell physiology are emphasized. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125, 126, Chemistry 125, 126.",158,"A",NA,"['Anne Walter']",300,"['SC 274']","Cell Physiology","Students in Biology 341 must also register for one lab section 341AL or BL.",341,"False","Prerequisites: Biology 125, 126, Chemistry 125, 126.","",1,"O",20051,"['MWF 0905-1000']","","Research",2005,22
"91",10326,1,176,"['AMCON']","Spanning two centuries, from the founding of the colonies to the close of the Civil War, this course begins our discussion of questions central to the entire sequence: What is an American? What does it mean to be free? Students explore the institutions, images and stories of Euro-Americans, African Americans and Native Americans.Topics and texts include the Declaration of Independence and Thomas Jefferson's architecture, the Narrative of the Life of Frederick Douglass and the coming of the Civil War.",NA,"",NA,"['L. DeAne Lagerquist']",100,"['BMC 101']","Freedoms: 1607-1865","",101,"False","False","A",1,"C",20051,"['MWF 0905-1000']","Declaring Independence, 1620-1865","Research",2005,18
"92",10327,1,176,"['AMCON']","Spanning two centuries, from the founding of the colonies to the close of the Civil War, this course begins our discussion of questions central to the entire sequence: What is an American? What does it mean to be free? Students explore the institutions, images and stories of Euro-Americans, African Americans and Native Americans.Topics and texts include the Declaration of Independence and Thomas Jefferson's architecture, the Narrative of the Life of Frederick Douglass and the coming of the Civil War.",NA,"",NA,"['Colin Wells']",100,"['BMC 109']","Freedoms: 1607-1865","",101,"False","False","B",1,"C",20051,"['MWF 0905-1000']","Declaring Independence, 1620-1865","Research",2005,21
