"","clbid","credits","crsid","departments","description","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",10217,1,4,"['AMST']","This analysis of modern American society introduces theories and methods of culture studies, beginning with anthropological definitions of culture and including perspectives of sociology, political science, history, art history and English. Students examine the moral ecology of everyday life in America, looking at the cultural meanings of work, clothes, food, family, gender, buildings, bodies, television, advertising and education.",NA,"",NA,"['James Farrell']",100,"['RML 421']","Perspect Am Culture","",100,"False","False","",1,"C",20051,"['MWF 1045-1140']","American Culture: Interdisciplinary Perspectives","Research",2005,29
"2",10218,1,11,"['AMST']","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20051,"","Internship","Research",2005,0
"3",10219,1,12,"['AMST']","",NA,"",NA,"['James Farrell']",200,"","IS/Campus Ecology II","",298,"False","False","",1,"O",20051,"","Independent Study","Research",2005,3
"4",10220,1,12,"['AMST']","",NA,"",NA,"['Staff']",200,"","IS/","",298,"False","False","A",1,"O",20051,"","Independent Study","Research",2005,0
"5",10221,1,14,"['AMST']","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20051,"","Internship","Research",2005,0
"6",10222,1,15,"['AMST']","",NA,"",NA,"['Staff']",300,"","IR/","",398,"False","False","",1,"O",20051,"","Independent Research","Research",2005,0
"7",10223,1,15,"['AMST']","",NA,"",NA,"['Staff']",300,"","IR/","",398,"False","False","A",1,"O",20051,"","Independent Research","Research",2005,0
"20",10236,1,27,"['ART']","In this accelerated course in design and drawing, students explore the art elements and their dynamics in composition and experiment with a wide range of media and techniques. Students sharpen their skills in rendering and develop ways to use drawing to convey personal meaning and ideas. Students also study and discuss the technique, content and the context of works by contemporary artists and old masters. This course meets the requirements of 1/2 of the requirements of the foundation program; two additional foundation courses must be taken, one of which must be in three-dimensional studies. Admission to this course is by portfolio review only. Lab fee.",NA,"",NA,"['Jil Evans']",100,"['DC 216', 'DC 216']","Honors Found Drawing","",120,"False","False","",1,"C",20051,"['T 1145-0245PM', 'Th 1245-0345PM']","Honors Foundation Drawing","Research",2005,14
"21",10237,1,31,"['ART']","This introduction to the materials and concepts of art history is aimed at first-year students, sophomores and beginning majors. It provides a chronological survey of the painting, sculpture, architecture and decorative arts of the West. Students learn visual analysis and key art historical terminology along with the extraordinary cultural contexts and heritages informing this art.",NA,"",NA,"['Nancy M. Thompson', 'Karil J. Kucera']",100,"['DC 305']","Intro/Art History I","",150,"False","False","",1,"O",20051,"['MWF 1045-1140']","Ancient through Medieval Art","Research",2005,55
"22",10238,1,33,"['ART']","This course develops and stimulates research into the emotional/expressive properties of art-making in the painting media. By investigating thematic compositional and technical problems, students develop a personalized approach to ideas and content. Students learn the importance of process, need for flexibility, how to seek alternatives and how to recognize that a painting has a life of its own. Prerequisites: Art 111 and 112 (or 120), and 113 . Materials fee. Offered annually.",NA,"",NA,"['Wendell Arneson']",200,"['DC 214']","Oil/Acrylic Painting","",221,"False","Prerequisites: Art 111 and 112 (or 120), and 113 . Materials fee. Offered annually.","",1,"C",20051,"['MWF 1255-0255PM']","","Research",2005,24
"23",10239,1,35,"['ART']","This sculpture course introduces lost wax bronze casting, an art and industrial process that changed the course of human civilization. Students learn to cast, finish and preset cast metal work, building upon concepts from the foundation course and exploring the next level of sculpture topics, issues and concern. Te course makes use of hands-on instruction, readings, slide talks and discussion. Lab fee. Prerequisite: Art 114 (Mandatory); Art 111, 112, 113, 116(recommended). Offered annually. Fall Semester only.",NA,"",NA,"['Irve Dell']",200,"['DC 105', 'DC 105']","Sculpt: Metal Casting","",223,"False","Prerequisite: Art 114 (Mandatory); Art 111, 112, 113, 116(recommended). Offered annually. Fall Semester only.","",1,"O",20051,"['T 1145-0245PM', 'Th 1245-0345PM']","Sculpture/Metal Casting","Research",2005,11
"24",10240,1,37,"['ART']","Through a sequence of projects, architectural design students learn about drawing (hand drafting and computer-aided drawing and design) and architectural design processes which require the integration of social, artistic, technical and environmental issues. Prerequisites: Art 111 and 112 (or 120). Lab fee.",NA,"",NA,"['Steven Edwins']",200,"['DC 116']","Arch Drawing/Design I","",225,"False","Prerequisites: Art 111 and 112 (or 120). Lab fee.","",1,"O",20051,"['MWF 1255-0255PM']","Architectural Drawing and Design I","Research",2005,10
"25",10241,1,39,"['ART']","This course provides a strong foundation in the array of copper plate processes of etching, aquatint, lift ground, soft ground and viscosity color printmaking processes as well as in painterly monoprinting techniques. Students address personal sources of ideas, experimentation, drawing skills and compositional concerns and draw upon examples of master printmakers to discuss how images reflect culture. Critical thinking skills are necessary in discussion and critiques. Prerequisites: Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.",NA,"",NA,"['John Saurer']",200,"['DC 212']","Printmkg: Intaglio/Mono","",227,"False","Prerequisites: Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","",1,"O",20051,"['MWF 1045-1245PM']","Printmaking: Intaglio and Monoprints","Research",2005,12
"26",10242,1,43,"['ART']","Drawing the human form from life has been a mainstay in the training of artists since the Renaissance because of its unparalleled discipline in the training of the eye. Along with becoming better observers, students reach a personal understanding of the figure and an appreciation of its art historical uses. Various media and techniques are explored as a means to understand the expressive possibilities of the figure. Prerequisites: Art 111 and 112 (or 120), and 113. Offered annually.",NA,"",NA,"['John Saurer']",200,"['DC 216']","Figure Drawing","",232,"False","Prerequisites: Art 111 and 112 (or 120), and 113. Offered annually.","",1,"O",20051,"['MWF 0800-1000']","","Research",2005,14
"27",10243,1,46,"['ART']","In this intermediate photography course, students explore a variety of techniques and topics. Techniques include historic processes such as cyanotype and salted paper printing, digital photography, Polaroid materials and traditional black and white photography. Experimental approaches and nontraditional forms for presentation are investigated. Photography is investigated from a broad historical, aesthetic and social perspective. This course includes field trips, readings, discussion and slide presentations. Prerequisites: Art 115 or 124, or equivalent. Lab fee. Offered annually.",NA,"",NA,"['Margaret Ojala']",200,"['DC 102', 'DC 102']","Intermed Photography","",238,"False","Prerequisites: Art 115 or 124, or equivalent. Lab fee. Offered annually.","",1,"C",20051,"['T 1145-0245PM', 'Th 1245-0345PM']","Intermediate Photography","Research",2005,13
"28",10244,1,47,"['ART']","This course explores video as a creative medium. Students learn basic video production and editing techniques, producing a number of individual and group projects. During the semester we examine a wide variety of videos and films, exploring experimental, documentary and narrative approaches. The class also considers the history of video art and its relationship to other time-based and static art forms. Prerequisites: Art 111 and 113 or permission of instructor. Lab fee. Offered annually.",NA,"",NA,"['David E. Ryan']",200,"['DC 101', 'DC 101']","Video Art Production","",239,"False","Prerequisites: Art 111 and 113 or permission of instructor. Lab fee. Offered annually.","",1,"O",20051,"['T 1145-0245PM', 'Th 1245-0345PM']","","Research",2005,10
