"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"20",11696,1,49,"['ART']","This course surveys the diverse arts produced by people of African descent in the Americas (U.S. and the Caribbean), from the colonial period to the present. An examination of selected West and Central African cultural practices and art forms serves as a basis for understanding creative transformations in the African Diaspora. Important issues to be addressed include art and resistance, survivals and transformations, and ideas about race and the construction of beauty.","",NA,"",NA,"['Heather M. Brooks-Shirey']",200,"['DC 305', 'DC 305']","Arts-African Diaspora",250,"False","False","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","The Arts of the African Diaspora","Research",2005,28
"29",11705,1,77,"['ASIAN']","This is a history seminar to help students understand the impact that the West and East Asia have had on each other from the beginning of sustained contact in the 16th century to the end of World War II. Students read about and discuss the impact of Christian missionaries, the economic role of trade and the political and military challenge of Western expansionism beginning with the Opium War. Prerequisite: Asian Studies 111 or permission of the instructor.","",NA,"",NA,"['Robert Entenmann']",100,"['HH 515', 'HH 515']","East Asia & the West",112,"False","Prerequisite: Asian Studies 111 or permission of the instructor.","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations: East Asia and the West","Research",2005,19
"30",11706,1,78,"['ASIAN']","This course examines major cultures of South, Southeast and East Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles and medicine and healing traditions. No prerequisites.","",NA,"",NA,"['Barbara Reed']",100,"['BMC 111']","Asian Cultures",121,"False","False","",3,"O",20053,"['MWF 1255-0150PM']","Asian Cultures in Comparative Perspectives","Research",2005,37
"31",11707,1,91,"['ASIAN']","This course highlights major visual arts movements within China over the last century, from the end of the imperial era to current times. We look at a variety of issues: class and gender; China in the world art market; Chinese art past and present; and a variety of ""isms"" now seen as defining Chinese art. A major theme is to define visual culture in all its nuances.","",NA,"",NA,"['Karil J. Kucera']",200,"['DC 204', 'DC 204']","Vis Cult/Modern China",270,"False","False","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Visual Culture of Modern China","Research",2005,23
"55",11747,1,177,"['AMCON']","In this century of institutional development, national expansion and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts include Transcendentalist writers, the Second Great Awakening, Black Elk Speaks, landscape painting and Western photography.","",NA,"",NA,"['L. DeAne Lagerquist']",100,"['BMC 101']","Dem Vistas: 1800-1900",102,"False","False","A",3,"O",20053,"['MWF 0905-1000']","Democratic Vistas, 1800-1900","Research",2005,15
"56",11748,1,177,"['AMCON']","In this century of institutional development, national expansion and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts include Transcendentalist writers, the Second Great Awakening, Black Elk Speaks, landscape painting and Western photography.","",NA,"",NA,"['Carol Holly']",100,"['BMC 101']","Dem Vistas: 1800-1900",102,"False","False","B",3,"C",20053,"['MWF 0905-1000']","Democratic Vistas, 1800-1900","Research",2005,20
"213",11914,1,410,"['ENGL']","Students explore the histories, cultural patterns, religious practices, key institutions, gender issues, narrative styles and the significant contributions to our nation of an array of racial and multicultural groups. Such diverse writers as Leslie Silko, Chaim Potok, Amy Tan and Toni Morrison raise questions about voice and identity, both individual and collective.","",NA,"",NA,"['Joan Hepburn']",200,"['RML 525', 'RML 525']","Amer Racial/Multi Lit",245,"False","False","",3,"O",20053,"['T 0120-0245PM', 'Th 0215-0335PM']","American Racial and Multicultural Literatures","Research",2005,46
"285",11992,1,538,"['GCON']","This course examines ethical issues from perspectives that are contemporary expressions of or reactions to classic normative traditions covered in the two-year sequence of the Great Conversation program. Included among these perspectives will be one or more contemporary representatives of the Christian theological tradition. Among the possible ethical issues considered are political morality, sexuality, gender, matters of life and death (war, euthanasia, abortion), economic justice and environmental responsibility. Prerequisite: completion of Great Conversation 218 or permission of instructor required.","",NA,"",NA,"['Douglas Schuurman']",300,"['BMC 109', 'BMC 109']","Ethical Issues/Gr Con",310,"False","Prerequisite: completion of Great Conversation 218 or permission of instructor required.","",3,"O",20053,"['T 0120-0245PM', 'Th 0215-0335PM']","Ethical Issues and Normative Perspectives: The Great Conv. Continued","Research",2005,8
"296",12004,1,574,"['HIST']","This course surveys European history and culture since the Reformation. Topics include the impact of Protestantism, the development of nation states, the Enlightenment, revolutionary ideas and experiences, the Napoleonic era, imperialism, mass political movements and global warfare. Through original texts, historical studies, and literature, students explore relations among religions, states and societies and understandings of liberty and reason, natural environments, family life and gender roles. Offered most years.","",NA,"",NA,"['Anna Kuxhausen']",100,"['HH 301']","Eur/Reform/Modern",191,"False","False","",3,"O",20053,"['MWF 0200-0255PM']","Europe from the Reformation to Modern Times","Research",2005,22
"297",12005,1,576,"['HIST']","Adopting a comparative and chronological approach, students examine cultures and societies in Asia, India, Africa, Europe, the Middle East, and the Americas since the Age of Exploration. Through original texts, historical studies, and literature, students explore encounters among different cultures, challenges to religion and traditional life styles, innovations in family and gender patterns, the rise of European hegemony and its impact on indigenous peoples. Offered most years.","",NA,"",NA,"['David M. Perry']",100,"['RML 577', 'RML 577']","Global 1500-Present",195,"False","False","",3,"C",20053,"['T 0800-0925', 'Th 0800-0920']","Global Histories from Ancient Times to 1500","Research",2005,24
"306",12015,1,596,"['HIST']","This course begins with the Communist revolution of 1917 and traces the growth of the Soviet Union under Lenin, Stalin, and their successors. Students analyze the ""crisis"" of the Soviet system in order to explain why the last of the European empires collapsed in 1991. Foreign Language Across the Curriculum course available in Russian. Offered most years.","",NA,"",NA,"['Anna Kuxhausen']",200,"['HH 413', 'HH 413']","20th Century Russia",231,"False","False","",3,"O",20053,"['T 0120-0245PM', 'Th 0215-0335PM']","20th-Century Russia","Research",2005,27
"309",12018,1,605,"['HIST']","An overview of the evolution of Latin American societies since 1750, this course examines the consequences of independence, 19th-century economic imperialism, and the 20th-century transitions to more urbanized, industrialized ways of life. Students examine major Latin American nations and compare their revolutionary and counter-revolutionary trajectories toward the establishment of authoritarian states. Applied Foreign Language Component available in Spanish. Offered most years.","",NA,"",NA,"['Jeane DeLaney']",200,"['HH 307']","Modern Latin America",242,"False","False","",3,"O",20053,"['MWF 0200-0255PM']","","Research",2005,20
"313",12022,1,618,"['HIST']","In this study of African Americans in the U. S. society from African origins to the present, students explore the African heritage, the experience of slavery, segregation, and the rise of the Civil Rights movement of the 1960s. The course pays particular attention to the issue of black nationalism as a force in American life. Offered most years.","",NA,"",NA,"['Clifford C. Weston']",200,"['RML 577', 'RML 577']","African-American Hist",277,"False","False","",3,"O",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","African-American History","Research",2005,31
"350",12064,1,724,"['LATIN']","The Romans claimed that satire was a literary genre of their own creation. Students are able to weigh the merits of that claim as they read selections from the wry and witty poems of prominent Roman satirists such as Persius, Horace, Martial and Juvenal. Prerequisite: Latin 231 or equivalent. GE: FOL-L. Offered every third year.","",NA,"",NA,"['Anne Groton']",300,"['OM 031', 'OM 031']","Latin Satire",377,"False","Prerequisite: Latin 231 or equivalent. GE: FOL-L. Offered every third year.","",3,"O",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2005,9
"468",12186,1,976,"['PHIL']","Students examine feminist approaches to and critiques of aspects of contemporary culture that shape women's lives. These may include conventional morality, science, education, art, medicine, law, religion and social institutions such as marriage and political institutions. Students critically examine historical or contemporary philosophical views that underlie as well as those that challenge these institutions, including views of human nature, gender, rationality, knowledge, morality, justice and the value of autonomy.","",NA,"",NA,"['Karen Gervais']",200,"['HH 413', 'HH 413']","Philosophy & Feminism",245,"False","False","",3,"O",20053,"['T 0800-0925', 'Th 0800-0920']","Philosophy and Feminism","Research",2005,13
"531",12255,1,1064,"['PETH']","Students study in-depth the physiology of exercise, covering cardiovascular and muscular adaptions to exercise and factors affecting performance, including body composition, environmental influences, training implications across gender and age and the assessment of fitness. The course includes a laboratory component. Prerequisite: junior standing and Biology 123, or consent of instructor.","",NA,"",NA,"['Christine Daymont']",300,"['SAC 103']","Physiology/Exercise",375,"False","Prerequisite: junior standing and Biology 123, or consent of instructor.","",3,"O",20053,"['MWF 1045-1140']","Physiology of Exercise","Research",2005,16
"568",12292,1,1132,"['PSCI']","How do the peoples of Latin America participate politically? How do domestic politics interact with national and international economics? How do states treat challenges posed by migration and by desires for modernization and democracy in a context of authoritarian legacy and debt? Students examine how Latin American politics work, focusing on Mexico, parts of Central America, the Caribbean, the Andean Region and the Southern Cone.","",NA,"",NA,"['Kristina Thalhammer']",200,"['RML 421', 'RML 421']","Latin Am Politics",264,"False","False","",3,"O",20053,"['T 0935-1100', 'Th 0930-1050']","Latin American Politics","Research",2005,21
"623",12354,1,1207,"['REL']","Students read Pauline letters carefully for their major issues, such as apocalyptic, gospel, apostleship, Jew and Gentile, faith, Torah, community. Considering Paul in the context of his times and Paul in the context of later Christianity, students discuss topics such as Jews and Christians, men and women, creation, grace in Paul and present day experience.","",NA,"",NA,"['William Poehlmann']",200,"['BMC 102']","St.Paul/Letter/Gospel",223,"False","False","",3,"C",20053,"['MWF 1045-1140']","Paul: His Letters, His Gospel","Research",2005,37
