"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",11677,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","Internship","Research",2005,0
"2",11678,1,12,"['AMST']","","",NA,"",NA,"['Staff']",200,"","IS/",298,"False","False","",3,"O",20053,"","Independent Study","Research",2005,0
"3",11679,1,13,"['AMST']","This course undertakes an intensive study of a particular period or topic through the interdisciplinary perspective of American studies. This course employs a seminar format, with concentration on student research. Recent topics include: American Cultures, Mall of America, Disney's America,American Women of Color and Man and Nature. Offered Spring Semester.","",NA,"",NA,"['Judy Kutulas']",300,"['HH 514', 'HH 514']","Sem: American 1970s",301,"False","False","",3,"C",20053,"['T 0935-1100', 'Th 0930-1050']","Seminar","Seminar",2005,19
"4",11680,1,16,"['AFAM']","This course presents a study of the historical development of jazz, from its roots in blues and ragtime at the turn of the cetury to the present, focusing on its principal forms and styles, its role in American culture and contributions of major artists.","",NA,"",NA,"['Joseph L. Mbele']",200,"['RML 577']","Sem: Africa/Americas",231,"False","False","",3,"C",20053,"['MWF 1255-0150PM']","Africa and the Americas: The Diaspora Experience","Seminar",2005,28
"14",11690,1,32,"['ART']","This introduction to art history surveys a European and American artistic tradition from the Renaissance to today. A chronological study of painting, sculpture, architecture, photography and other media teaches students about visual analysis, artistic excellence and the cultural and artistic heritages that have produced some of the finer art created from the Renaissance to the present.","",NA,"",NA,"['Nancy M. Thompson', 'Matthew Rohn']",100,"['DC 305']","Intro/Art History II",151,"False","False","",3,"O",20053,"['MWF 1045-1140']","Renaissance to the Present","Research",2005,48
"15",11691,1,34,"['ART']","This course explores the fundamental principles of design, color and composition through the watercolor medium. Through advanced techniques, strong drawing and exploration of personal ideas, students develop a personal, expressive, visual language. Students are encouraged to move past trite and predictable solutions to seek alternatives, take initiative and celebrate creative risk-taking. Prerequisite: Art 111 and 112 (or 120), and 113 . Materials fee. Offered annually.","",NA,"",NA,"['Wendell Arneson']",200,"['DC 116']","Watercolor Painting",222,"False","Prerequisite: Art 111 and 112 (or 120), and 113 . Materials fee. Offered annually.","",3,"C",20053,"['MWF 1255-0255PM']","","Research",2005,23
"16",11692,1,36,"['ART']","This sculpture course introduces students to metal froming, shaping, fastening and brazing and welding, uilding upon concepts from the foundationcourse and presenting the next level of sculpture topics, issues and concerns. Both majors and non-majors discover an artand industrial process that has great artistic and practical application The course makes the use of hands-on instruction, readings, slide talks and discussion. Lab fee. Prerequisite: Art 114 (Mandatory); Art 111, 112, 113, 116(recommended). Offered annually. Spring Semester only.","",NA,"",NA,"['Irve Dell']",200,"['DC 105', 'DC 105']","Sculpt: Metal Direct",224,"False","Prerequisite: Art 114 (Mandatory); Art 111, 112, 113, 116(recommended). Offered annually. Spring Semester only.","",3,"O",20053,"['T 1145-0245PM', 'Th 1245-0345PM']","Sculpture/Direct Metal","Research",2005,10
"17",11693,1,38,"['ART']","Emphasizing individual concepts, personal expression and strong composition, this course explores relief and lithography. Using large-scale, multicolor moveable block, collograph, wood or lino block techniques and lithography stones or aluminum plates in both black and white and color, students produce multiple images on one of the department's three presses. Students become familiar with the heritage of old masters as well as contemporary artists in printmaking. Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","",NA,"",NA,"['John Saurer']",200,"['DC 212', 'DC 212']","Printmkg: Relief/Litho",226,"False","Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","",3,"O",20053,"['T 1145-0245PM', 'Th 1245-0345PM']","Printmaking: Relief and Lithography","Research",2005,14
"18",11694,1,42,"['ART']","This course explores the computer as a tool for creating visual images with movement and sound. Emphasizing concept development and creative expression, students investigate time-based software, including animation and video capture programs. The course introduces students to the work of traditional and computer animators. Prerequisites: Art 111 and 112 (or 120), or 115, or permission of the instructor. Lab fee. Offered annually.","",NA,"",NA,"['Patrick T. Kelley']",200,"['DC 100', 'DC 100']","Motion Graphics",230,"False","Prerequisites: Art 111 and 112 (or 120), or 115, or permission of the instructor. Lab fee. Offered annually.","",3,"O",20053,"['T 0800-1100', 'Th 0800-1050']","","Research",2005,11
"19",11695,1,45,"['ART']","This intermediate level course assumes the student has a substantial understanding of ceramic processes, plus a good awareness of his or her own interests in the realm of ceramic expression. The instructor helps students focus their efforts by proposing specific areas of investigation. Prerequisites: Art 116 or 119. Previous studio experience in ceramics is accepted when approved by the instructor. Lab fee. Offered annually.","",NA,"",NA,"['Ron Gallas']",200,"['DC 115', 'DC 115']","Ceramics",234,"False","Prerequisites: Art 116 or 119. Previous studio experience in ceramics is accepted when approved by the instructor. Lab fee. Offered annually.","",3,"C",20053,"['T 1145-0245PM', 'Th 1245-0345PM']","","Research",2005,21
