"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",57055,1,190,"['CHEM']","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts towards environmental studies major and concentration; does not count toward Chemistry major.","",190,"['Janice Pellino']",100,"['SC 378']","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.",124,"False","False","",2,"O",20072,"['M-F 0800-1000']","A Matter of the Environment with Lab","Research",2007,15
"3",57057,1,11,"['AMST']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"4",57058,1,68,"['ART']","","",NA,"['Steven Edwins']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","","Research",2007,1
"5",57059,1,73,"['ART']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","","Research",2007,0
"6",57060,1,93,"['ASIAN']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","","Research",2007,0
"7",57061,1,96,"['ASIAN']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","","Research",2007,0
"8",57062,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","",NA,"['Theodore Johnson']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","Internship","Research",2007,10
"9",57063,1,174,"['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"10",57064,1,204,"['CHEM']","","",NA,"['Wesley Pearson']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","Internship","Research",2007,1
"11",57065,1,222,"['CHEM']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"12",57066,1,233,"['CLASS']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","","Research",2007,0
"13",57067,1,235,"['CLASS']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","","Research",2007,0
"14",57068,1,248,"['CHIN']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","","Research",2007,0
"15",57069,1,251,"['CHIN']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","","Research",2007,0
"16",57070,1,276,"['ECON']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","","Research",2007,0
"17",57071,1,284,"['ECON']","Academic Internship.","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","","Research",2007,0
"18",57072,1,299,"['CSCI']","This is an intermediate-level version of Computer Science 394.","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"19",57073,1,306,"['CSCI']","Students gain experience in computer-industry positions. Projects have included implementation of solid modeling (NURBS), documentation, business applications of computing, applications of computer graphics in medical research, team programming. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","",NA,"['Richard Brown']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","Internship","Research",2007,1
"20",57074,1,313,"['EDUC']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","","Research",2007,0
"21",57075,1,344,"['EDUC']","","",NA,"['Rosemary A. Pfarr-Baker']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"22",57076,1,374,"['DANCE']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"23",57077,1,377,"['DANCE']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","Internship","Research",2007,0
"24",57078,1,433,"['ENGL']","","",NA,"['Richard Buckstead']",200,"","Academic Internship","",294,"True","False","",2,"O",20072,"","Internship","Research",2007,1
"25",57079,1,449,"['ENGL']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20072,"","Internship","Research",2007,0
