"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"3",61071,1,747,"['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings, and fields. Prerequisite: Mathematics 220. Offered both semesters.","['WRI']",NA,"",NA,"['Bruce Hanson']",200,"['SC 130']","Abstract Algebra I","",252,"False","Prerequisite: Mathematics 220. Offered both semesters.","A",1,"C",20081,"['MWF 0905-1000']","","Research",2008,22
"4",61072,1,747,"['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings, and fields. Prerequisite: Mathematics 220. Offered both semesters.","['WRI']",NA,"",NA,"['Kristina Garrett']",200,"['SC 186']","Abstract Algebra I","",252,"False","Prerequisite: Mathematics 220. Offered both semesters.","B",1,"C",20081,"['MWF 1150-1245PM']","","Research",2008,19
"5",61074,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"6",61075,1,14,"['AMST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"7",61076,1,68,"['ART']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","","Research",2008,0
"8",61077,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","","Research",2008,0
"9",61078,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","",NA,"",NA,"['Eugene Bakko']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","Internship","Research",2008,1
"10",61079,1,174,"['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"11",61080,1,204,"['CHEM']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"12",61081,1,222,"['CHEM']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"13",61082,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","","Research",2008,0
"14",61083,1,235,"['CLASS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","","Research",2008,0
"15",61084,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","","Research",2008,0
"16",61085,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","","Research",2008,0
"17",61086,1,276,"['ECON']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","","Research",2008,0
"18",61087,1,284,"['ECON']","Academic Internship.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","","Research",2008,0
"19",61088,1,299,"['CSCI']","This is an intermediate-level version of Computer Science 394.","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"20",61089,1,306,"['CSCI']","Students gain experience in computer-industry positions. Projects have included implementation of solid modeling (NURBS), documentation, business applications of computing, applications of computer graphics in medical research, team programming. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"23",61092,1,433,"['ENGL']","","",NA,"",NA,"['Jan C. Hill']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","Internship","Research",2008,1
"24",61093,1,449,"['ENGL']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"25",61094,1,464,"['ENVST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","Internship","Research",2008,0
"26",61095,1,466,"['ENVST']","","",NA,"",NA,"['Eugene Bakko']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","Internship","Research",2008,1
"29",61098,1,490,"['FREN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","","Research",2008,0
"30",61099,1,494,"['FREN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20081,"","","Research",2008,0
"31",61100,1,522,"['GERM']","Students spend four weeks during Interim or summer break in a selected German workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Prerequisite: at least one 250-level course.","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","Prerequisite: at least one 250-level course.","",1,"O",20081,"","Internship","Research",2008,0
"32",61101,1,529,"['GERM']","Students spend four weeks during Interim or summer break in the German workplace. Opportunities include working in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability of host institutions. Prerequisite: at least one 270-level course.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","Prerequisite: at least one 270-level course.","",1,"O",20081,"","Internship","Research",2008,0
"33",61102,1,543,"['GREEK']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20081,"","","Research",2008,0
