"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"105",73417,1,18780,"['ASIAN']","Students pursue guided fieldwork experience in the country whose language they study, either Japan or China. Activities and readings in this course build on the topics from Asian Studies 210 and three semesters of language study. Students continue to explore their understanding of Asia through ethnographic observation, interviews, and site visits. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Prerequisite: Asian Studies 210. Offered during interim.","",NA,"['Rika Ito']",200,"","AsianCon2:Meet Sojourners","Registration restricted to students in the Asian Con program. This is an off-campus course.",215,"False","Prerequisite: Asian Studies 210. Offered during interim.","",2,"C",20102,"","Asian Conversations II: Encountering Asia","Research",2010,23
"106",73418,1,19742,"['ASIAN']","Students pursue guided fieldwork experience in the United States. Activities and readings in this course build on the topics from Asian Studies 210 and three semesters of language study. Students reflect on the experience of Asians in America through readings, site visits, and local interviews. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Prerequisite: Asian Studies 210. Offered during interim.","",NA,"['Staff']",200,"","AsianCon2:Meet Sojourners","Registration restricted to students in the Asian Con program.",216,"False","Prerequisite: Asian Studies 210. Offered during interim.","",2,"C",20102,"","Asian Conversations II: Encountering Asia in America","Research",2010,0
"125",73495,1,1329,"['SPAN']","Students explore geographic, economic, political, and ethnic dimensions of life in Costa Rica by combining intensive course work with such cross-cultural experiences as a homestay in San Jose, field work, visits to sites of cultural interest, and excursions to the Atlantic and Pacific coasts. They consolidate their language skills and continue to develop their skills for analyzing and communicating in Spanish through compositions, oral presentations, and interviews of Costa Ricans. Prerequisite: Spanish 231 or placement.","['FOL-S', 'MCG']",NA,"['Leon Narvaez']",200,"","Inter Span II-C Rica","Open to all students who meet the requirements. This is an off-campus course.",234,"False","Prerequisite: Spanish 231 or placement.","",2,"C",20102,"","Intermediate Spanish II in Costa Rica","Research",2010,22
"127",73498,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered each semester and during interim.","",NA,"['Gwendolyn Barnes-Karol']",200,"['OM 030', 'OM 030']","Intermed Spanish I","Open to all students who meet the requirements. This course has class-year limits.",231,"False","Prerequisite: Spanish 112 or placement. Offered each semester and during interim.","",2,"C",20102,"['M-F 1040-1140', 'M-F 0100-0300PM']","Intermediate Spanish I","Research",2010,21
"129",73500,1,384,"['ENGL']","This course introduces students to poetry from a range of perspectives including, but not limited to the poet's life; the application of categories of analysis such as race, gender, and nationality; poetry as literary craft; and the aesthetic appreciation of poems. To experience the literary medium of poetry in the fullest sense, students are required to write about, memorize, orally interpret/recite, and compose their own poetry.","['ALS-L', 'ORC']",NA,"['Jenny Dunning']",100,"['RML 525']","Intro to Poetry","",123,"False","False","",2,"C",20102,"['M-F 1040-1240PM']","Introduction to Poetry","Research",2010,30
"223",73603,1,1316,"['SOAN']","","",NA,"['Christopher L. Chiappari']",200,"","IS/Race/Wealth Inequality","",298,"False","False","",2,"O",20102,"","Independent Study","Research",2010,1
"232",73624,1,80,"['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences, and communication styles. The course is taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation), and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures, and discussions are all in English.","['MCG']",NA,"['Tomoko Hoogenboom']",100,"['OM 001', 'RML 577']","Japanese Lang/Society","This course has class-year limits. No knowledge of Japanese required.",126,"False","False","",2,"O",20102,"['M-Th 1040-1200PM', 'M-Th 0100-0200PM']","Japanese Language in Society","Research",2010,15
"235",73637,1,338,"['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 schools. Kamehameha, in Honolulu, is an affluent, urban, private, Hawaiian cultural immersion school. The Kailua Kona schools, on the big island, are rural, public, mixed-race environments. Students discover the challenges and benefits associated with teaching in a diverse racial, cultural and socio-economic environments. Through guest lectures, readings, field trips and seminars, students learn about the truly unique geographic and cultural setting of the Hawaiian islands. This environment makes an excellent framework to examine diversity on the mainland. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. Prerequisite: Education 290, consent of instructor. Offered during interim.","['MCD']",NA,"['Heather Campbell']",300,"","Multi-Cult Ed Hawaii","This is an off-campus course. Admission by interview.",378,"True","Prerequisite: Education 290, consent of instructor. Offered during interim.","",2,"C",20102,"","Multicultural Education in Hawaii: Seminar and Practicum","Research",2010,22
"246",73661,1,19831,"['PSCI']","We will be based on the Adriatic Coast of Slovenia and travel to Italy, Croatia and Bosnia to study processes of political identity formation in a part of Europe which has seen the collapse of multi-ethnic empires and the multi-ethnic state of Yugoslavia. Students will be in groups representing the concepts used by Charles Tilly to analyze political identity. In group reports, students will construct analytical images of political identities in Piran, Triest, Vukovar, Sarajevo and Mostar.","['HBS', 'MCG']",NA,"['J. Patrick Dale']",200,"","Polit Identity Cent Euro","This is an off-campus course.",240,"False","False","",2,"C",20102,"","Changing Political Identities in Coastal Central Europe","Research",2010,23
"249",73669,1,565,"['HIST']","On the basis of selected works of O.E. Rølvaag, including Giants in the Earth, this course considers the literature and history of Norwegian America in the later 19th and early 20th centuries. For the sake of comparison students also read selections from other Norwegian and Norwegian-American authors. Topics for consideration include ecology, family, gender, agriculture, economics, technology, urbanization, religion, immigration, ethnicity, and American pluralism. Offered periodically.","['HWC']",NA,"['Todd W. Nichol']",100,"['HH 322']","Rolvaag's America","Open to first-year students only.",168,"False","False","",2,"O",20102,"['M-F 1040-1240PM']","Rølvaag's America","Research",2010,16
"250",73670,1,22448,"['SWRK']","This course introduces students to the study of racism and sexism from a variety of disciplinary perspectives with special attention to the impact on women and on African-American and Latino families. Students examine the processes by which race and gender are socially constructed to benefit some and disadvantage others. Students consider how prejudice develops and learn strategies to communicate with people of diverse backgrounds.","['MCD']",NA,"['Laura E. McKibbin']",100,"['RML 420', 'RML 420']","Racism/Sexism/Am Fam Life","",125,"False","False","",2,"O",20102,"['MWF 1040-1240PM', 'MW 0100-0300PM']","Racism and Sexism in American Family Life","Research",2010,14
"252",73674,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Prerequisite: Great Conversation 113. Offered during interim.","['BTS-B', 'WRI']",NA,"['Christopher M. Brunelle']",100,"['HH 514']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: Great Conversation 113. Offered during interim.","A",2,"C",20102,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2010,22
"253",73675,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Prerequisite: Great Conversation 113. Offered during interim.","['BTS-B', 'WRI']",NA,"['J. L. Carrington']",100,"['HH 515']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: Great Conversation 113. Offered during interim.","B",2,"C",20102,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2010,19
"254",73676,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Prerequisite: Great Conversation 113. Offered during interim.","['BTS-B', 'WRI']",NA,"['Nancy M. Thompson']",100,"['HH 516']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: Great Conversation 113. Offered during interim.","C",2,"C",20102,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2010,18
"255",73677,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Prerequisite: Great Conversation 113. Offered during interim.","['BTS-B', 'WRI']",NA,"['Patricia Beckman']",100,"['OM 015']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: Great Conversation 113. Offered during interim.","D",2,"C",20102,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2010,22
