"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"4",78816,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","Internship","Research",2011,0
"5",78817,1,68,"['ART']","","",NA,"",NA,"['Irve Dell']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","","Research",2011,3
"6",78818,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","","Research",2011,0
"7",78819,1,93,"['ASIAN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","","Research",2011,0
"8",78820,1,96,"['ASIAN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","","Research",2011,0
"13",78825,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","","Research",2011,0
"14",78826,1,235,"['CLASS']","","",NA,"",NA,"['Timothy R. Howe']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","","Research",2011,1
"15",78827,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","","Research",2011,0
"16",78828,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","","Research",2011,0
"17",78829,1,276,"['ECON']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","","Research",2011,0
"18",78830,1,284,"['ECON']","Academic Internship.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","","Research",2011,0
"22",78834,1,344,"['EDUC']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","Internship","Research",2011,0
"23",78835,1,374,"['DANCE']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20113,"","Internship","Research",2011,0
"24",78836,1,377,"['DANCE']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20113,"","Internship","Research",2011,0
