"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"104",88238,1,577,"['HIST']","This course examines the development of American culture and society from the Columbian encounter through the Civil War. Topics include the interaction of Europeans, Africans, and indigenous peoples in early America; the social development of the British colonies; the evolution of American slavery; the Revolution and the Constitution; industrialization, expansion, and reform in the 19th century; and the Civil War. Offered most years. Counts towards American studies major.","['HWC', 'MCD']",NA,"",NA,"['Michael Fitzgerald']",100,"['HH 317']","America to 1865","",198,"False","False","",1,"C",20131,"['MWF 1045-1140']","American History to 1865","Research",2013,27
"105",88240,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants. Offered annually. Counts towards American studies major.","['HBS', 'MCD']",NA,"",NA,"['Joshua Anderson']",100,"['HH 307']","American Politics","This course has class year limits.",111,"False","False","A",1,"C",20131,"['MWF 1045-1140']","","Research",2013,29
"106",88241,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants. Offered annually. Counts towards American studies major.","['HBS', 'MCD']",NA,"",NA,"['Joshua Anderson']",100,"['HH 307']","American Politics","This course has class year limits.",111,"False","False","B",1,"C",20131,"['MWF 1150-1245PM']","","Research",2013,33
"130",88273,1,18779,"['ASIAN']","How do pilgrims, travelers and migrants make sense of their journeys in Asia? Students explore maps, histories, tales, and guides that define Asia today and in years past, including several classic Asian texts; study how cultural, linguistic, economic, religious, social, and political connections and divisions create and sustain communities in Asia; and plan related projects for their Interim course. Prerequisite: Chinese 112 or Japanese 112 or permission of instructor. Must be accepted into Asian Conversations program to register. Offered annually in the fall semester.","",NA,"",NA,"['Rika Ito', 'Karil J. Kucera']",200,"['RNS 150', 'RNS 150']","AsianCon1:MappingJourneys","Registration for this course restricted to those students who have applied to the Asian Conversations program and been accepted into it.",210,"False","Prerequisite: Chinese 112 or Japanese 112 or permission of instructor. Must be accepted into Asian Conversations program to register. Offered annually in the fall semester.","",1,"C",20131,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations I: Mapping Journeys","Research",2013,34
"198",88367,1,1234,"['ASIAN', 'REL']","Students examine contemporary Buddhist moral teachings on social issues such as violence and peacemaking, human rights and social justice, and humanity and the environment. Coursework focuses on the writings of Vietnamese monk and peace activist Thich Nhat Hanh, Tibetan leader-in-exile Tenzin Gyatso (Fourteenth Dalai Lama), American ecologist Joanna Macy, and others. Students consider the moral paradigms of Christianity and Buddhism: Christ and the Bodhisattva. Prerequisite: completion of BTS-T or permission of instructor.","['EIN']",NA,"",NA,"['Barbara Reed']",200,"['OM 340']","Buddhism, Peace, Justice","Prerequisite: Completion of BTS-T or permission of the instructor. Open only to rising Seniors during web registration. Juniors may add on a space available basis during the drop/add period.",289,"False","Prerequisite: completion of BTS-T or permission of instructor.","A",1,"C",20131,"['MWF 1255-0150PM']","Buddhism, Peace and Justice","Research",2013,23
"199",88368,1,1234,"['ASIAN', 'REL']","Students examine contemporary Buddhist moral teachings on social issues such as violence and peacemaking, human rights and social justice, and humanity and the environment. Coursework focuses on the writings of Vietnamese monk and peace activist Thich Nhat Hanh, Tibetan leader-in-exile Tenzin Gyatso (Fourteenth Dalai Lama), American ecologist Joanna Macy, and others. Students consider the moral paradigms of Christianity and Buddhism: Christ and the Bodhisattva. Prerequisite: completion of BTS-T or permission of instructor.","['EIN']",NA,"",NA,"['Barbara Reed']",200,"['OM 340']","Buddhism, Peace, Justice","Prerequisite: Completion of BTS-T or permission of the instructor. Open only to rising Seniors web registration. Rising Juniors may add on a space available basis during the drop/add period.",289,"False","Prerequisite: completion of BTS-T or permission of instructor.","B",1,"C",20131,"['MWF 0200-0255PM']","Buddhism, Peace and Justice","Research",2013,21
"214",88412,1,608,"['ASIAN', 'HIST']","This course studies Chinese civilization from its beginnings to the end of the 19th century, providing an overview of traditional Chinese thought, culture, institutions, and society. Students examine the development of philosophy and religion, achievements in art and literature, and social and economic change. This course also considers foreign conquest dynasties, Chinese expansion into Inner Asia, and China's relations with the West. Foreign Language Across the Curriculum course available in Chinese for students at the third-year level in the language. Offered most years.","['MCG']",NA,"",NA,"['Robert Entenmann']",200,"['RML 525']","Chinese Civilization","",250,"False","False","",1,"O",20131,"['MWF 0200-0255PM']","","Research",2013,21
"219",88428,1,1181,"['PSYCH']","This course examines several major theoretical perspectives on psychotherapy. Students review empirically supported treatments for specific clinical disorders, as well as ""nonspecific"" factors that affect the therapeutic process. Students explore ethical and legal challenges related to psychotherapy delivery, as well as multicultural and other diversity issues. Course format is primarily discussion-based. This course is open only to juniors and seniors. Prerequisites: Psychology 230, plus 244 or 247. Offered most years.","",NA,"",NA,"['Molly M. Kodl']",300,"['RNS 124']","Clinical/Counseling Psych","",375,"False","Prerequisites: Psychology 230, plus 244 or 247. Offered most years.","A",1,"C",20131,"['M 0700-1000PM']","Clinical and Counseling Psychology","Research",2013,17
"237",88454,1,176,"['AMCON']","Spanning two centuries, from the founding of the colonies to the close of the Civil War, this course begins the discussion of questions central to the entire sequence: ""What is an American?"" ""What does it mean to be free?"" Students explore the institutions, images, and stories of Euro-Americans, African Americans, and Native Americans.Topics and texts range from the Declaration of Independence and Thomas Jefferson's architecture to the Narrative of the Life of Frederick Douglass and the coming of the Civil War. Offered annually in the fall semester. Counts towards American studies major.","",NA,"",NA,"['Mark Allister']",100,"['HH 317']","Declaring Ind: 1607-1865","Open to American Conversations students only.",101,"False","False","A",1,"C",20131,"['MWF 1255-0150PM']","Declaring Independence: 1607-1865","Research",2013,22
"238",88455,1,176,"['AMCON']","Spanning two centuries, from the founding of the colonies to the close of the Civil War, this course begins the discussion of questions central to the entire sequence: ""What is an American?"" ""What does it mean to be free?"" Students explore the institutions, images, and stories of Euro-Americans, African Americans, and Native Americans.Topics and texts range from the Declaration of Independence and Thomas Jefferson's architecture to the Narrative of the Life of Frederick Douglass and the coming of the Civil War. Offered annually in the fall semester. Counts towards American studies major.","",NA,"",NA,"['Eric J. Fure-Slocum']",100,"['HH 319']","Declaring Ind: 1607-1865","Open to American Conversations students only.",101,"False","False","B",1,"C",20131,"['MWF 1255-0150PM']","Declaring Independence: 1607-1865","Research",2013,19
