"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",100634,1,190,"['CHEM']","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major (arts and humanities and social science emphases) and concentration; does not count toward chemistry major. Offered during Interim.","['IST', 'SED']",190,"","['George K. Anquandah']",100,"['RNS 410']","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.",124,"False","False","",2,"C",20152,"['M-F 0800-1000']","A Matter of the Environment with Lab","Research",2015,32
"3",100636,1,11,"['AMST']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,0
"4",100637,1,68,"['ART']","","",NA,"","['Irve Dell']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,1
"5",100638,1,73,"['ART']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"6",100639,1,93,"['ASIAN']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,0
"7",100640,1,96,"['ASIAN']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"8",100641,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","",NA,"","['Anne Walter']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,2
"9",100642,1,174,"['BIO']","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"10",100643,1,204,"['CHEM']","","",NA,"","['Daniel A. Everson']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,1
"11",100644,1,222,"['CHEM']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"12",100645,1,233,"['CLASS']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,0
"13",100646,1,235,"['CLASS']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"14",100647,1,248,"['CHIN']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,0
"15",100648,1,251,"['CHIN']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"16",100649,1,276,"['ECON']","","",NA,"","['Thomas Bernardin']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,1
"17",100650,1,284,"['ECON']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,0
"18",100651,1,299,"['CSCI']","This is an intermediate-level version of CSCI 394.","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,0
"19",100652,1,306,"['CSCI']","Students gain experience in computer-industry positions. Projects have included contributions toteam programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internshipexperiences (whether for credit or not) are strongly encouraged for anyone considering acareer in computing.","",NA,"","['Richard Brown']",300,"","Academic Internship","",394,"True","False","",2,"C",20152,"","","Research",2015,1
"20",100653,1,313,"['EDUC']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20152,"","","Research",2015,0
