"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"4",105088,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"5",105089,1,14,"['AMST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"7",105091,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"12",105096,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20161,"","","Research",2016,0
"13",105097,1,235,"['CLASS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20161,"","","Research",2016,0
"14",105098,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"15",105099,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"16",105100,1,276,"['ECON']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"17",105101,1,284,"['ECON']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"20",105104,1,313,"['EDUC']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"23",105107,1,449,"['ENGL']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"24",105108,1,464,"['ENVST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"25",105109,1,466,"['ENVST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"26",105110,1,490,"['FREN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"27",105111,1,494,"['FREN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"28",105112,1,522,"['GERM']","Students spend four weeks during Interim or summer in an individually selected German or Austrian workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Maybe counted toward German major or German studies concentration. Prerequisite: at least one 250-level course.","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","Prerequisite: at least one 250-level course.","",1,"C",20161,"","","Research",2016,0
"29",105113,1,529,"['GERM']","Students spend four weeks during Interim or summer in the German or Austrian workplace. Opportunities include working in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability of host institutions. May be counted toward German major or German studies concentration. Prerequisite: at least one 270-level course.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","Prerequisite: at least one 270-level course.","",1,"C",20161,"","","Research",2016,0
"30",105114,1,543,"['GREEK']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"31",105115,1,550,"['GREEK']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","Academic Inernship","Research",2016,0
"32",105116,1,624,"['HIST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"33",105117,1,640,"['HIST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"35",105119,1,656,"['FAMST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"36",105120,1,668,"['JAPAN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"37",105121,1,670,"['JAPAN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"38",105122,1,686,"['IS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20161,"","","Research",2016,0
"39",105123,1,691,"['IS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20161,"","","Research",2016,0
"40",105124,1,707,"['ID']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"41",105125,1,709,"['ID']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"42",105126,1,716,"['LATIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"43",105127,1,725,"['LATIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"46",105130,1,788,"['MGMT']","","",NA,"",NA,"['Sian E. Muir']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"48",105132,1,846,"['MUSIC']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"49",105133,1,865,"['MUSIC']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"50",105134,1,931,"['NORW']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"51",105135,1,936,"['NORW']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"52",105136,1,942,"['NURS']","Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"53",105137,1,961,"['NURS']","Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"54",105138,1,985,"['PHIL']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"55",105139,1,992,"['PHIL']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"57",105141,1,1067,"['ESTH']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20161,"","","Research",2016,0
"60",105144,1,1139,"['PSCI']","Internships are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs, and executive agencies.","",NA,"",NA,"['Anthony Pahnke']",200,"","Academic Internship","",294,"True","False","",1,"C",20161,"","","Research",2016,0
"61",105145,1,1151,"['PSCI']","Students with ideas for internships are encouraged to approach instructors within the departmentin order to arrange supervision for credit. For Level III credit students must have successfullycompleted a Level II internship in the same area. Prerequisite: PSCI 294.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","Prerequisite: PSCI 294.","",1,"C",20161,"","","Research",2016,0
