"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",107904,1,747,"['MATH']","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","['WRI']",NA,"",NA,"['Jill Dietz']",200,"['TOH 186']","Abstract Algebra I","",252,"False","Prerequisite: MATH 220. Permission of instructor required for first-year students.","A",3,"C",20163,"['MWF 1255-0150PM']","","Research",2016,0
"2",107906,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"3",107907,1,68,"['ART']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"4",107908,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"5",107909,1,93,"['ASIAN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"6",107910,1,96,"['ASIAN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"8",107912,1,174,"['BIO']","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"9",107913,1,204,"['CHEM']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"10",107914,1,222,"['CHEM']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"11",107915,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"12",107916,1,235,"['CLASS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"13",107917,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"14",107918,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"15",107919,1,276,"['ECON']","","",NA,"",NA,"['Paul Wojick']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"16",107920,1,284,"['ECON']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"17",107921,1,299,"['CSCI']","This is an intermediate-level version of CSCI 394.","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"18",107922,1,306,"['CSCI']","Students gain experience in computer-industry positions. Projects have included contributions toteam programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internshipexperiences (whether for credit or not) are strongly encouraged for anyone considering acareer in computing.","",NA,"",NA,"['Richard Brown']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"20",107924,1,344,"['EDUC']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"21",107925,1,374,"['DANCE']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","Internship","Research",2016,0
"22",107926,1,377,"['DANCE']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"23",107927,1,433,"['ENGL']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"24",107928,1,449,"['ENGL']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"25",107929,1,464,"['ENVST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"26",107930,1,466,"['ENVST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
"27",107931,1,490,"['FREN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"C",20163,"","","Research",2016,0
"28",107932,1,494,"['FREN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"C",20163,"","","Research",2016,0
